Month,Year,Area,SpeciesName,SpeciesBiomass,TotalSpeciesWeight,DEPTH,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,CHLA,TOC,SAL_S,SAL_B,TEMP_S,TEMP_B,DO_S,DO_B,TURB,pH
April,1997,Shark,Dry - Not Sampled,NA,NA,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Elassoma evergladei,0.00571711,0.03532548,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Erimyzon sucetta,0.24664754,1.72653277,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Fundulus chrysotus,0.149088431,0.948371419,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Gambusia holbrooki,0.107324297,0.739109274,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Lepomis microlophus,0.18846388,1.31924713,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Lepomis punctatus,0.22392555,1.56747887,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Poecilia latipinna,0.112373149,0.779387546,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Taylor,Lepomis microlophus,0.04960074,0.34720519,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Lepomis punctatus,0.056943084,0.39860158,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Lepomis spp.,0.01224252,0.085697655,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Lepomis marginatus,0.039632123,0.277424857,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Notropis petersoni,0.00200748,0.014052385,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Noturus gyrinus,0.03401212,0.23808485,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Poecilia latipinna,0.00352021,0.024641475,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Enneacanthus gloriosus,0.045338574,0.317370022,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Erimyzon sucetta,0.01809431,0.12666019,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Fundulus chrysotus,0.075634187,0.529439301,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Fundulus confluentus,0.061815623,0.432709355,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Gambusia holbrooki,0.052755313,0.369287206,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Heterandria formosa,0.028877143,0.202140013,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Jordanella floridae,0.091028807,0.637201641,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Dry - Not Sampled,NA,NA,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Elassoma evergladei,0.038573086,0.270011604,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Lucania goodei,0.160228861,1.121602022,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Ameriurus natalis,0.06344583,0.44412081,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1998,Shark,Fundulus confluentus,0.02437473,0.17062308,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Gambusia holbrooki,0.130523269,0.913662876,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Ameriurus natalis,0.382216397,2.67551476,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Belenesox belizanus,0.130493915,0.913457405,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Cichlasoma uropthalmus,0.45911159,3.21378113,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Poecilia latipinna,0.244065349,1.708457451,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Elassoma evergladei,0.010574018,0.07401814,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Erimyzon sucetta,0.19920211,1.394414758,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Fundulus chrysotus,0.113437854,0.794064979,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Lepomis microlophus,0.67545979,4.72821853,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Lepomis punctatus,0.88675696,6.20729871,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Heterandria formosa,0.077336704,0.541356916,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Jordanella floridae,0.142891682,1.000241778,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Noturus gyrinus,0.007808843,0.054661893,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Lepomis spp.,0.001001735,0.00701215,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Lucania goodei,0.168618991,1.180332932,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Taylor,Erimyzon sucetta,0.044726078,0.313082549,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Enneacanthus gloriosus,0.00462745,0.031515925,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Ameriurus natalis,0.27319564,1.91236947,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Cichlasoma uropthalmus,2.9070636,17.44238162,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Cyprinodon variegatus,0.0215906,0.15113417,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Elassoma evergladei,0.022172211,0.15443345,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Poecilia latipinna,0.214792895,1.503550245,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Gambusia holbrooki,0.034215372,0.23944407,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Heterandria formosa,0.026414518,0.183101528,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Fundulus chrysotus,0.107331387,0.745981286,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Fundulus confluentus,0.031668953,0.203266363,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Lepomis gulosus,1.21128477,8.47899337,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Lepomis macrochirus,0.03353698,0.23475888,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Jordanella floridae,0.09655295,0.669130248,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Labidesthes sicculus,0.00855719,0.05134317,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Lucania goodei,0.123544322,0.852982698,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Lepomis marginatus,0.03086742,0.21607191,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Lepomis punctatus,0.16879699,1.18157893,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1999,Shark,Ameriurus nebulosus,NA,NA,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Ameriurus natalis,7.58636011,53.10452076,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Lepomis punctatus,0.207920523,1.455443658,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Lucania goodei,0.21686091,1.410636938,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Belenesox belizanus,0.00603162,0.04222131,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Elassoma evergladei,0.03723547,0.217504423,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Erimyzon sucetta,0.445057053,3.030027753,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Fundulus chrysotus,0.130451108,0.810911294,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Fundulus confluentus,0.03271262,0.2083782,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Gambusia holbrooki,0.214101363,1.36399331,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Heterandria formosa,0.086538024,0.535142867,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Jordanella floridae,0.120279783,0.774572066,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Lepomis gulosus,1.13531486,7.947204,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Lepomis marginatus,0.11260513,0.67563077,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Noturus gyrinus,1.66320658,11.64244606,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Poecilia latipinna,0.253978005,1.758846483,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Taylor,Gambusia holbrooki,0.04280047,0.255871515,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA
April,1999,Taylor,Lepomis microlophus,0.01773118,0.088655915,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA
April,1999,Taylor,Lucania goodei,0.232839108,1.42561659,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA
