Month,Year,Area,FunctionalGroup,TotalWeight,TotalBiomass,Depth,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,ChlA,TOC,Sal_S,Sal_B,Temp_S,Temp_B,DO_S,DO_B,Turb,pH
April,1997,Taylor,invertivore,4.272886597,0.610412366,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,algivore,0.024641475,0.00352021,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,omnivore,1.121602022,0.160228861,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,planktivore,0.331422407,0.047346054,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1998,Shark,invertivore,18.55407642,2.650582358,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,omnivore,1.180332932,0.168618991,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,algivore,1.708457451,0.244065349,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,piscivore,0.913457405,0.130493915,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,detrivore,3.21378113,0.45911159,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Taylor,invertivore,6.053218683,0.869478498,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,planktivore,0.082859095,0.01318464,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,omnivore,1.004116868,0.145134922,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,piscivore,8.47899337,1.21128477,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,algivore,1.503550245,0.214792895,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,detrivore,17.44238162,2.9070636,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1999,Shark,invertivore,73.81857116,10.63646776,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,piscivore,7.98942531,1.14134648,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,omnivore,1.410636938,0.21686091,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,algivore,1.758846483,0.253978005,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Taylor,invertivore,5.744593503,0.97577946,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA
April,1999,Taylor,detrivore,1.31882289,0.18840327,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA
April,1999,Taylor,omnivore,1.42561659,0.232839108,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA
April,1999,Taylor,algivore,0.783653825,0.112166185,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA
April,2000,Shark,invertivore,4.519400188,0.645628602,2.566666667,0.557333333,0.505,0.052,0.340333333,34.19966667,0.897666667,33.30233333,0.879333333,0.045333333,2.434666667,1306.944333,14.83333333,15.3,24.5,24.43333333,6.166666667,6.333333333,4.16,NA
April,2000,Shark,detrivore,1.61623108,0.23089015,2.566666667,0.557333333,0.505,0.052,0.340333333,34.19966667,0.897666667,33.30233333,0.879333333,0.045333333,2.434666667,1306.944333,14.83333333,15.3,24.5,24.43333333,6.166666667,6.333333333,4.16,NA
April,2000,Shark,algivore,2.82131658,0.403045227,2.566666667,0.557333333,0.505,0.052,0.340333333,34.19966667,0.897666667,33.30233333,0.879333333,0.045333333,2.434666667,1306.944333,14.83333333,15.3,24.5,24.43333333,6.166666667,6.333333333,4.16,NA
April,2000,Shark,piscivore,0.072923375,0.010417625,2.566666667,0.557333333,0.505,0.052,0.340333333,34.19966667,0.897666667,33.30233333,0.879333333,0.045333333,2.434666667,1306.944333,14.83333333,15.3,24.5,24.43333333,6.166666667,6.333333333,4.16,NA
April,2000,Shark,omnivore,1.3751601,0.196451444,2.566666667,0.557333333,0.505,0.052,0.340333333,34.19966667,0.897666667,33.30233333,0.879333333,0.045333333,2.434666667,1306.944333,14.83333333,15.3,24.5,24.43333333,6.166666667,6.333333333,4.16,NA
April,2000,Taylor,invertivore,2.946326556,0.423795825,2.083333333,0.723833333,0.659,0.065166667,0.869833333,29.8065,1.593666667,28.23733333,0.466833333,0.040166667,0.9425,680.4758333,26.28333333,26.73333333,25.55,25.53333333,5.833333333,5.7,2.09,NA
April,2000,Taylor,omnivore,0.629979916,0.093240283,2.083333333,0.723833333,0.659,0.065166667,0.869833333,29.8065,1.593666667,28.23733333,0.466833333,0.040166667,0.9425,680.4758333,26.28333333,26.73333333,25.55,25.53333333,5.833333333,5.7,2.09,NA
April,2000,Taylor,detrivore,2.07542618,0.29648945,2.083333333,0.723833333,0.659,0.065166667,0.869833333,29.8065,1.593666667,28.23733333,0.466833333,0.040166667,0.9425,680.4758333,26.28333333,26.73333333,25.55,25.53333333,5.833333333,5.7,2.09,NA
April,2000,Taylor,piscivore,0.02065617,0.00295088,2.083333333,0.723833333,0.659,0.065166667,0.869833333,29.8065,1.593666667,28.23733333,0.466833333,0.040166667,0.9425,680.4758333,26.28333333,26.73333333,25.55,25.53333333,5.833333333,5.7,2.09,NA
April,2001,Shark,invertivore,1.644056105,0.308486745,2.566666667,1.138333333,0.964333333,0.174333333,0.539666667,27.843,1.678,26.16533333,0.695,0.044666667,1.478666667,906.3473333,31.2,32.03333333,24.73333333,24.73333333,4.133333333,4,3.476666667,NA
April,2001,Shark,algivore,0.16289328,0.02327047,2.566666667,1.138333333,0.964333333,0.174333333,0.539666667,27.843,1.678,26.16533333,0.695,0.044666667,1.478666667,906.3473333,31.2,32.03333333,24.73333333,24.73333333,4.133333333,4,3.476666667,NA
April,2001,Shark,omnivore,0.753982425,0.159482945,2.566666667,1.138333333,0.964333333,0.174333333,0.539666667,27.843,1.678,26.16533333,0.695,0.044666667,1.478666667,906.3473333,31.2,32.03333333,24.73333333,24.73333333,4.133333333,4,3.476666667,NA
April,2001,Taylor,invertivore,2.849457335,0.86391679,2.083333333,1.0575,0.831,0.2265,2.179833333,25.78783333,3.237166667,22.551,0.328833333,0.026333333,0.601833333,643.125,33.48333333,33.55,24.86666667,24.83333333,6.166666667,6.2,8.013333333,NA
April,2001,Taylor,omnivore,1.171094035,0.332205525,2.083333333,1.0575,0.831,0.2265,2.179833333,25.78783333,3.237166667,22.551,0.328833333,0.026333333,0.601833333,643.125,33.48333333,33.55,24.86666667,24.83333333,6.166666667,6.2,8.013333333,NA
April,2002,Shark,invertivore,10.50627342,1.500896206,2.566666667,0.304333333,0.214,0.090333333,0.723666667,20.16933333,1.027666667,19.14233333,0.571,0.062666667,2.708,975.1806667,17.44,19.65666667,28.45,27.58333333,6.94,6.856666667,2.033333333,NA
April,2002,Shark,algivore,1.47270087,0.210385838,2.566666667,0.304333333,0.214,0.090333333,0.723666667,20.16933333,1.027666667,19.14233333,0.571,0.062666667,2.708,975.1806667,17.44,19.65666667,28.45,27.58333333,6.94,6.856666667,2.033333333,NA
April,2002,Shark,omnivore,0.313370153,0.044767163,2.566666667,0.304333333,0.214,0.090333333,0.723666667,20.16933333,1.027666667,19.14233333,0.571,0.062666667,2.708,975.1806667,17.44,19.65666667,28.45,27.58333333,6.94,6.856666667,2.033333333,NA
April,2002,Shark,piscivore,0.03185529,0.00455076,2.566666667,0.304333333,0.214,0.090333333,0.723666667,20.16933333,1.027666667,19.14233333,0.571,0.062666667,2.708,975.1806667,17.44,19.65666667,28.45,27.58333333,6.94,6.856666667,2.033333333,NA
April,2002,Taylor,invertivore,10.42417088,1.489167265,2.083333333,0.455,0.3665,0.088333333,0.58,14.7215,1.035166667,13.68683333,0.292166667,0.0725,0.845166667,516.1631667,29.29,29.30666667,25.04,25.015,5.916666667,5.39,7.64,NA
April,2002,Taylor,piscivore,3.8164874,0.54521248,2.083333333,0.455,0.3665,0.088333333,0.58,14.7215,1.035166667,13.68683333,0.292166667,0.0725,0.845166667,516.1631667,29.29,29.30666667,25.04,25.015,5.916666667,5.39,7.64,NA
April,2002,Taylor,detrivore,2.669552343,0.38136462,2.083333333,0.455,0.3665,0.088333333,0.58,14.7215,1.035166667,13.68683333,0.292166667,0.0725,0.845166667,516.1631667,29.29,29.30666667,25.04,25.015,5.916666667,5.39,7.64,NA
April,2002,Taylor,omnivore,0.485882873,0.069411835,2.083333333,0.455,0.3665,0.088333333,0.58,14.7215,1.035166667,13.68683333,0.292166667,0.0725,0.845166667,516.1631667,29.29,29.30666667,25.04,25.015,5.916666667,5.39,7.64,NA
April,2002,Taylor,algivore,2.4273091,0.346758445,2.083333333,0.455,0.3665,0.088333333,0.58,14.7215,1.035166667,13.68683333,0.292166667,0.0725,0.845166667,516.1631667,29.29,29.30666667,25.04,25.015,5.916666667,5.39,7.64,NA
April,2003,Shark,invertivore,4.601980774,0.665926035,2.566666667,0.763666667,0.632333333,0.131,1.981333333,30.91566667,2.745,28.17066667,0.416,0.083666667,2.543,934.7223333,17.39666667,17.54333333,26.39,26.25333333,6.14,5.856666667,2.473333333,7.693333333
April,2003,Shark,omnivore,0.594982058,0.104031768,2.566666667,0.763666667,0.632333333,0.131,1.981333333,30.91566667,2.745,28.17066667,0.416,0.083666667,2.543,934.7223333,17.39666667,17.54333333,26.39,26.25333333,6.14,5.856666667,2.473333333,7.693333333
April,2003,Shark,planktivore,0.17142846,0.024489778,2.566666667,0.763666667,0.632333333,0.131,1.981333333,30.91566667,2.745,28.17066667,0.416,0.083666667,2.543,934.7223333,17.39666667,17.54333333,26.39,26.25333333,6.14,5.856666667,2.473333333,7.693333333
April,2003,Shark,detrivore,7.54717088,1.07816727,2.566666667,0.763666667,0.632333333,0.131,1.981333333,30.91566667,2.745,28.17066667,0.416,0.083666667,2.543,934.7223333,17.39666667,17.54333333,26.39,26.25333333,6.14,5.856666667,2.473333333,7.693333333
April,2003,Shark,algivore,0.147664712,0.02109496,2.566666667,0.763666667,0.632333333,0.131,1.981333333,30.91566667,2.745,28.17066667,0.416,0.083666667,2.543,934.7223333,17.39666667,17.54333333,26.39,26.25333333,6.14,5.856666667,2.473333333,7.693333333
April,2003,Shark,piscivore,14.18964777,2.02709253,2.566666667,0.763666667,0.632333333,0.131,1.981333333,30.91566667,2.745,28.17066667,0.416,0.083666667,2.543,934.7223333,17.39666667,17.54333333,26.39,26.25333333,6.14,5.856666667,2.473333333,7.693333333
April,2003,Taylor,omnivore,0.328894073,0.065778815,2.083333333,1.256,1.0815,0.1745,3.637666667,30.26383333,4.8935,25.37033333,0.297666667,0.0995,1.008666667,661.2013333,29.22333333,29.56333333,25.56166667,25.50166667,5.785,5.405,3.281666667,8.046666667
April,2003,Taylor,invertivore,0.718899525,0.14377991,2.083333333,1.256,1.0815,0.1745,3.637666667,30.26383333,4.8935,25.37033333,0.297666667,0.0995,1.008666667,661.2013333,29.22333333,29.56333333,25.56166667,25.50166667,5.785,5.405,3.281666667,8.046666667
April,2003,Taylor,piscivore,0.89309676,0.17861936,2.083333333,1.256,1.0815,0.1745,3.637666667,30.26383333,4.8935,25.37033333,0.297666667,0.0995,1.008666667,661.2013333,29.22333333,29.56333333,25.56166667,25.50166667,5.785,5.405,3.281666667,8.046666667
April,2004,Shark,invertivore,15.02292184,2.146131688,2.566666667,0.834666667,0.729666667,0.105,0.794,35.12566667,1.628333333,33.49766667,0.406,0.042666667,3.535333333,682.014,24.00666667,24.46,23.26666667,23.25666667,7.69,7.276666667,2.44,7.85
April,2004,Shark,detrivore,1.55598632,0.22228376,2.566666667,0.834666667,0.729666667,0.105,0.794,35.12566667,1.628333333,33.49766667,0.406,0.042666667,3.535333333,682.014,24.00666667,24.46,23.26666667,23.25666667,7.69,7.276666667,2.44,7.85
April,2004,Shark,algivore,0.4118336,0.05883337,2.566666667,0.834666667,0.729666667,0.105,0.794,35.12566667,1.628333333,33.49766667,0.406,0.042666667,3.535333333,682.014,24.00666667,24.46,23.26666667,23.25666667,7.69,7.276666667,2.44,7.85
April,2004,Shark,piscivore,3.865223623,0.552174807,2.566666667,0.834666667,0.729666667,0.105,0.794,35.12566667,1.628333333,33.49766667,0.406,0.042666667,3.535333333,682.014,24.00666667,24.46,23.26666667,23.25666667,7.69,7.276666667,2.44,7.85
April,2004,Shark,planktivore,0.422996896,0.06042813,2.566666667,0.834666667,0.729666667,0.105,0.794,35.12566667,1.628333333,33.49766667,0.406,0.042666667,3.535333333,682.014,24.00666667,24.46,23.26666667,23.25666667,7.69,7.276666667,2.44,7.85
April,2004,Shark,omnivore,0.948209438,0.135458492,2.566666667,0.834666667,0.729666667,0.105,0.794,35.12566667,1.628333333,33.49766667,0.406,0.042666667,3.535333333,682.014,24.00666667,24.46,23.26666667,23.25666667,7.69,7.276666667,2.44,7.85
April,2004,Taylor,algivore,0.11225482,0.022450965,2.083333333,0.693833333,0.574166667,0.119666667,1.2175,52.011,1.9115,50.10016667,0.205333333,0.030833333,0.777833333,515.6041667,31.08833333,31.11666667,24.76,24.47666667,6.478333333,6.641666667,4.095,8.293333333
April,2004,Taylor,omnivore,1.477056762,0.295411352,2.083333333,0.693833333,0.574166667,0.119666667,1.2175,52.011,1.9115,50.10016667,0.205333333,0.030833333,0.777833333,515.6041667,31.08833333,31.11666667,24.76,24.47666667,6.478333333,6.641666667,4.095,8.293333333
April,2004,Taylor,invertivore,7.00161448,1.400322892,2.083333333,0.693833333,0.574166667,0.119666667,1.2175,52.011,1.9115,50.10016667,0.205333333,0.030833333,0.777833333,515.6041667,31.08833333,31.11666667,24.76,24.47666667,6.478333333,6.641666667,4.095,8.293333333
April,2004,Taylor,planktivore,0.50878325,0.10175665,2.083333333,0.693833333,0.574166667,0.119666667,1.2175,52.011,1.9115,50.10016667,0.205333333,0.030833333,0.777833333,515.6041667,31.08833333,31.11666667,24.76,24.47666667,6.478333333,6.641666667,4.095,8.293333333
April,2004,Taylor,detrivore,2.442292116,0.488458424,2.083333333,0.693833333,0.574166667,0.119666667,1.2175,52.011,1.9115,50.10016667,0.205333333,0.030833333,0.777833333,515.6041667,31.08833333,31.11666667,24.76,24.47666667,6.478333333,6.641666667,4.095,8.293333333
April,2004,Taylor,piscivore,1.16483812,0.23296762,2.083333333,0.693833333,0.574166667,0.119666667,1.2175,52.011,1.9115,50.10016667,0.205333333,0.030833333,0.777833333,515.6041667,31.08833333,31.11666667,24.76,24.47666667,6.478333333,6.641666667,4.095,8.293333333
April,2005,Shark,piscivore,0.6981067,0.13962134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2005,Shark,invertivore,1.997453661,0.399490733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2005,Shark,omnivore,0.453877993,0.090775598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2005,Shark,planktivore,0.15240467,0.03048093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2005,Taylor,invertivore,0.733601225,0.146720243,2.02,1.161,0.9786,0.1822,1.4266,28.8314,2.5878,26.2436,0.1664,0.0558,0.3154,598.8502,40.734,41.152,23.7,23.562,5.584,5.418,3.25,8.226
April,2005,Taylor,omnivore,0.172175487,0.034435097,2.02,1.161,0.9786,0.1822,1.4266,28.8314,2.5878,26.2436,0.1664,0.0558,0.3154,598.8502,40.734,41.152,23.7,23.562,5.584,5.418,3.25,8.226
April ,2004,Shark,invertivore,0.03469836,0.00495691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April ,2004,Shark,omnivore,0.76420768,0.10917253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April ,2005,Taylor,invertivore,0.07509249,0.0150185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April ,2005,Taylor,omnivore,0.05106428,0.01021286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1996,Shark,algivore,0.419562438,0.059937492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1996,Shark,invertivore,4.981473056,0.711639007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1996,Shark,omnivore,1.166986667,0.16671238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1996,Taylor,algivore,0.184543946,0.026363419,2.02,2.4592,1.9792,0.4802,3.9428,47.4246,6.4018,41.0232,0.2838,0.0256,0.9704,631.3042,21.54,21.88,23.84,23.88,7.08,7.08,6.15,NA
December,1996,Taylor,invertivore,2.121095712,0.303013674,2.02,2.4592,1.9792,0.4802,3.9428,47.4246,6.4018,41.0232,0.2838,0.0256,0.9704,631.3042,21.54,21.88,23.84,23.88,7.08,7.08,6.15,NA
December,1996,Taylor,omnivore,0.973219888,0.139031412,2.02,2.4592,1.9792,0.4802,3.9428,47.4246,6.4018,41.0232,0.2838,0.0256,0.9704,631.3042,21.54,21.88,23.84,23.88,7.08,7.08,6.15,NA
December,1996,Taylor,detrivore,0.54390661,0.07770094,2.02,2.4592,1.9792,0.4802,3.9428,47.4246,6.4018,41.0232,0.2838,0.0256,0.9704,631.3042,21.54,21.88,23.84,23.88,7.08,7.08,6.15,NA
December,1996,Taylor,planktivore,0.513452778,0.073350397,2.02,2.4592,1.9792,0.4802,3.9428,47.4246,6.4018,41.0232,0.2838,0.0256,0.9704,631.3042,21.54,21.88,23.84,23.88,7.08,7.08,6.15,NA
December,1996,Taylor,piscivore,0.47060938,0.06722991,2.02,2.4592,1.9792,0.4802,3.9428,47.4246,6.4018,41.0232,0.2838,0.0256,0.9704,631.3042,21.54,21.88,23.84,23.88,7.08,7.08,6.15,NA
December,1997,Shark,invertivore,13.55663933,1.936662759,2.566666667,1.663333333,1.517666667,0.146,1.173666667,48.51066667,2.837,45.674,0.431666667,0.066666667,1.254666667,1076.069333,6.933333333,7.133333333,20.03333333,19.96666667,7.9,8.266666667,1.383333333,NA
December,1997,Shark,piscivore,0.18842655,0.02691808,2.566666667,1.663333333,1.517666667,0.146,1.173666667,48.51066667,2.837,45.674,0.431666667,0.066666667,1.254666667,1076.069333,6.933333333,7.133333333,20.03333333,19.96666667,7.9,8.266666667,1.383333333,NA
December,1997,Shark,omnivore,0.857653373,0.12252191,2.566666667,1.663333333,1.517666667,0.146,1.173666667,48.51066667,2.837,45.674,0.431666667,0.066666667,1.254666667,1076.069333,6.933333333,7.133333333,20.03333333,19.96666667,7.9,8.266666667,1.383333333,NA
December,1997,Shark,detrivore,0.734728203,0.104961173,2.566666667,1.663333333,1.517666667,0.146,1.173666667,48.51066667,2.837,45.674,0.431666667,0.066666667,1.254666667,1076.069333,6.933333333,7.133333333,20.03333333,19.96666667,7.9,8.266666667,1.383333333,NA
December,1997,Shark,algivore,1.411133739,0.201590533,2.566666667,1.663333333,1.517666667,0.146,1.173666667,48.51066667,2.837,45.674,0.431666667,0.066666667,1.254666667,1076.069333,6.933333333,7.133333333,20.03333333,19.96666667,7.9,8.266666667,1.383333333,NA
December,1997,Taylor,omnivore,0.748130565,0.107538574,2.083333333,1.309833333,1.151,0.159,2.556833333,36.13783333,3.866666667,32.27116667,0.314833333,0.084,0.62,598.5765,20.53333333,22.13333333,23.3,22.46666667,6.2,6.45,1.958333333,NA
December,1997,Taylor,piscivore,0.32424359,0.04632051,2.083333333,1.309833333,1.151,0.159,2.556833333,36.13783333,3.866666667,32.27116667,0.314833333,0.084,0.62,598.5765,20.53333333,22.13333333,23.3,22.46666667,6.2,6.45,1.958333333,NA
December,1997,Taylor,invertivore,3.075225083,0.444769296,2.083333333,1.309833333,1.151,0.159,2.556833333,36.13783333,3.866666667,32.27116667,0.314833333,0.084,0.62,598.5765,20.53333333,22.13333333,23.3,22.46666667,6.2,6.45,1.958333333,NA
December,1997,Taylor,algivore,0.301965093,0.04313787,2.083333333,1.309833333,1.151,0.159,2.556833333,36.13783333,3.866666667,32.27116667,0.314833333,0.084,0.62,598.5765,20.53333333,22.13333333,23.3,22.46666667,6.2,6.45,1.958333333,NA
December,1997,Taylor,detrivore,0.55477294,0.08657459,2.083333333,1.309833333,1.151,0.159,2.556833333,36.13783333,3.866666667,32.27116667,0.314833333,0.084,0.62,598.5765,20.53333333,22.13333333,23.3,22.46666667,6.2,6.45,1.958333333,NA
December,1998,Shark,algivore,2.224000771,0.317714398,2.566666667,4.114666667,3.789333333,0.325333333,1.405333333,49.28566667,5.519333333,43.76633333,0.770666667,0.119666667,2.090333333,930.6456667,10.96666667,11.03333333,24.56666667,24.56666667,4.033333333,4.033333333,7.986666667,NA
December,1998,Shark,invertivore,9.822540222,1.403220037,2.566666667,4.114666667,3.789333333,0.325333333,1.405333333,49.28566667,5.519333333,43.76633333,0.770666667,0.119666667,2.090333333,930.6456667,10.96666667,11.03333333,24.56666667,24.56666667,4.033333333,4.033333333,7.986666667,NA
