Month,Year,Area,SpeciesName,CommonName,FunctionalGroup,TotalSpeciesWeight,SpeciesBiomass,DEPTH,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,CHLA,TOC,SAL_S,SAL_B,TEMP_S,TEMP_B,DO_S,DO_B,TURB,pH
April,1996,Shark,Enneacanthus gloriosus,Blue spotted sunfish,planktivore,0.234918705,0.033559815,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Heterandria formosa,Least killifish,invertivore,0.643302673,0.09190038,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Notropis petersoni,Coastal shiner,planktivore,0.160210408,0.022887202,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Oreochromis aureus,Blue tilapia,detrivore,1.20126509,0.1716093,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Erimyzon sucetta,Lake chubsucker,invertivore,2.436373267,0.348053323,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Elassoma evergladei,Everglades pygmy sunfish,invertivore,0.20622898,0.029461283,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1996,Shark,Lucania goodei,Bluefin killifish,omnivore,2.241884876,0.320269268,2.566666667,1.912666667,1.672666667,0.240333333,0.489333333,51.121,2.402,48.71966667,0.528333333,0.137666667,2.289,1134.930667,20.6,21.3,26.33333333,26.26666667,6.8,6.766666667,4.033333333,NA
April,1997,Shark,Jordanella floridae,Flagfish,invertivore,0.501789668,0.071684238,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Lucania goodei,Bluefin killifish,omnivore,1.123229601,0.161723659,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Notropis petersoni,Coastal shiner,planktivore,0.13611693,0.01944528,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Gambusia holbrooki,Eastern mosquitofish,invertivore,0.739109274,0.107324297,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Elassoma evergladei,Everglades pygmy sunfish,invertivore,0.03532548,0.00571711,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Fundulus chrysotus,Golden topminnow,invertivore,0.948371419,0.149088431,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Erimyzon sucetta,Lake chubsucker,invertivore,1.72653277,0.24664754,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Lepomis microlophus,Redear sunfish,invertivore,1.31924713,0.18846388,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Lepomis punctatus,Spotted sunfish,invertivore,1.56747887,0.22392555,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Poecilia latipinna,Sailfin molly,algivore,0.779387546,0.112373149,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Shark,Heterandria formosa,Least killifish,invertivore,0.556426331,0.080756829,2.566666667,0.387666667,0.271333333,0.117,0.249666667,46.54133333,0.637,45.905,0.526,0.012666667,3.422666667,1160.541667,25.2,26.7,26.7,26.53333333,5.733333333,5.5,4.3,NA
April,1997,Taylor,Elassoma evergladei,Everglades pygmy sunfish,invertivore,0.270011604,0.038573086,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Heterandria formosa,Least killifish,invertivore,0.202140013,0.028877143,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Erimyzon sucetta,Lake chubsucker,invertivore,0.12666019,0.01809431,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Lepomis marginatus,Dollar sunfish,invertivore,0.277424857,0.039632123,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Poecilia latipinna,Sailfin molly,algivore,0.024641475,0.00352021,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Jordanella floridae,Flagfish,invertivore,0.637201641,0.091028807,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Lepomis microlophus,Redear sunfish,invertivore,0.34720519,0.04960074,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Lucania goodei,Bluefin killifish,omnivore,1.121602022,0.160228861,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Lepomis punctatus,Spotted sunfish,invertivore,0.39860158,0.056943084,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Noturus gyrinus,Tadpole madtom,invertivore,0.23808485,0.03401212,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Fundulus confluentus,Marsh killifish,invertivore,0.432709355,0.061815623,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Enneacanthus gloriosus,Blue spotted sunfish,planktivore,0.317370022,0.045338574,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Fundulus chrysotus,Golden topminnow,invertivore,0.529439301,0.075634187,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Notropis petersoni,Coastal shiner,planktivore,0.014052385,0.00200748,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Ameiurus natalis,Yellow bullhead,invertivore,0.44412081,0.06344583,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1997,Taylor,Gambusia holbrooki,Eastern mosquitofish,invertivore,0.369287206,0.052755313,2.083333333,0.641833333,0.486833333,0.155166667,1.777,32.74366667,2.4185,30.32516667,0.258166667,0.026833333,0.827833333,660.2293333,31.75,31.71666667,26.33333333,26.3,6.2,6.183333333,7.7,NA
April,1998,Shark,Lepomis punctatus,Spotted sunfish,invertivore,6.20729871,0.88675696,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Erimyzon sucetta,Lake chubsucker,invertivore,1.394414758,0.19920211,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Lucania goodei,Bluefin killifish,omnivore,1.180332932,0.168618991,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Poecilia latipinna,Sailfin molly,algivore,1.708457451,0.244065349,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Belonesox belizanus,Pike topminnow,piscivore,0.913457405,0.130493915,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Gambusia holbrooki,Eastern mosquitofish,invertivore,0.913662876,0.130523269,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Fundulus chrysotus,Golden topminnow,invertivore,0.794064979,0.113437854,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Cichlasoma urophthalmus,Mayan cichlid,detrivore,3.21378113,0.45911159,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Jordanella floridae,Flagfish,invertivore,1.000241778,0.142891682,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Fundulus confluentus,Marsh killifish,invertivore,0.17062308,0.02437473,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Elassoma evergladei,Everglades pygmy sunfish,invertivore,0.07401814,0.010574018,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Lepomis microlophus,Redear sunfish,invertivore,4.72821853,0.67545979,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Noturus gyrinus,Tadpole madtom,invertivore,0.054661893,0.007808843,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Ameiurus natalis,Yellow bullhead,invertivore,2.67551476,0.382216397,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Shark,Heterandria formosa,Least killifish,invertivore,0.541356916,0.077336704,2.566666667,1.147666667,0.857,0.291,0.642666667,53.738,1.790333333,51.948,0.414333333,0.074666667,4.815666667,1130.521,11.2,11.2,23.83333333,23.83333333,7.666666667,7.766666667,4.016666667,NA
April,1998,Taylor,Fundulus chrysotus,Golden topminnow,invertivore,0.745981286,0.107331387,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Lepomis macrochirus,Bluegill sunfish,invertivore,0.23475888,0.03353698,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Labidesthes sicculus,Brook silverside,planktivore,0.05134317,0.00855719,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Elassoma evergladei,Everglades pygmy sunfish,invertivore,0.15443345,0.022172211,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Jordanella floridae,Flagfish,invertivore,0.669130248,0.09655295,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Gambusia holbrooki,Eastern mosquitofish,invertivore,0.23944407,0.034215372,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Fundulus confluentus,Marsh killifish,invertivore,0.203266363,0.031668953,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Ameiurus natalis,Yellow bullhead,invertivore,1.91236947,0.27319564,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Heterandria formosa,Least killifish,invertivore,0.183101528,0.026414518,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Cyprinodon variegatus,Sheepshed minnow,omnivore,0.15113417,0.0215906,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Lepomis gulosus,Warmouth,piscivore,8.47899337,1.21128477,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Poecilia latipinna,Sailfin molly,algivore,1.503550245,0.214792895,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Cichlasoma urophthalmus,Mayan cichlid,detrivore,17.44238162,2.9070636,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Enneacanthus gloriosus,Blue spotted sunfish,planktivore,0.031515925,0.00462745,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Lucania goodei,Bluefin killifish,omnivore,0.852982698,0.123544322,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Lepomis punctatus,Spotted sunfish,invertivore,1.18157893,0.16879699,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Erimyzon sucetta,Lake chubsucker,invertivore,0.313082549,0.044726078,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,Lepomis marginatus,Dollar sunfish,invertivore,0.21607191,0.03086742,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1999,Shark,Ameiurus natalis,Yellow bullhead,invertivore,53.10452076,7.58636011,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Lepomis gulosus,Warmouth,piscivore,7.947204,1.13531486,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Elassoma evergladei,Everglades pygmy sunfish,invertivore,0.217504423,0.03723547,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Lucania goodei,Bluefin killifish,omnivore,1.410636938,0.21686091,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Lepomis punctatus,Spotted sunfish,invertivore,1.455443658,0.207920523,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Noturus gyrinus,Tadpole madtom,invertivore,11.64244606,1.66320658,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Belonesox belizanus,Pike topminnow,piscivore,0.04222131,0.00603162,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Erimyzon sucetta,Lake chubsucker,invertivore,3.030027753,0.445057053,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Lepomis marginatus,Dollar sunfish,invertivore,0.67563077,0.11260513,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Heterandria formosa,Least killifish,invertivore,0.535142867,0.086538024,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Fundulus confluentus,Marsh killifish,invertivore,0.2083782,0.03271262,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Fundulus chrysotus,Golden topminnow,invertivore,0.810911294,0.130451108,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,Poecilia latipinna,Sailfin molly,algivore,1.758846483,0.253978005,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
