Month,Year,Area,ThermalGuild,TotalWeight,TotalBiomass,Depth,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,ChlA,TOC,Sal_S,Sal_B,Temp_S,Temp_B,DO_S,DO_B,Turb,pH
April,1998,Taylor,warm,28.67237313,4.512579629,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,cool/warm,3.144922118,0.454087769,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1998,Taylor,cool,2.747824634,0.394271927,2.083333333,1.342833333,1.058666667,0.284333333,1.745333333,39.52166667,3.087666667,36.43416667,0.3185,0.019833333,0.861,644.7083333,21.75,21.76666667,22.33333333,22.33333333,6.466666667,6.45,8.008333333,NA
April,1999,Shark,cool/warm,16.44858574,2.403136739,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,cool,3.040927017,0.458651413,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Shark,warm,65.48796713,9.386865006,2.566666667,1.058666667,0.863666667,0.195,0.947,40.407,2.005333333,38.40166667,0.693,0.100333333,1.762666667,835.3543333,27.06666667,27.43333333,28.43333333,28.4,5.133333333,5.066666667,1.673333333,NA
April,1999,Taylor,cool/warm,4.79621986,0.763367768,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA
April,1999,Taylor,cool,2.628618678,0.459985745,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA
April,1999,Taylor,warm,1.84784827,0.28583451,2.083333333,0.410333333,0.269333333,0.141,1.840666667,39.8655,2.250666667,37.61483333,0.430333333,0.016333333,0.4995,755.1771667,37.98333333,37.95,28.18333333,28.21666667,4.933333333,4.9,2.27,NA
April,2000,Shark,warm,3.568414067,0.509773438,2.566666667,0.557333333,0.505,0.052,0.340333333,34.19966667,0.897666667,33.30233333,0.879333333,0.045333333,2.434666667,1306.944333,14.83333333,15.3,24.5,24.43333333,6.166666667,6.333333333,4.16,NA
April,2000,Shark,cool,1.196635072,0.17094787,2.566666667,0.557333333,0.505,0.052,0.340333333,34.19966667,0.897666667,33.30233333,0.879333333,0.045333333,2.434666667,1306.944333,14.83333333,15.3,24.5,24.43333333,6.166666667,6.333333333,4.16,NA
April,2000,Shark,cool/warm,5.639982185,0.80571174,2.566666667,0.557333333,0.505,0.052,0.340333333,34.19966667,0.897666667,33.30233333,0.879333333,0.045333333,2.434666667,1306.944333,14.83333333,15.3,24.5,24.43333333,6.166666667,6.333333333,4.16,NA
April,2000,Taylor,cool,1.337525243,0.191075034,2.083333333,0.723833333,0.659,0.065166667,0.869833333,29.8065,1.593666667,28.23733333,0.466833333,0.040166667,0.9425,680.4758333,26.28333333,26.73333333,25.55,25.53333333,5.833333333,5.7,2.09,NA
April,2000,Taylor,warm,2.984777487,0.429128921,2.083333333,0.723833333,0.659,0.065166667,0.869833333,29.8065,1.593666667,28.23733333,0.466833333,0.040166667,0.9425,680.4758333,26.28333333,26.73333333,25.55,25.53333333,5.833333333,5.7,2.09,NA
April,2000,Taylor,cool/warm,1.350086091,0.196272482,2.083333333,0.723833333,0.659,0.065166667,0.869833333,29.8065,1.593666667,28.23733333,0.466833333,0.040166667,0.9425,680.4758333,26.28333333,26.73333333,25.55,25.53333333,5.833333333,5.7,2.09,NA
April,2001,Shark,warm,0.566561135,0.112877115,2.566666667,1.138333333,0.964333333,0.174333333,0.539666667,27.843,1.678,26.16533333,0.695,0.044666667,1.478666667,906.3473333,31.2,32.03333333,24.73333333,24.73333333,4.133333333,4,3.476666667,NA
April,2001,Shark,cool/warm,1.952023395,0.356378175,2.566666667,1.138333333,0.964333333,0.174333333,0.539666667,27.843,1.678,26.16533333,0.695,0.044666667,1.478666667,906.3473333,31.2,32.03333333,24.73333333,24.73333333,4.133333333,4,3.476666667,NA
April,2001,Shark,cool,0.04234728,0.02198487,2.566666667,1.138333333,0.964333333,0.174333333,0.539666667,27.843,1.678,26.16533333,0.695,0.044666667,1.478666667,906.3473333,31.2,32.03333333,24.73333333,24.73333333,4.133333333,4,3.476666667,NA
April,2001,Taylor,cool,1.77843276,0.530825305,2.083333333,1.0575,0.831,0.2265,2.179833333,25.78783333,3.237166667,22.551,0.328833333,0.026333333,0.601833333,643.125,33.48333333,33.55,24.86666667,24.83333333,6.166666667,6.2,8.013333333,NA
April,2001,Taylor,cool/warm,2.133104385,0.635905495,2.083333333,1.0575,0.831,0.2265,2.179833333,25.78783333,3.237166667,22.551,0.328833333,0.026333333,0.601833333,643.125,33.48333333,33.55,24.86666667,24.83333333,6.166666667,6.2,8.013333333,NA
April,2001,Taylor,warm,0.109014225,0.029391515,2.083333333,1.0575,0.831,0.2265,2.179833333,25.78783333,3.237166667,22.551,0.328833333,0.026333333,0.601833333,643.125,33.48333333,33.55,24.86666667,24.83333333,6.166666667,6.2,8.013333333,NA
April,2002,Shark,cool/warm,3.370119825,0.48144569,2.566666667,0.304333333,0.214,0.090333333,0.723666667,20.16933333,1.027666667,19.14233333,0.571,0.062666667,2.708,975.1806667,17.44,19.65666667,28.45,27.58333333,6.94,6.856666667,2.033333333,NA
April,2002,Shark,warm,1.819148244,0.259878327,2.566666667,0.304333333,0.214,0.090333333,0.723666667,20.16933333,1.027666667,19.14233333,0.571,0.062666667,2.708,975.1806667,17.44,19.65666667,28.45,27.58333333,6.94,6.856666667,2.033333333,NA
April,2002,Shark,cool,7.134931663,1.01927595,2.566666667,0.304333333,0.214,0.090333333,0.723666667,20.16933333,1.027666667,19.14233333,0.571,0.062666667,2.708,975.1806667,17.44,19.65666667,28.45,27.58333333,6.94,6.856666667,2.033333333,NA
April,2002,Taylor,cool,5.27307391,0.753296265,2.083333333,0.455,0.3665,0.088333333,0.58,14.7215,1.035166667,13.68683333,0.292166667,0.0725,0.845166667,516.1631667,29.29,29.30666667,25.04,25.015,5.916666667,5.39,7.64,NA
April,2002,Taylor,cool/warm,6.179881516,0.88284022,2.083333333,0.455,0.3665,0.088333333,0.58,14.7215,1.035166667,13.68683333,0.292166667,0.0725,0.845166667,516.1631667,29.29,29.30666667,25.04,25.015,5.916666667,5.39,7.64,NA
April,2002,Taylor,warm,8.370447168,1.19577816,2.083333333,0.455,0.3665,0.088333333,0.58,14.7215,1.035166667,13.68683333,0.292166667,0.0725,0.845166667,516.1631667,29.29,29.30666667,25.04,25.015,5.916666667,5.39,7.64,NA
April,2003,Shark,cool,2.658002512,0.398922126,2.566666667,0.763666667,0.632333333,0.131,1.981333333,30.91566667,2.745,28.17066667,0.416,0.083666667,2.543,934.7223333,17.39666667,17.54333333,26.39,26.25333333,6.14,5.856666667,2.473333333,7.693333333
April,2003,Shark,warm,23.18522349,3.313965109,2.566666667,0.763666667,0.632333333,0.131,1.981333333,30.91566667,2.745,28.17066667,0.416,0.083666667,2.543,934.7223333,17.39666667,17.54333333,26.39,26.25333333,6.14,5.856666667,2.473333333,7.693333333
April,2003,Shark,cool/warm,1.409648648,0.207915106,2.566666667,0.763666667,0.632333333,0.131,1.981333333,30.91566667,2.745,28.17066667,0.416,0.083666667,2.543,934.7223333,17.39666667,17.54333333,26.39,26.25333333,6.14,5.856666667,2.473333333,7.693333333
April,2003,Taylor,warm,1.006531664,0.201306342,2.083333333,1.256,1.0815,0.1745,3.637666667,30.26383333,4.8935,25.37033333,0.297666667,0.0995,1.008666667,661.2013333,29.22333333,29.56333333,25.56166667,25.50166667,5.785,5.405,3.281666667,8.046666667
April,2003,Taylor,cool,0.598967811,0.119793561,2.083333333,1.256,1.0815,0.1745,3.637666667,30.26383333,4.8935,25.37033333,0.297666667,0.0995,1.008666667,661.2013333,29.22333333,29.56333333,25.56166667,25.50166667,5.785,5.405,3.281666667,8.046666667
April,2003,Taylor,cool/warm,0.335390883,0.067078181,2.083333333,1.256,1.0815,0.1745,3.637666667,30.26383333,4.8935,25.37033333,0.297666667,0.0995,1.008666667,661.2013333,29.22333333,29.56333333,25.56166667,25.50166667,5.785,5.405,3.281666667,8.046666667
April,2004,Shark,cool/warm,5.513182988,0.787597565,2.566666667,0.834666667,0.729666667,0.105,0.794,35.12566667,1.628333333,33.49766667,0.406,0.042666667,3.535333333,682.014,24.00666667,24.46,23.26666667,23.25666667,7.69,7.276666667,2.44,7.85
April,2004,Shark,warm,13.52354494,1.931934997,2.566666667,0.834666667,0.729666667,0.105,0.794,35.12566667,1.628333333,33.49766667,0.406,0.042666667,3.535333333,682.014,24.00666667,24.46,23.26666667,23.25666667,7.69,7.276666667,2.44,7.85
April,2004,Shark,cool,3.190443781,0.455777685,2.566666667,0.834666667,0.729666667,0.105,0.794,35.12566667,1.628333333,33.49766667,0.406,0.042666667,3.535333333,682.014,24.00666667,24.46,23.26666667,23.25666667,7.69,7.276666667,2.44,7.85
April,2004,Taylor,warm,4.086305561,0.817261109,2.083333333,0.693833333,0.574166667,0.119666667,1.2175,52.011,1.9115,50.10016667,0.205333333,0.030833333,0.777833333,515.6041667,31.08833333,31.11666667,24.76,24.47666667,6.478333333,6.641666667,4.095,8.293333333
April,2004,Taylor,cool/warm,4.251607699,0.850321537,2.083333333,0.693833333,0.574166667,0.119666667,1.2175,52.011,1.9115,50.10016667,0.205333333,0.030833333,0.777833333,515.6041667,31.08833333,31.11666667,24.76,24.47666667,6.478333333,6.641666667,4.095,8.293333333
April,2004,Taylor,cool,4.368926288,0.873785257,2.083333333,0.693833333,0.574166667,0.119666667,1.2175,52.011,1.9115,50.10016667,0.205333333,0.030833333,0.777833333,515.6041667,31.08833333,31.11666667,24.76,24.47666667,6.478333333,6.641666667,4.095,8.293333333
April,2005,Shark,cool/warm,1.300328317,0.260065657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2005,Shark,warm,1.607947643,0.321589533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2005,Shark,cool,0.393567065,0.078713412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2005,Taylor,cool,0.684684202,0.136936842,2.02,1.161,0.9786,0.1822,1.4266,28.8314,2.5878,26.2436,0.1664,0.0558,0.3154,598.8502,40.734,41.152,23.7,23.562,5.584,5.418,3.25,8.226
April,2005,Taylor,warm,0.120467843,0.024093567,2.02,1.161,0.9786,0.1822,1.4266,28.8314,2.5878,26.2436,0.1664,0.0558,0.3154,598.8502,40.734,41.152,23.7,23.562,5.584,5.418,3.25,8.226
April,2005,Taylor,cool/warm,0.100624667,0.020124932,2.02,1.161,0.9786,0.1822,1.4266,28.8314,2.5878,26.2436,0.1664,0.0558,0.3154,598.8502,40.734,41.152,23.7,23.562,5.584,5.418,3.25,8.226
April ,2004,Shark,cool/warm,0.79890604,0.11412944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April ,2005,Taylor,cool,0.12615677,0.02523136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1996,Shark,cool/warm,2.370550608,0.338650084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1996,Shark,cool,2.137052797,0.305293256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1996,Shark,warm,2.060418756,0.29434554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1996,Taylor,warm,1.519000288,0.217000035,2.02,2.4592,1.9792,0.4802,3.9428,47.4246,6.4018,41.0232,0.2838,0.0256,0.9704,631.3042,21.54,21.88,23.84,23.88,7.08,7.08,6.15,NA
December,1996,Taylor,cool/warm,2.096333506,0.299476212,2.02,2.4592,1.9792,0.4802,3.9428,47.4246,6.4018,41.0232,0.2838,0.0256,0.9704,631.3042,21.54,21.88,23.84,23.88,7.08,7.08,6.15,NA
December,1996,Taylor,cool,1.19149452,0.170213504,2.02,2.4592,1.9792,0.4802,3.9428,47.4246,6.4018,41.0232,0.2838,0.0256,0.9704,631.3042,21.54,21.88,23.84,23.88,7.08,7.08,6.15,NA
December,1997,Shark,warm,9.151603733,1.307371967,2.566666667,1.663333333,1.517666667,0.146,1.173666667,48.51066667,2.837,45.674,0.431666667,0.066666667,1.254666667,1076.069333,6.933333333,7.133333333,20.03333333,19.96666667,7.9,8.266666667,1.383333333,NA
December,1997,Shark,cool/warm,3.429827942,0.489975416,2.566666667,1.663333333,1.517666667,0.146,1.173666667,48.51066667,2.837,45.674,0.431666667,0.066666667,1.254666667,1076.069333,6.933333333,7.133333333,20.03333333,19.96666667,7.9,8.266666667,1.383333333,NA
December,1997,Shark,cool,4.167149517,0.595307073,2.566666667,1.663333333,1.517666667,0.146,1.173666667,48.51066667,2.837,45.674,0.431666667,0.066666667,1.254666667,1076.069333,6.933333333,7.133333333,20.03333333,19.96666667,7.9,8.266666667,1.383333333,NA
December,1997,Taylor,cool/warm,1.731496799,0.249985828,2.083333333,1.309833333,1.151,0.159,2.556833333,36.13783333,3.866666667,32.27116667,0.314833333,0.084,0.62,598.5765,20.53333333,22.13333333,23.3,22.46666667,6.2,6.45,1.958333333,NA
December,1997,Taylor,warm,1.221508571,0.182020027,2.083333333,1.309833333,1.151,0.159,2.556833333,36.13783333,3.866666667,32.27116667,0.314833333,0.084,0.62,598.5765,20.53333333,22.13333333,23.3,22.46666667,6.2,6.45,1.958333333,NA
December,1997,Taylor,cool,2.0513319,0.296334985,2.083333333,1.309833333,1.151,0.159,2.556833333,36.13783333,3.866666667,32.27116667,0.314833333,0.084,0.62,598.5765,20.53333333,22.13333333,23.3,22.46666667,6.2,6.45,1.958333333,NA
December,1998,Shark,warm,7.903574007,1.129082005,2.566666667,4.114666667,3.789333333,0.325333333,1.405333333,49.28566667,5.519333333,43.76633333,0.770666667,0.119666667,2.090333333,930.6456667,10.96666667,11.03333333,24.56666667,24.56666667,4.033333333,4.033333333,7.986666667,NA
December,1998,Shark,cool/warm,4.834238159,0.690605454,2.566666667,4.114666667,3.789333333,0.325333333,1.405333333,49.28566667,5.519333333,43.76633333,0.770666667,0.119666667,2.090333333,930.6456667,10.96666667,11.03333333,24.56666667,24.56666667,4.033333333,4.033333333,7.986666667,NA
December,1998,Shark,cool,3.28224983,0.468892833,2.566666667,4.114666667,3.789333333,0.325333333,1.405333333,49.28566667,5.519333333,43.76633333,0.770666667,0.119666667,2.090333333,930.6456667,10.96666667,11.03333333,24.56666667,24.56666667,4.033333333,4.033333333,7.986666667,NA
December,1998,Shark,cold,0,0,2.566666667,4.114666667,3.789333333,0.325333333,1.405333333,49.28566667,5.519333333,43.76633333,0.770666667,0.119666667,2.090333333,930.6456667,10.96666667,11.03333333,24.56666667,24.56666667,4.033333333,4.033333333,7.986666667,NA
December,1998,Taylor,cool/warm,2.324771102,0.332110159,2.083333333,2.207333333,1.962833333,0.244666667,2.665,42.8065,4.872,37.93483333,0.468833333,0.066,0.973166667,636.9721667,21.76666667,22.5,24.63333333,24.8,7,7.966666667,3.551666667,NA
December,1998,Taylor,warm,5.341071128,0.763010168,2.083333333,2.207333333,1.962833333,0.244666667,2.665,42.8065,4.872,37.93483333,0.468833333,0.066,0.973166667,636.9721667,21.76666667,22.5,24.63333333,24.8,7,7.966666667,3.551666667,NA
December,1998,Taylor,cool,9.893018552,1.413288365,2.083333333,2.207333333,1.962833333,0.244666667,2.665,42.8065,4.872,37.93483333,0.468833333,0.066,0.973166667,636.9721667,21.76666667,22.5,24.63333333,24.8,7,7.966666667,3.551666667,NA
December,1999,Shark,cool,5.94158397,0.848797707,2.566666667,1.851333333,1.692,0.159333333,0.988666667,53.26333333,2.839333333,50.424,0.418333333,0.051666667,3.333666667,1016.451333,5.566666667,5.6,22.36666667,22.36666667,4.933333333,4.9,3.813333333,NA
December,1999,Shark,cool/warm,8.63359916,1.233371306,2.566666667,1.851333333,1.692,0.159333333,0.988666667,53.26333333,2.839333333,50.424,0.418333333,0.051666667,3.333666667,1016.451333,5.566666667,5.6,22.36666667,22.36666667,4.933333333,4.9,3.813333333,NA
December,1999,Shark,warm,2.756897403,0.393842486,2.566666667,1.851333333,1.692,0.159333333,0.988666667,53.26333333,2.839333333,50.424,0.418333333,0.051666667,3.333666667,1016.451333,5.566666667,5.6,22.36666667,22.36666667,4.933333333,4.9,3.813333333,NA
December,1999,Taylor,cool/warm,0.848776194,0.121253747,2.083333333,1.845666667,1.475666667,0.370166667,3.566166667,43.97116667,5.4115,38.55983333,0.3675,-1666.440667,2.600333333,725.0731667,17.43333333,17.8,19.15,19.16666667,7.916666667,8.066666667,6.983333333,NA
December,1999,Taylor,cool,0.887574374,0.126796332,2.083333333,1.845666667,1.475666667,0.370166667,3.566166667,43.97116667,5.4115,38.55983333,0.3675,-1666.440667,2.600333333,725.0731667,17.43333333,17.8,19.15,19.16666667,7.916666667,8.066666667,6.983333333,NA
December,1999,Taylor,warm,0.279605708,0.039943672,2.083333333,1.845666667,1.475666667,0.370166667,3.566166667,43.97116667,5.4115,38.55983333,0.3675,-1666.440667,2.600333333,725.0731667,17.43333333,17.8,19.15,19.16666667,7.916666667,8.066666667,6.983333333,NA
December,2000,Shark,cool/warm,4.627530203,0.661075746,2.566666667,2.793333333,2.579,0.214,1.008,24.49233333,3.800666667,20.69166667,0.457,0.076666667,1.628333333,1055.139,14.6,15.1,23.9,23.76666667,4.933333333,4.766666667,2.31,NA
December,2000,Shark,cool,4.550065081,0.6500093,2.566666667,2.793333333,2.579,0.214,1.008,24.49233333,3.800666667,20.69166667,0.457,0.076666667,1.628333333,1055.139,14.6,15.1,23.9,23.76666667,4.933333333,4.766666667,2.31,NA
December,2000,Shark,warm,13.62092713,1.945846725,2.566666667,2.793333333,2.579,0.214,1.008,24.49233333,3.800666667,20.69166667,0.457,0.076666667,1.628333333,1055.139,14.6,15.1,23.9,23.76666667,4.933333333,4.766666667,2.31,NA
December,2000,Taylor,cool/warm,1.642631962,0.234661707,1.95,1.478875,1.27625,0.20275,1.80075,24.923125,3.2795,21.643875,0.622625,0.075875,0.5065,701.125125,24.0875,24.1625,22.775,22.7,6.225,6.2375,2.76375,NA
December,2000,Taylor,warm,3.634878578,0.519268367,1.95,1.478875,1.27625,0.20275,1.80075,24.923125,3.2795,21.643875,0.622625,0.075875,0.5065,701.125125,24.0875,24.1625,22.775,22.7,6.225,6.2375,2.76375,NA
December,2000,Taylor,cool,2.621333485,0.374476215,1.95,1.478875,1.27625,0.20275,1.80075,24.923125,3.2795,21.643875,0.622625,0.075875,0.5065,701.125125,24.0875,24.1625,22.775,22.7,6.225,6.2375,2.76375,NA
December,2001,Shark,warm,3.08881435,0.441259198,2.566666667,1.25,1.165333333,0.084666667,0.666666667,38.99333333,1.916333333,37.07666667,0.258333333,0.012,1.622,1071.25,5.966666667,6.266666667,23.9,23.96666667,6.033333333,5.966666667,1.533333333,NA
December,2001,Shark,cool,2.297636967,0.328233856,2.566666667,1.25,1.165333333,0.084666667,0.666666667,38.99333333,1.916333333,37.07666667,0.258333333,0.012,1.622,1071.25,5.966666667,6.266666667,23.9,23.96666667,6.033333333,5.966666667,1.533333333,NA
December,2001,Shark,cool/warm,144.2749623,20.6107089,2.566666667,1.25,1.165333333,0.084666667,0.666666667,38.99333333,1.916333333,37.07666667,0.258333333,0.012,1.622,1071.25,5.966666667,6.266666667,23.9,23.96666667,6.033333333,5.966666667,1.533333333,NA
December,2001,Taylor,cool/warm,4.750316309,0.678616613,2.083333333,1.324,1.107833333,0.216166667,1.743,29.172,3.066833333,26.1055,0.185333333,0.046,1.199666667,579.771,19.75,19.96666667,24.21666667,24.18333333,7.766666667,7.433333333,6.521666667,NA
December,2001,Taylor,warm,1.869937431,0.267133919,2.083333333,1.324,1.107833333,0.216166667,1.743,29.172,3.066833333,26.1055,0.185333333,0.046,1.199666667,579.771,19.75,19.96666667,24.21666667,24.18333333,7.766666667,7.433333333,6.521666667,NA
December,2001,Taylor,cool,2.018542659,0.288363236,2.083333333,1.324,1.107833333,0.216166667,1.743,29.172,3.066833333,26.1055,0.185333333,0.046,1.199666667,579.771,19.75,19.96666667,24.21666667,24.18333333,7.766666667,7.433333333,6.521666667,NA
December,2002,Shark,warm,25.15970904,3.594244148,2.566666667,2.338666667,2.190333333,0.148333333,1.824666667,23.55833333,4.163333333,19.395,0.341666667,0.053666667,1.443,930.8053333,6.6,6.666666667,19.81666667,19.71333333,6.853333333,6.31,1.666666667,7.836666667
December,2002,Shark,cool,2.597547952,0.37107828,2.566666667,2.338666667,2.190333333,0.148333333,1.824666667,23.55833333,4.163333333,19.395,0.341666667,0.053666667,1.443,930.8053333,6.6,6.666666667,19.81666667,19.71333333,6.853333333,6.31,1.666666667,7.836666667
December,2002,Shark,cool/warm,3.755949052,0.536564148,2.566666667,2.338666667,2.190333333,0.148333333,1.824666667,23.55833333,4.163333333,19.395,0.341666667,0.053666667,1.443,930.8053333,6.6,6.666666667,19.81666667,19.71333333,6.853333333,6.31,1.666666667,7.836666667
December,2002,Taylor,warm,0.074190708,0.010598674,2.083333333,1.128833333,0.987333333,0.142,2.174833333,22.58266667,3.303666667,19.27883333,0.317666667,0.163833333,0.932333333,547.1596667,24.00666667,25.58666667,24.08166667,24.11666667,6.728333333,6.18,3.083333333,8.058333333
December,2002,Taylor,cool,1.124121238,0.160588748,2.083333333,1.128833333,0.987333333,0.142,2.174833333,22.58266667,3.303666667,19.27883333,0.317666667,0.163833333,0.932333333,547.1596667,24.00666667,25.58666667,24.08166667,24.11666667,6.728333333,6.18,3.083333333,8.058333333
December,2002,Taylor,cool/warm,0.512870899,0.073267271,2.083333333,1.128833333,0.987333333,0.142,2.174833333,22.58266667,3.303666667,19.27883333,0.317666667,0.163833333,0.932333333,547.1596667,24.00666667,25.58666667,24.08166667,24.11666667,6.728333333,6.18,3.083333333,8.058333333
December,2003,Shark,warm,7.852868299,1.121838327,2.566666667,1.636333333,1.512,0.124333333,1.506666667,39.55333333,3.142666667,36.41066667,0.466333333,0.047,2.196,1242.388667,7.15,7.34,19.78,19.80333333,5.93,6.05,2.356666667,7.756666667
December,2003,Shark,cool/warm,2.922698142,0.417528303,2.566666667,1.636333333,1.512,0.124333333,1.506666667,39.55333333,3.142666667,36.41066667,0.466333333,0.047,2.196,1242.388667,7.15,7.34,19.78,19.80333333,5.93,6.05,2.356666667,7.756666667
December,2003,Shark,cool,1.11323195,0.159033135,2.566666667,1.636333333,1.512,0.124333333,1.506666667,39.55333333,3.142666667,36.41066667,0.466333333,0.047,2.196,1242.388667,7.15,7.34,19.78,19.80333333,5.93,6.05,2.356666667,7.756666667
December,2003,Taylor,warm,3.233649596,0.461949949,2.083333333,0.673333333,0.438,0.2355,1.466,38.01583333,2.139166667,35.877,0.388333333,0.036833333,1.077666667,590.4758333,20.45333333,20.61666667,19.57166667,19.55333333,6.903333333,6.941666667,7.686666667,8.271666667
