Date,Area,SITENAME,NumofThrowTraps,Avg%PlantCover,AvgPlantHeight ,Avg%PeriphytonCover,AvgPeriphytonVolume,AvgWaterDepth,Comments
1996-02-09,Taylor,Taylor Slough_Site MDA,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDA,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDA,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDB,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDB,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDB,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDB,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDB,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDB,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDB,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDC,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDC,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDC,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDC,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDC,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDC,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-09,Taylor,Taylor Slough_Site MDC,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Shark,Shark Slough_Site 08A,1,15,36,80,5800,45,
1996-02-12,Shark,Shark Slough_Site 08A,2,60,37,80,7000,44,
1996-02-12,Shark,Shark Slough_Site 08A,3,25,30,45,2000,47,
1996-02-12,Shark,Shark Slough_Site 08A,4,15,31,25,2200,46,
1996-02-12,Shark,Shark Slough_Site 08A,5,20,33,50,3800,47,
1996-02-12,Shark,Shark Slough_Site 08A,6,5,27,30,2300,46,
1996-02-12,Shark,Shark Slough_Site 08A,7,10,31,50,2000,52,
1996-02-12,Shark,Shark Slough_Site 08B,1,20,32,40,2700,52,
1996-02-12,Shark,Shark Slough_Site 08B,2,30,34,25,2600,51,
1996-02-12,Shark,Shark Slough_Site 08B,3,60,32,20,1000,51,
1996-02-12,Shark,Shark Slough_Site 08B,4,10,31,40,4000,51,
1996-02-12,Shark,Shark Slough_Site 08B,5,10,34,30,3800,54,
1996-02-12,Shark,Shark Slough_Site 08B,6,25,30,60,3000,52,
1996-02-12,Shark,Shark Slough_Site 08B,7,0,0,1,100,54,
1996-02-12,Shark,Shark Slough_Site 08C,1,5,35,5,1500,52,
1996-02-12,Shark,Shark Slough_Site 08C,2,5,31,15,2200,52,
1996-02-12,Shark,Shark Slough_Site 08C,3,5,20,5,1900,50,
1996-02-12,Shark,Shark Slough_Site 08C,4,5,18,15,3000,50,
1996-02-12,Shark,Shark Slough_Site 08C,5,5,23,70,6600,51,
1996-02-12,Shark,Shark Slough_Site 08C,6,10,30,70,4600,50,
1996-02-12,Shark,Shark Slough_Site 08C,7,5,28,50,4400,50,
1996-02-12,Shark,Shark Slough_Site 23A,1,10,23,30,3000,44,
1996-02-12,Shark,Shark Slough_Site 23A,2,30,22,50,4000,42,
1996-02-12,Shark,Shark Slough_Site 23A,3,10,21,35,5200,41,
1996-02-12,Shark,Shark Slough_Site 23A,4,5,17,10,1900,48,
1996-02-12,Shark,Shark Slough_Site 23A,5,20,31,65,3500,52,
1996-02-12,Shark,Shark Slough_Site 23A,6,10,29,10,3000,55,
1996-02-12,Shark,Shark Slough_Site 23A,7,10,22,70,3200,42,
1996-02-12,Shark,Shark Slough_Site 23B,1,10,25,75,4100,31,
1996-02-12,Shark,Shark Slough_Site 23B,2,15,22,5,2000,44,
1996-02-12,Shark,Shark Slough_Site 23B,3,10,18,30,3000,40,
1996-02-12,Shark,Shark Slough_Site 23B,4,10,15,40,2500,40,
1996-02-12,Shark,Shark Slough_Site 23B,5,10,15,10,2000,39,
1996-02-12,Shark,Shark Slough_Site 23B,6,10,20,25,3000,32,
1996-02-12,Shark,Shark Slough_Site 23B,7,45,30,75,3500,36,
1996-02-12,Shark,Shark Slough_Site 23B,1,5,16,30,2100,52,
1996-02-12,Shark,Shark Slough_Site 23B,2,5,18,15,1200,51,
1996-02-12,Shark,Shark Slough_Site 23B,3,5,10,5,500,54,
1996-02-12,Shark,Shark Slough_Site 23B,4,5,20,20,1200,52,
1996-02-12,Shark,Shark Slough_Site 23B,5,15,20,50,4000,50,
1996-02-12,Shark,Shark Slough_Site 23B,6,30,30,20,2000,58,
1996-02-12,Shark,Shark Slough_Site 23B,7,15,20,35,4000,51,
1996-02-12,Taylor,Taylor Slough_Site MDD,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDD,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDD,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDD,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDD,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDD,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDD,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDE,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDE,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDE,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDE,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDE,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDE,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site MDE,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSA,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSA,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSA,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSA,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSA,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSA,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSA,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSB,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSB,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSB,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSB,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSB,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSB,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSB,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSC,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSC,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSC,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSC,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSC,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSC,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSC,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSD,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSD,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSD,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSD,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSD,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSD,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-12,Taylor,Taylor Slough_Site TSD,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-13,Shark,Shark Slough_Site 06A,1,5,21,45,3500,67,
1996-02-13,Shark,Shark Slough_Site 06A,2,25,33,20,200,65,
1996-02-13,Shark,Shark Slough_Site 06A,3,0,15,0,0,67,
1996-02-13,Shark,Shark Slough_Site 06A,4,5,19,40,3000,67,
1996-02-13,Shark,Shark Slough_Site 06A,5,50,40,25,2000,46,
1996-02-13,Shark,Shark Slough_Site 06A,6,10,32,50,2200,61,
1996-02-13,Shark,Shark Slough_Site 06A,7,15,27,65,3800,63,
1996-02-13,Shark,Shark Slough_Site 06B,1,15,23,20,2100,60,
1996-02-13,Shark,Shark Slough_Site 06B,2,35,25,40,3100,64,
1996-02-13,Shark,Shark Slough_Site 06B,3,25,26,30,3200,63,
1996-02-13,Shark,Shark Slough_Site 06B,4,15,29,25,3250,62,
1996-02-13,Shark,Shark Slough_Site 06B,5,20,23,20,2100,58,
1996-02-13,Shark,Shark Slough_Site 06B,6,10,24,10,2100,62,
1996-02-13,Shark,Shark Slough_Site 06B,7,15,25,15,2600,58,
1996-02-13,Shark,Shark Slough_Site 06C,1,10,20,15,1100,63,
1996-02-13,Shark,Shark Slough_Site 06C,2,45,28,30,3200,59,
1996-02-13,Shark,Shark Slough_Site 06C,3,25,31,40,3000,63,
1996-02-13,Shark,Shark Slough_Site 06C,4,15,21,35,2100,61,
1996-02-13,Shark,Shark Slough_Site 06C,5,15,27,5,1000,63,
1996-02-13,Shark,Shark Slough_Site 06C,6,10,31,5,200,65,
1996-02-13,Shark,Shark Slough_Site 06C,7,15,29,5,1000,61,
1996-02-13,Taylor,Taylor Slough_Site MDA,1,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDA,2,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDA,3,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDA,4,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDA,5,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDA,6,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDA,7,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDB,1,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDB,2,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDB,3,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDB,4,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDB,5,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDB,6,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site MDB,7,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-13,Taylor,Taylor Slough_Site TSE,1,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-13,Taylor,Taylor Slough_Site TSE,2,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-13,Taylor,Taylor Slough_Site TSE,3,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-13,Taylor,Taylor Slough_Site TSE,4,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-13,Taylor,Taylor Slough_Site TSE,5,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-13,Taylor,Taylor Slough_Site TSE,6,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-13,Taylor,Taylor Slough_Site TSE,7,-9999,-9999,-9999,-9999,-9999,NODATA
1996-02-14,Shark,Shark Slough_Site 50A,1,15,23,60,10000,38,
1996-02-14,Shark,Shark Slough_Site 50A,2,15,32,45,8200,40,
1996-02-14,Shark,Shark Slough_Site 50A,3,15,27,60,7000,36,
1996-02-14,Shark,Shark Slough_Site 50A,4,15,22,75,6200,40,
1996-02-14,Shark,Shark Slough_Site 50A,5,15,26,35,4150,41,
1996-02-14,Shark,Shark Slough_Site 50A,6,30,28,10,4200,41,
1996-02-14,Shark,Shark Slough_Site 50A,7,20,65,65,8000,20,
1996-02-14,Shark,Shark Slough_Site 50B,1,5,21,25,4000,41,
1996-02-14,Shark,Shark Slough_Site 50B,2,25,35,75,6500,49,
1996-02-14,Shark,Shark Slough_Site 50B,3,20,15,75,8000,34,
1996-02-14,Shark,Shark Slough_Site 50B,4,10,22,30,1500,37,
1996-02-14,Shark,Shark Slough_Site 50B,5,30,35,45,4000,34,
1996-02-14,Shark,Shark Slough_Site 50B,6,20,36,35,8000,32,
1996-02-14,Shark,Shark Slough_Site 50B,7,5,20,60,10000,35,
1996-02-14,Shark,Shark Slough_Site 50C,1,5,21,5,2000,47,
1996-02-14,Shark,Shark Slough_Site 50C,2,15,27,30,4800,39,
1996-02-14,Shark,Shark Slough_Site 50C,3,5,22,25,6000,41,
1996-02-14,Shark,Shark Slough_Site 50C,4,40,30,45,4500,40,
1996-02-14,Shark,Shark Slough_Site 50C,5,10,37,10,4100,39,
1996-02-14,Shark,Shark Slough_Site 50C,6,20,24,50,6300,43,
1996-02-14,Shark,Shark Slough_Site 50C,7,5,33,30,4600,42,
1996-02-14,Taylor,Taylor Slough_Site MDC,1,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDC,2,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDC,3,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDC,4,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDC,5,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDC,6,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDC,7,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDD,1,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDD,2,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDD,3,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDD,4,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDD,5,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDD,6,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDD,7,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDE,1,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDE,2,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDE,3,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDE,4,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDE,5,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDE,6,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-02-14,Taylor,Taylor Slough_Site MDE,7,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Shark,Shark Slough_Site 07A,1,5,37,20,2100,31,
1996-04-01,Shark,Shark Slough_Site 07A,2,10,45,15,1200,29,
1996-04-01,Shark,Shark Slough_Site 07A,3,5,31,10,500,29,
1996-04-01,Shark,Shark Slough_Site 07A,4,1,18,10,300,32,
1996-04-01,Shark,Shark Slough_Site 07A,5,5,36,20,1600,32,
1996-04-01,Shark,Shark Slough_Site 07A,6,5,36,15,1200,29,
1996-04-01,Shark,Shark Slough_Site 07A,7,15,45,25,2000,29,
1996-04-01,Shark,Shark Slough_Site 07B,1,25,46,5,200,28,
1996-04-01,Shark,Shark Slough_Site 07B,2,30,65,60,4500,23,
1996-04-01,Shark,Shark Slough_Site 07B,3,20,49,10,400,23,
1996-04-01,Shark,Shark Slough_Site 07B,4,15,47,5,200,24,
1996-04-01,Shark,Shark Slough_Site 07B,5,20,38,10,400,24,
1996-04-01,Shark,Shark Slough_Site 07B,6,20,51,5,200,27,
1996-04-01,Shark,Shark Slough_Site 07B,7,25,51,10,400,24,
1996-04-01,Taylor,Taylor Slough_Site TSA,1,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSA,2,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSA,3,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSA,4,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSA,5,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSA,6,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSA,7,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSB,1,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSB,2,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSB,3,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSB,4,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSB,5,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSB,6,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-01,Taylor,Taylor Slough_Site TSB,7,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-02,Shark,Shark Slough_Site 37A,1,5,28,20,2400,26,
1996-04-02,Shark,Shark Slough_Site 37A,2,90,32,10,400,25,
1996-04-02,Shark,Shark Slough_Site 37A,3,80,32,25,600,24,
1996-04-02,Shark,Shark Slough_Site 37A,4,60,29,50,600,20,
1996-04-02,Shark,Shark Slough_Site 37A,5,10,41,25,1700,26,
1996-04-02,Shark,Shark Slough_Site 37A,6,30,34,30,500,25,
1996-04-02,Shark,Shark Slough_Site 37A,7,30,38,10,400,23,
1996-04-02,Shark,Shark Slough_Site 37B,1,60,56,50,2700,20,
1996-04-02,Shark,Shark Slough_Site 37B,2,50,33,10,1000,19,
1996-04-02,Shark,Shark Slough_Site 37B,3,75,76,5,300,21,
1996-04-02,Shark,Shark Slough_Site 37B,4,10,42,90,6400,18,
1996-04-02,Taylor,Taylor Slough_Site TSC,1,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-02,Taylor,Taylor Slough_Site TSC,2,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-02,Taylor,Taylor Slough_Site TSC,3,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-02,Taylor,Taylor Slough_Site TSC,4,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-02,Taylor,Taylor Slough_Site TSC,5,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-02,Taylor,Taylor Slough_Site TSC,6,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-02,Taylor,Taylor Slough_Site TSC,7,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-02,Taylor,Taylor Slough_Site TSD,1,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-02,Taylor,Taylor Slough_Site TSD,2,-9999,-9999,-9999,-9999,-9999,TRLDRY
1996-04-02,Taylor,Taylor Slough_Site TSD,3,-9999,-9999,-9999,-9999,-9999,TRLDRY
