"","Month","Year","Area","SpeciesName","TotalSpeciesWeight","SpeciesBiomass"
"57","February",1998,"Shark","Belonesox belizanus",0.9142878,0.130612545
"58","July",1998,"Shark","Belonesox belizanus",0.64669626,0.09238518
"59","October",1998,"Shark","Belonesox belizanus",4.41896886,0.63128127
"60","April",1999,"Shark","Belonesox belizanus",0.04222131,0.00603162
"61","December",1999,"Shark","Belonesox belizanus",1.18288856,0.16898408
"62","October",1999,"Shark","Belonesox belizanus",0.20314845,0.02902121
"63","April",2000,"Shark","Belonesox belizanus",0.072923375,0.010417625
"64","December",2000,"Shark","Belonesox belizanus",0.7674101,0.10963001
"65","July",2000,"Shark","Belonesox belizanus",0.05735578,0.00819368
"66","October",2000,"Shark","Belonesox belizanus",0.22791282,0.03255897
"67","December",2001,"Shark","Belonesox belizanus",0.2715903,0.0387986166666667
"68","April",2002,"Shark","Belonesox belizanus",0.03185529,0.00455076
"69","December",2002,"Shark","Belonesox belizanus",1.50505547,0.215007925
"70","July",2002,"Shark","Belonesox belizanus",0.02282476,0.00326068
"71","October",2002,"Shark","Belonesox belizanus",1.17488498666667,0.167840716666667
"72","April",2003,"Shark","Belonesox belizanus",1.80139227,0.25734175
"73","December",2003,"Shark","Belonesox belizanus",0.396820623333333,0.05668866
"74","February",2003,"Shark","Belonesox belizanus",2.29233193,0.32747599
"75","July",2003,"Shark","Belonesox belizanus",2.13780458833333,0.305400656666667
"76","October",2003,"Shark","Belonesox belizanus",0.9596282325,0.1370897475
"77","February",2004,"Shark","Belonesox belizanus",0.889528105,0.127075445
"78","October",2004,"Shark","Belonesox belizanus",0.07622592,0.01088942
"79","February",2005,"Shark","Belonesox belizanus",0.04917238,0.00702463
"80","December",1996,"Taylor","Belonesox belizanus",0.47060938,0.06722991
"81","October",1996,"Taylor","Belonesox belizanus",0.30199509,0.04314216
"82","December",1997,"Taylor","Belonesox belizanus",0.2924251,0.04177501
"83","July",1997,"Taylor","Belonesox belizanus",0.10475087,0.01496441
"84","October",1997,"Taylor","Belonesox belizanus",0.385931743333333,0.0551331066666667
"85","December",1998,"Taylor","Belonesox belizanus",0.58009921,0.08287132
"86","February",1998,"Taylor","Belonesox belizanus",0.71312867,0.10187552
"87","October",1998,"Taylor","Belonesox belizanus",0.06853237,0.00979034
"88","July",1999,"Taylor","Belonesox belizanus",0.92682991,0.13240427
"89","October",1999,"Taylor","Belonesox belizanus",0.03462156,0.00494594
"90","April",2000,"Taylor","Belonesox belizanus",0.02065617,0.00295088
"91","October",2000,"Taylor","Belonesox belizanus",0.01675706,0.00239387
"92","April",2002,"Taylor","Belonesox belizanus",3.10283682,0.4432624
"93","February",2002,"Taylor","Belonesox belizanus",0.02763719,0.00394817
"94","October",2002,"Taylor","Belonesox belizanus",0.04070496,0.00581499
"95","December",2003,"Taylor","Belonesox belizanus",0.099522055,0.014217435
"96","February",2003,"Taylor","Belonesox belizanus",0.78165082,0.15633016
"97","July",2003,"Taylor","Belonesox belizanus",0.56888604,0.08126943
"98","October",2003,"Taylor","Belonesox belizanus",0.69314469,0.09902067
"99","April",2004,"Taylor","Belonesox belizanus",1.16483812,0.23296762
"100","December",2004,"Taylor","Belonesox belizanus",0.52847407,0.0754963
"101","December",2002,"Shark","Cichlasoma bimaculatum",1.339494835,0.191356405
"102","July",2003,"Shark","Cichlasoma bimaculatum",0.1047448,0.01496354
"103","April",2004,"Shark","Cichlasoma bimaculatum",2.117384375,0.30248348
"104","October",2004,"Shark","Cichlasoma bimaculatum",1.01023575,0.14431939
"105","February",2005,"Shark","Cichlasoma bimaculatum",0.60444261,0.08634894
"106","December",2002,"Taylor","Cichlasoma bimaculatum",0.01152955,0.00164708
"107","April",2003,"Taylor","Cichlasoma bimaculatum",0.01618735,0.00323747
"108","July",2003,"Taylor","Cichlasoma bimaculatum",0.44291928,0.01457245
"109","April",1996,"Shark","Cichlasoma urophthalmus",1.436952895,0.205278985
"110","February",1996,"Shark","Cichlasoma urophthalmus",34.91031089,4.98718727333333
"111","July",1996,"Shark","Cichlasoma urophthalmus",28.51816053,4.07402293
"112","December",1997,"Shark","Cichlasoma urophthalmus",0.734728203333333,0.104961173333333
"113","July",1997,"Shark","Cichlasoma urophthalmus",1.2273931575,0.17534188
"114","October",1997,"Shark","Cichlasoma urophthalmus",0.79510383,0.11358626
"115","April",1998,"Shark","Cichlasoma urophthalmus",3.21378113,0.45911159
"116","December",1998,"Shark","Cichlasoma urophthalmus",2.1186102,0.3026586
"117","February",1998,"Shark","Cichlasoma urophthalmus",3.63040844,0.51862978
"118","July",1998,"Shark","Cichlasoma urophthalmus",0.74009001,0.10572714
"119","October",1998,"Shark","Cichlasoma urophthalmus",0.61379772,0.08768539
"120","December",1999,"Shark","Cichlasoma urophthalmus",0.664522365,0.094931765
"121","February",1999,"Shark","Cichlasoma urophthalmus",2.72213087,0.38887584
"122","July",1999,"Shark","Cichlasoma urophthalmus",0.10732249,0.01533178
"123","April",2000,"Shark","Cichlasoma urophthalmus",1.61623108,0.23089015
"124","December",2000,"Shark","Cichlasoma urophthalmus",8.53827049333333,1.21975292666667
"125","February",2000,"Shark","Cichlasoma urophthalmus",1.14806051,0.164008645
"126","July",2000,"Shark","Cichlasoma urophthalmus",0.230080235,0.032868605
"127","October",2000,"Shark","Cichlasoma urophthalmus",1.48442917666667,0.21206131
"128","December",2001,"Shark","Cichlasoma urophthalmus",1.20574974,0.172249965
"129","September",2001,"Shark","Cichlasoma urophthalmus",0.287150555,0.04102151
"130","December",2002,"Shark","Cichlasoma urophthalmus",3.974365543,0.567766506
"131","July",2002,"Shark","Cichlasoma urophthalmus",0.56495994625,0.08070856375
"132","October",2002,"Shark","Cichlasoma urophthalmus",6.472113745,0.9245876775
"133","April",2003,"Shark","Cichlasoma urophthalmus",7.54717088,1.07816727
"134","December",2003,"Shark","Cichlasoma urophthalmus",3.24405732545455,0.463436760909091
"135","July",2003,"Shark","Cichlasoma urophthalmus",3.015770734,0.43082439
"136","October",2003,"Shark","Cichlasoma urophthalmus",1.49622800272727,0.213746856363636
"137","April",2004,"Shark","Cichlasoma urophthalmus",1.55598632,0.22228376
"138","February",2004,"Shark","Cichlasoma urophthalmus",2.03575929888889,0.290822757777778
"139","July",2004,"Shark","Cichlasoma urophthalmus",0.39452239,0.05636034
"140","October",2004,"Shark","Cichlasoma urophthalmus",0.781479445714286,0.11163992
"141","February",2005,"Shark","Cichlasoma urophthalmus",0.36084145,0.05154878
"142","December",1996,"Taylor","Cichlasoma urophthalmus",0.54390661,0.07770094
"143","July",1996,"Taylor","Cichlasoma urophthalmus",0.0706560666666667,0.0100937266666667
"144","October",1996,"Taylor","Cichlasoma urophthalmus",0.28017855,0.040025505
"145","December",1997,"Taylor","Cichlasoma urophthalmus",0.55477294,0.08657459
"146","July",1997,"Taylor","Cichlasoma urophthalmus",0.1546639875,0.022094855
"147","October",1997,"Taylor","Cichlasoma urophthalmus",0.8162485,0.11660693
"148","April",1998,"Taylor","Cichlasoma urophthalmus",17.44238162,2.9070636
"149","December",1998,"Taylor","Cichlasoma urophthalmus",3.13503528,0.447862185
"150","February",1998,"Taylor","Cichlasoma urophthalmus",1.54571261,0.22081609
"151","July",1998,"Taylor","Cichlasoma urophthalmus",0.04756266,0.006794665
"152","October",1998,"Taylor","Cichlasoma urophthalmus",0.60327856,0.08618265
"153","April",1999,"Taylor","Cichlasoma urophthalmus",1.31882289,0.18840327
"154","February",1999,"Taylor","Cichlasoma urophthalmus",0.73568068,0.10509724
"155","July",1999,"Taylor","Cichlasoma urophthalmus",0.201770222857143,0.0288243171428571
"156","October",1999,"Taylor","Cichlasoma urophthalmus",0.9796860625,0.1399551525
"157","April",2000,"Taylor","Cichlasoma urophthalmus",2.07542618,0.29648945
"158","December",2000,"Taylor","Cichlasoma urophthalmus",0.9763788625,0.139482695
"159","February",2000,"Taylor","Cichlasoma urophthalmus",0.467240756666667,0.06674868
"160","July",2000,"Taylor","Cichlasoma urophthalmus",0.2671962175,0.0381708875
"161","October",2000,"Taylor","Cichlasoma urophthalmus",10.7979150225,1.54255929
"162","December",2001,"Taylor","Cichlasoma urophthalmus",0.850558154,0.121508308
"163","February",2001,"Taylor","Cichlasoma urophthalmus",0.44405862,0.06343695
"164","September",2001,"Taylor","Cichlasoma urophthalmus",9.159209288,1.30845847
"165","April",2002,"Taylor","Cichlasoma urophthalmus",2.66955234333333,0.38136462
"166","February",2002,"Taylor","Cichlasoma urophthalmus",2.52450573,0.360643673333333
"167","July",2002,"Taylor","Cichlasoma urophthalmus",0.14349896,0.02049985
"168","October",2002,"Taylor","Cichlasoma urophthalmus",1.66403395,0.237719134
"169","December",2003,"Taylor","Cichlasoma urophthalmus",1.559638488,0.222805498
"170","July",2003,"Taylor","Cichlasoma urophthalmus",0.239550438,0.03422149
"171","October",2003,"Taylor","Cichlasoma urophthalmus",0.720952488571429,0.102993211428571
"172","April",2004,"Taylor","Cichlasoma urophthalmus",2.442292116,0.488458424
"173","December",2004,"Taylor","Cichlasoma urophthalmus",1.10139653333333,0.157342363333333
"174","February",2004,"Taylor","Cichlasoma urophthalmus",0.87780085,0.17556017
"175","October",2004,"Taylor","Cichlasoma urophthalmus",0.2274243625,0.0324891975
"176","February",2005,"Taylor","Cichlasoma urophthalmus",0.26544949,0.0530899
"177","July",1996,"Shark","Clarias batrachus",0.075842355,0.01083462
"178","July",1998,"Shark","Clarias batrachus",0.118472175,0.016924595
"179","July",1999,"Shark","Clarias batrachus",0.23696304,0.03385186
"180","July",2000,"Shark","Clarias batrachus",0.05386694,0.00769527666666667
"181","December",1998,"Taylor","Clarias batrachus",0.18901455,0.02700208
"182","October",1998,"Taylor","Clarias batrachus",1.98166389,0.28309484
"183","July",1999,"Taylor","Clarias batrachus",0.02667394,0.00381056
"184","December",1999,"Shark","Cyprinodon variegatus",0.03150582,0.00450083333333333
"185","December",2001,"Shark","Cyprinodon variegatus",0.039807635,0.005686805
"186","July",2001,"Shark","Cyprinodon variegatus",0.050151065,0.007164435
"187","April",2002,"Shark","Cyprinodon variegatus",0.2308740575,0.032982005
"188","December",2002,"Shark","Cyprinodon variegatus",0.02033142,0.00290449
"189","October",2002,"Shark","Cyprinodon variegatus",0.04077001,0.005824285
"190","April",2003,"Shark","Cyprinodon variegatus",0.02163128,0.02163128
"191","December",2003,"Shark","Cyprinodon variegatus",0.03421118,0.00488731
"192","February",2003,"Shark","Cyprinodon variegatus",0.11803612,0.016862305
"193","October",2004,"Shark","Cyprinodon variegatus",0.04133084,0.00590441
"194","December",1997,"Taylor","Cyprinodon variegatus",0.04356852,0.00622407
"195","July",1997,"Taylor","Cyprinodon variegatus",0.03094043,0.00442006
"196","October",1997,"Taylor","Cyprinodon variegatus",0.11937635,0.01705376
"197","April",1998,"Taylor","Cyprinodon variegatus",0.15113417,0.0215906
"198","February",1998,"Taylor","Cyprinodon variegatus",0.05839968,0.008342815
"199","October",1998,"Taylor","Cyprinodon variegatus",0.0530075333333333,0.00757250333333333
"200","December",1999,"Taylor","Cyprinodon variegatus",0.053739195,0.007677025
"201","October",1999,"Taylor","Cyprinodon variegatus",0.30557978,0.043654255
"202","December",2000,"Taylor","Cyprinodon variegatus",0.460091655,0.06572738
"203","February",2000,"Taylor","Cyprinodon variegatus",0.264967515,0.0378525
"204","July",2000,"Taylor","Cyprinodon variegatus",0.422594095,0.060370585
"205","October",2000,"Taylor","Cyprinodon variegatus",0.190134246666667,0.0271620366666667
"206","April",2001,"Taylor","Cyprinodon variegatus",0.33800099,0.08450025
"207","December",2001,"Taylor","Cyprinodon variegatus",0.470081945,0.067154565
"208","February",2001,"Taylor","Cyprinodon variegatus",0.11592251,0.01656036
"209","July",2001,"Taylor","Cyprinodon variegatus",0.05317479,0.0075964
"210","September",2001,"Taylor","Cyprinodon variegatus",0.1192873425,0.0170410475
"211","April",2002,"Taylor","Cyprinodon variegatus",0.07236281,0.01033754
"212","December",2002,"Taylor","Cyprinodon variegatus",0.32956472,0.047080675
"213","February",2002,"Taylor","Cyprinodon variegatus",0.0925954433333333,0.01322792
"214","July",2002,"Taylor","Cyprinodon variegatus",0.0829491675,0.01184988
"215","October",2002,"Taylor","Cyprinodon variegatus",0.449430255,0.0642043225
"216","April",2003,"Taylor","Cyprinodon variegatus",0.13888097,0.0277761933333333
"217","December",2003,"Taylor","Cyprinodon variegatus",0.0952953766666667,0.0136136233333333
"218","February",2003,"Taylor","Cyprinodon variegatus",0.229829526666667,0.0459659033333333
"219","July",2003,"Taylor","Cyprinodon variegatus",0.669536353333333,0.09564805
"220","October",2003,"Taylor","Cyprinodon variegatus",0.124902826666667,0.0178432633333333
"221","April",2004,"Taylor","Cyprinodon variegatus",0.16833941,0.03366788
"222","December",2004,"Taylor","Cyprinodon variegatus",0.1667036025,0.0238148
"223","February",2004,"Taylor","Cyprinodon variegatus",0.0733744933333333,0.0146748966666667
"224","October",2004,"Taylor","Cyprinodon variegatus",0.205539653,0.029362807
"225","April",2005,"Taylor","Cyprinodon variegatus",0.07155082,0.014310165
"226","April ",2005,"Taylor","Cyprinodon variegatus",0.05106428,0.01021286
"227","February",2005,"Taylor","Cyprinodon variegatus",0.1534990625,0.0306998125
"228","April",1996,"Shark","Elassoma evergladei",0.20622898,0.0294612833333333
"229","December",1996,"Shark","Elassoma evergladei",0.03980741,0.00568677
"230","February",1996,"Shark","Elassoma evergladei",0.190084106666667,0.02715487
"231","July",1996,"Shark","Elassoma evergladei",0.0305517433333333,0.00436453333333333
"232","October",1996,"Shark","Elassoma evergladei",0.04439857,0.006342655
"233","April",1997,"Shark","Elassoma evergladei",0.03532548,0.00571711
"234","December",1997,"Shark","Elassoma evergladei",0.08439865,0.01205695
"235","February",1997,"Shark","Elassoma evergladei",0.0772469333333333,0.0110352766666667
"236","October",1997,"Shark","Elassoma evergladei",0.02446276,0.00349468
"237","April",1998,"Shark","Elassoma evergladei",0.07401814,0.0105740175
"238","December",1998,"Shark","Elassoma evergladei",0.29402428,0.04200347
"239","February",1998,"Shark","Elassoma evergladei",0.073282775,0.0104689675
"240","July",1998,"Shark","Elassoma evergladei",0.301014055,0.0430020075
"241","October",1998,"Shark","Elassoma evergladei",0.196505956,0.028072278
"242","April",1999,"Shark","Elassoma evergladei",0.217504423333333,0.03723547
"243","December",1999,"Shark","Elassoma evergladei",0.1626581425,0.0232368775
"244","February",1999,"Shark","Elassoma evergladei",0.207467893333333,0.0296382683333333
"245","July",1999,"Shark","Elassoma evergladei",0.12183089,0.01740441
"246","October",1999,"Shark","Elassoma evergladei",0.045106295,0.0064437575
"247","April",2000,"Shark","Elassoma evergladei",0.1883369225,0.026905275
"248","December",2000,"Shark","Elassoma evergladei",0.159363803333333,0.0227662583333333
"249","February",2000,"Shark","Elassoma evergladei",0.206767642,0.029538234
"250","July",2000,"Shark","Elassoma evergladei",0.114989161666667,0.0164270216666667
"251","October",2000,"Shark","Elassoma evergladei",0.2496073,0.035658186
"252","February",2001,"Shark","Elassoma evergladei",0.189881183333333,0.0271258833333333
"253","April",2002,"Shark","Elassoma evergladei",0.07622503,0.01088929
"254","December",2002,"Shark","Elassoma evergladei",0.09506981,0.0135814
"255","July",2002,"Shark","Elassoma evergladei",0.00584429,0.0008349
"256","October",2002,"Shark","Elassoma evergladei",0.1716906725,0.0245272375
"257","April",2003,"Shark","Elassoma evergladei",0.0936074,0.013372485
"258","December",2003,"Shark","Elassoma evergladei",0.26089774,0.0372711066666667
"259","February",2003,"Shark","Elassoma evergladei",0.121893098,0.03856708
"260","July",2003,"Shark","Elassoma evergladei",0.064596325,0.0092280475
"261","October",2003,"Shark","Elassoma evergladei",0.1520014,0.0217144875
"262","April",2004,"Shark","Elassoma evergladei",0.0570963783333333,0.00815662666666667
"263","February",2004,"Shark","Elassoma evergladei",0.11864767875,0.0169496675
"264","July",2004,"Shark","Elassoma evergladei",0.113281866666667,0.0161831233333333
"265","October",2004,"Shark","Elassoma evergladei",0.09373737375,0.01339105125
"266","April",2005,"Shark","Elassoma evergladei",0.0702278633333333,0.01404557
"267","February",2005,"Shark","Elassoma evergladei",0.223952594615385,0.0319932276923077
"268","December",1996,"Taylor","Elassoma evergladei",0.105601077777778,0.0150858677777778
"269","July",1996,"Taylor","Elassoma evergladei",0.07740673875,0.011058105
"270","May",1996,"Taylor","Elassoma evergladei",0.06513098,0.00930443
"271","October",1996,"Taylor","Elassoma evergladei",0.08497438875,0.0121392
"272","April",1997,"Taylor","Elassoma evergladei",0.270011604285714,0.0385730857142857
"273","December",1997,"Taylor","Elassoma evergladei",0.055996235,0.008071665
"274","February",1997,"Taylor","Elassoma evergladei",0.15767232375,0.0225246175
"275","July",1997,"Taylor","Elassoma evergladei",0.01775173,0.00253596
"276","October",1997,"Taylor","Elassoma evergladei",0.0418782666666667,0.00598260666666667
"277","April",1998,"Taylor","Elassoma evergladei",0.15443345,0.02217221125
"278","December",1998,"Taylor","Elassoma evergladei",0.145728601666667,0.0208183716666667
"279","February",1998,"Taylor","Elassoma evergladei",0.0317331316666667,0.0045846
"280","July",1998,"Taylor","Elassoma evergladei",0.16020762,0.0228868025
"281","October",1998,"Taylor","Elassoma evergladei",0.152782084,0.021826012
"282","April",1999,"Taylor","Elassoma evergladei",0.423829145,0.06881271
"283","December",1999,"Taylor","Elassoma evergladei",0.02754278,0.003934685
"284","February",1999,"Taylor","Elassoma evergladei",0.15569135625,0.02224162125
"285","October",1999,"Taylor","Elassoma evergladei",0.07737043,0.01105292
"286","April",2000,"Taylor","Elassoma evergladei",0.110707352,0.015909394
"287","December",2000,"Taylor","Elassoma evergladei",0.282193952,0.040313422
"288","February",2000,"Taylor","Elassoma evergladei",0.051115038,0.007302148
"289","July",2000,"Taylor","Elassoma evergladei",0.239950373333333,0.0342786233333333
"290","October",2000,"Taylor","Elassoma evergladei",0.248012988,0.035430428
"291","April",2001,"Taylor","Elassoma evergladei",0.261321265,0.08412812
"292","December",2001,"Taylor","Elassoma evergladei",0.0404322325,0.0057760325
"293","February",2001,"Taylor","Elassoma evergladei",0.302422531666667,0.0432032183333333
"294","April",2002,"Taylor","Elassoma evergladei",0.172795216666667,0.02468503
"295","December",2002,"Taylor","Elassoma evergladei",0.0411714966666667,0.00588164333333333
"296","February",2002,"Taylor","Elassoma evergladei",0.0340860033333333,0.00486942666666667
"297","April",2003,"Taylor","Elassoma evergladei",0.06437384,0.01287477
"298","December",2003,"Taylor","Elassoma evergladei",0.327697361666667,0.0468139083333333
"299","February",2003,"Taylor","Elassoma evergladei",0.120877925,0.024175585
"300","July",2003,"Taylor","Elassoma evergladei",0.298303077142857,0.0426147257142857
"301","October",2003,"Taylor","Elassoma evergladei",0.411202698333333,0.0587432416666667
"302","April",2004,"Taylor","Elassoma evergladei",0.288003516666667,0.0576007016666667
"303","February",2004,"Taylor","Elassoma evergladei",0.26296734,0.0525934666666667
"304","February",2005,"Taylor","Elassoma evergladei",0.03667587,0.00733517
"305","April",1996,"Shark","Enneacanthus gloriosus",0.234918705,0.033559815
"306","February",1996,"Shark","Enneacanthus gloriosus",0.54570013,0.07795716
"307","July",1996,"Shark","Enneacanthus gloriosus",0.12248065,0.01749724
"308","October",1997,"Shark","Enneacanthus gloriosus",0.52582073,0.07511725
"309","July",1998,"Shark","Enneacanthus gloriosus",0.27273914,0.03896273
"310","December",1999,"Shark","Enneacanthus gloriosus",0.4016038,0.05737197
"311","October",2000,"Shark","Enneacanthus gloriosus",0.6572948,0.09389926
"312","April",2003,"Shark","Enneacanthus gloriosus",0.17142846,0.0244897775
"313","December",2003,"Shark","Enneacanthus gloriosus",0.40197862,0.057425516
"314","February",2003,"Shark","Enneacanthus gloriosus",0.174660875,0.02495155
"315","July",2003,"Shark","Enneacanthus gloriosus",0.31256712,0.0446524475
"316","October",2003,"Shark","Enneacanthus gloriosus",0.247417306,0.03534533
"317","April",2004,"Shark","Enneacanthus gloriosus",0.422996895714286,0.06042813
"318","February",2004,"Shark","Enneacanthus gloriosus",0.283804276666667,0.0405434666666667
"319","July",2004,"Shark","Enneacanthus gloriosus",0.611958688,0.087422668
"320","October",2004,"Shark","Enneacanthus gloriosus",0.30934216,0.044191738
"321","April",2005,"Shark","Enneacanthus gloriosus",0.15240467,0.03048093
"322","February",2005,"Shark","Enneacanthus gloriosus",0.56921608,0.08131658375
"323","December",1996,"Taylor","Enneacanthus gloriosus",0.392378543333333,0.0560540766666667
"324","July",1996,"Taylor","Enneacanthus gloriosus",0.14606222,0.02086603
"325","May",1996,"Taylor","Enneacanthus gloriosus",0.21768717,0.03109817
"326","October",1996,"Taylor","Enneacanthus gloriosus",0.29941757,0.04277394
"327","April",1997,"Taylor","Enneacanthus gloriosus",0.317370022,0.045338574
"328","February",1997,"Taylor","Enneacanthus gloriosus",0.5542716225,0.07918166
"329","April",1998,"Taylor","Enneacanthus gloriosus",0.031515925,0.00462745
"330","December",1998,"Taylor","Enneacanthus gloriosus",0.47683081,0.06811869
"331","July",1998,"Taylor","Enneacanthus gloriosus",0.209642403333333,0.0299489133333333
"332","February",1999,"Taylor","Enneacanthus gloriosus",0.28170549,0.04024364
"333","February",2000,"Taylor","Enneacanthus gloriosus",0.29665234,0.042378905
"334","October",2002,"Taylor","Enneacanthus gloriosus",0.03783699,0.00540528
"335","December",2003,"Taylor","Enneacanthus gloriosus",0.33171357,0.047387655
"336","July",2003,"Taylor","Enneacanthus gloriosus",0.10200718,0.01457245
"337","October",2003,"Taylor","Enneacanthus gloriosus",0.02898227,0.00414032
"338","April",2004,"Taylor","Enneacanthus gloriosus",0.50878325,0.10175665
"339","February",2004,"Taylor","Enneacanthus gloriosus",0.294149773333333,0.0588299533333333
"340","April",1996,"Shark","Erimyzon sucetta",2.43637326666667,0.348053323333333
"341","December",1996,"Shark","Erimyzon sucetta",0.97216354,0.13888051
"342","February",1996,"Shark","Erimyzon sucetta",0.106436656666667,0.0152052383333333
"343","July",1996,"Shark","Erimyzon sucetta",0.535295644,0.076470806
"344","October",1996,"Shark","Erimyzon sucetta",0.724714853333333,0.103530693333333
"345","April",1997,"Shark","Erimyzon sucetta",1.72653277,0.24664754
"346","December",1997,"Shark","Erimyzon sucetta",7.50993811,1.0728483
"347","February",1997,"Shark","Erimyzon sucetta",1.75343615777778,0.25049088
"348","July",1997,"Shark","Erimyzon sucetta",0.8933635425,0.1276233625
"349","October",1997,"Shark","Erimyzon sucetta",2.5140703075,0.3591529
"350","April",1998,"Shark","Erimyzon sucetta",1.3944147575,0.19920211
"351","December",1998,"Shark","Erimyzon sucetta",1.078246275,0.1540351825
"352","February",1998,"Shark","Erimyzon sucetta",0.77959404,0.111370576666667
"353","July",1998,"Shark","Erimyzon sucetta",0.591748718333333,0.08453553
"354","October",1998,"Shark","Erimyzon sucetta",2.523068595,0.3604383725
"355","April",1999,"Shark","Erimyzon sucetta",3.0300277525,0.4450570525
"356","February",1999,"Shark","Erimyzon sucetta",2.14921913714286,0.307031305714286
"357","July",1999,"Shark","Erimyzon sucetta",1.5520300125,0.221718575
"358","April",2000,"Shark","Erimyzon sucetta",0.458906166,0.065558024
"359","December",2000,"Shark","Erimyzon sucetta",1.668525922,0.238360844
"360","February",2000,"Shark","Erimyzon sucetta",0.0341323542857143,0.00487605
"361","July",2000,"Shark","Erimyzon sucetta",1.802783695,0.25754053
"362","October",2000,"Shark","Erimyzon sucetta",3.409366122,0.487052304
"363","December",2002,"Shark","Erimyzon sucetta",0.017870565,0.00255294
"364","April",2003,"Shark","Erimyzon sucetta",0.16523639,0.023605195
"365","July",2003,"Shark","Erimyzon sucetta",1.824192285,0.2605989
"366","October",2003,"Shark","Erimyzon sucetta",3.99398575,0.57056939
"367","April",2004,"Shark","Erimyzon sucetta",0.0924064166666667,0.0132009166666667
