Month,Year,Area,DEPTH,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,CHLA,TOC,SAL_S,SAL_B,TEMP_S,TEMP_B,DO_S,DO_B,TURB,pH
October,1997,Shark,2.9,2.12,1.943,0.178,0.99,62.03,3.11,58.92,0.44,0.028,1.145,1239.792,1.2,1.2,28,28,6.9,7,0.56,-9999
June,2000,Shark,2.9,1.215,1.225,0,0.969,32.514,2.184,30.33,0.932,0.088,2.411,1118.75,19.5,19.6,30.1,30.1,8.3,8.6,3.5,-9999
September,1999,Shark,2.9,1.028,0.865,0.163,1.275,43.924,2.303,41.621,0.805,0.03,0.513,965,4.5,4.5,27,27,5.7,5.5,1.25,-9999
March,2004,Shark,2.9,3.2,2.984,0.216,0.858,42.167,4.057,38.11,0.291,0.04,1.546,1004.375,10.37,11.09,22.53,22.36,5.86,6.12,1.33,7.42
November,2000,Shark,2.9,0.667,0.518,0.149,0.732,45.576,1.399,44.177,0.25,0.043,1.877,939.792,0.1,0.8,24.7,24.6,8.6,8.6,0.95,-9999
December,2001,Shark,2.9,1.412,1.3,0.111,0.729,42.199,2.14,40.058,0.148,0.008,0.985,1188.958,0.8,1,23.9,23.9,5.2,5,1.13,-9999
May,2005,Shark,2.9,1.601,1.293,0.308,0.896,18.81,2.498,16.312,0.71,0.121,1.875,654.708,32.65,32.93,27.81,27.35,5.89,5.99,2.56,7.49
June,1997,Shark,2.9,1.018,0.793,0.225,0.91,48.518,1.928,46.591,0.848,0.05,1.573,1285,1,1,28.6,28.6,3.2,3.1,0.9,-9999
October,1999,Shark,2.9,0.648,0.548,0.1,0.76,26.546,1.408,25.138,0.526,0.095,2.115,772.729,0.1,0.1,27.7,27.3,7.3,7.3,0.47,-9999
November,1997,Shark,2.9,1.305,1.163,0.143,0.865,72.816,2.17,70.646,0.355,0.025,1.67,1431.875,1.1,1.3,24.3,24.1,7.4,7.6,0.85,-9999
February,2003,Shark,2.9,2.516,2.355,0.16,1.753,46.142,4.269,41.873,0.495,0.168,1.549,939.583,20.44,21,24.9,24.47,4.16,3.76,1.73,7.45
May,1996,Shark,2.9,1.47,1.22,0.25,1.06,44.009,2.53,41.479,0.743,0.243,0.678,941.042,22.7,22.7,27.2,27.2,3.9,3.8,2.7,-9999
April,1998,Shark,2.9,1.483,1.128,0.355,0.57,53.88,2.053,51.827,0.43,0.113,1.546,1118.75,12.3,12.3,24.6,24.6,7.8,7.8,5.15,-9999
October,1998,Shark,2.9,0.808,0.683,0.125,0.413,41.474,1.22,40.254,0.864,0.28,7.444,944.167,21.1,21.8,30.5,30.3,3.2,3,3.15,-9999
April,2001,Shark,2.9,1.183,0.978,0.205,0.48,25.278,1.663,23.616,0.852,0.068,2.048,776.75,33.9,33.9,24.7,24.7,4.2,4.1,4.78,-9999
June,2004,Shark,2.9,0.53,0.401,0.129,0.186,18.98,0.716,18.264,0.145,0.087,2.559,466.979,33.93,33.88,30.8,30.79,5.28,5.33,2.13,7.62
December,1997,Shark,2.9,2.125,1.963,0.163,1.443,56.062,3.568,52.495,0.415,0.015,0.519,1267.708,1.4,1.4,19.7,19.7,7.2,7.3,0.5,-9999
October,1996,Shark,2.9,1.795,1.575,0.22,0.373,60.883,2.168,58.715,0.59,0.09,1.664,1241.042,7.6,7.7,26,26,4.5,4.5,3.85,-9999
August,2000,Shark,2.9,1.055,0.85,0.205,0.48,39.026,1.535,37.491,0.4,0.041,1.402,1328.75,3.2,3.3,28,27.8,5.8,5.9,0.97,-9999
March,2003,Shark,2.9,2.406,2.255,0.151,1.765,44.61,4.17,40.44,0.392,0.078,0.92,1169.167,19.63,19.64,26.92,26.65,3.38,2.66,0.9,7.77
June,1996,Shark,2.9,0.863,0.605,0.258,0.563,54.238,1.425,52.813,0.575,0.14,1.621,1246.042,16.6,16.7,29.8,29.8,2.6,2.7,2.45,-9999
November,2005,Shark,2.9,0.978,0.735,0.243,2.983,28.431,3.96,24.471,0.671,0.101,3.024,1165.833,10.47,11.06,23.35,23.14,5.39,5.16,3.92,7.51
November,1999,Shark,2.9,0.913,0.8,0.113,0.593,25.94,1.505,24.435,0.293,0.258,3.865,1020.208,4.9,6.9,22.8,22.7,4.8,4.8,1.95,-9999
April,2003,Shark,2.9,1.601,1.41,0.191,4.858,27.21,6.459,20.751,0.383,0.084,1.646,1010.833,16.5,16.57,26.26,26.24,6.26,6.24,1.02,7.42
July,2002,Shark,2.9,0.907,0.688,0.219,0.661,22.074,1.568,20.506,0.42,0.043,1.131,1069.167,0.87,0.87,28.73,28.71,5.7,6.02,0.68,7.36
August,1997,Shark,2.9,1.61,1.325,0.285,1.06,51.806,2.67,49.136,0.408,0.08,1.744,1127.5,10.9,11.5,30.6,30.6,2.3,2.3,1.6,-9999
January,2002,Shark,2.9,2.099,1.928,0.171,0.402,21.267,2.502,18.765,0.645,0.057,2.008,1236.25,5.9,5.9,25.1,25.1,7.13,7.12,1.22,-9999
March,1999,Shark,2.9,2.518,2.34,0.178,1.17,57.518,3.688,53.831,0.242,0,1.194,1395,1.9,2,22.6,22.6,7.1,7.2,1.4,-9999
June,2001,Shark,2.9,3.055,2.383,0.673,1.38,19.036,4.435,14.601,0.443,0.073,1.663,1015.208,25.9,-9999,-9999,-9999,-9999,-9999,0.43,-9999
March,2002,Shark,2.9,1.984,1.771,0.212,1.519,32.948,3.503,29.445,0.249,0.171,0.841,1279.583,9.8,9.85,20.33,20.22,6.43,6.28,1.44,-9999
July,1996,Shark,2.9,1.595,1.265,0.33,1.163,61.6,2.758,58.843,0.418,0.065,2.22,1272.083,2.1,2.1,30.2,30.1,4.5,4.4,2.25,-9999
December,1999,Shark,2.9,1.328,1.19,0.138,0.588,61.796,1.915,59.881,0.429,0.09,2.251,1149.583,0.8,0.8,22.4,22.5,4.6,4.6,2.08,-9999
February,2001,Shark,2.9,2.03,1.788,0.243,0.5,34.733,2.53,32.203,0.89,0.058,1.664,690.521,28.9,29,24.3,24.3,4.3,4.3,3.15,-9999
August,1996,Shark,2.9,2.163,1.853,0.31,0.995,66.139,3.158,62.981,0.563,0.048,1.058,1247.917,9.3,9.3,31.7,31.7,6.1,6.1,0.8,-9999
September,1997,Shark,2.9,1.578,1.295,0.283,0.513,53.6,2.09,51.51,0.628,0.155,1.159,876.667,20.6,20.6,29,29,2.7,2.8,6.8,-9999
November,1998,Shark,2.9,0.923,0.8,0.123,0.95,44.645,1.873,42.772,0.365,0.033,1.427,931.458,1.2,1.2,25,25,4.8,4.7,4.76,-9999
November,1996,Shark,2.9,1.3,1.1,0.2,0.313,44.54,1.613,42.927,0.428,0.138,2.125,882.292,20.7,19.2,23.1,22.9,5.2,5,1.8,-9999
May,2003,Shark,2.9,2.84,2.462,0.378,2.2,39.244,5.04,34.203,0.457,0.126,2.111,1106.458,21.97,19.58,30.21,30.2,3.59,2.69,1.37,7.66
August,2005,Shark,2.9,1.553,1.119,0.434,1.826,17.269,3.38,13.889,0.38,0.046,1.937,1051.667,9.24,9.24,30.31,30.33,2.89,2.85,3.96,7.39
August,2003,Shark,2.9,1.117,0.946,0.172,0.844,35.615,1.961,33.654,0.486,0.082,1.233,960.625,0.86,0.87,29.18,29.02,5,4.09,1.96,7.49
December,1998,Shark,2.9,3.968,3.668,0.3,0.433,48.345,4.4,43.945,0.82,0.148,1.566,937.5,12.7,13,24.9,24.9,3.2,3.2,4.27,-9999
February,2000,Shark,2.9,0.973,0.903,0.07,1.275,52.496,2.248,50.248,0.736,0.025,4.857,1505.208,5.2,5.1,21.1,21.2,7.4,7.5,2.26,-9999
October,2003,Shark,2.9,0.738,0.589,0.149,1.202,42.564,1.939,40.625,0.319,0.142,1.778,1172.292,5.37,5.42,26.94,26.94,3.77,3.55,2.35,7.4
January,1997,Shark,2.9,5.833,5.603,0.23,2.235,83.391,8.068,75.324,0.305,0.078,2.321,1721.458,3.1,3.2,22.1,22.1,4.7,4.7,0.25,-9999
September,1996,Shark,2.9,1.335,1.188,0.148,1.195,72.069,2.53,69.539,0.42,0.055,3.348,1519.167,0.7,0.7,30.8,30.7,4.5,4.3,0.85,-9999
January,1999,Shark,2.9,5.558,5.35,0.208,3.735,73.693,9.293,64.401,0.4,0,0.73,1265.417,3.7,3.8,18.9,18.9,8.4,8.6,1.2,-9999
August,2004,Shark,2.9,1.584,1.266,0.318,1.316,25.976,2.899,23.077,0.38,0.054,1.297,1146.042,4.27,4.17,28.63,28.57,5.35,5.33,1.18,7.49
May,2002,Shark,2.9,0.059,0.021,0.039,0.34,75.403,0.399,75.003,0.605,0,1.988,1136.458,26.55,26.97,29.59,29.5,5.17,5.16,1.16,7.47
March,2005,Shark,2.9,1.749,1.517,0.231,0.493,20.099,2.242,17.857,0.979,0.048,1.36,989.444,23.6,24.09,26.56,26.49,7.04,7.03,3.86,7.44
November,2003,Shark,2.9,2.453,2.388,0.065,1.265,25.262,3.719,21.543,0.446,0.272,2.712,918.958,13.04,15.1,25.51,25.33,4.86,4.75,1.44,7.64
August,2001,Shark,2.9,1.62,1.343,0.278,0.985,36.755,2.605,34.15,0.653,0.095,1.827,1388.333,9.4,9.3,30.6,30.6,2.5,2.5,1.3,-9999
July,2000,Shark,2.9,2.638,2.493,0.145,0.148,24.894,2.785,22.109,0.784,0.152,1.035,1131.667,20.3,20,32,31.9,5.1,5.1,0.84,-9999
August,2004,Shark,2.9,2.182,1.959,0.224,0.439,15.757,2.621,13.136,0.306,0.047,1.902,1031.458,3.11,3.16,30.55,30.55,5.33,5.8,1.43,7.3
January,1998,Shark,2.9,1.498,1.278,0.22,0.358,44.08,1.855,42.225,0.457,0.047,1.511,1058.75,13.6,13.6,19.6,19.6,5.1,5,2.05,-9999
May,2000,Shark,2.9,0.8,0.673,0.128,0.543,23.951,1.343,22.609,0.865,0.033,1.281,758.042,29.6,29.4,28.8,29.8,5.3,5.2,1.06,-9999
June,2002,Shark,2.9,1.894,1.551,0.343,0.774,40.636,2.668,37.968,0.89,0.039,1.425,1206.875,23.83,24.97,28.27,28.26,4.91,2.6,1.09,7.4
May,2004,Shark,2.9,1.606,1.397,0.208,0.429,31.656,2.035,29.621,0.548,0.076,3.306,619.25,28.78,28.16,28.67,28.7,6.47,7.2,2.09,7.71
March,1997,Shark,2.9,2.135,1.933,0.203,0.64,50.139,2.775,47.364,0.5,0.063,1.172,1314.167,20.5,20.5,25.3,25.2,3.3,3.3,0.95,-9999
February,1999,Shark,2.9,2.183,2.02,0.163,1,59.056,3.183,55.873,0.3,0.028,1.014,1320.625,3.4,3.4,22.4,22.4,5.4,5.3,2.95,-9999
June,2001,Shark,2.9,1.845,1.4,0.445,1.172,24.771,3.017,21.754,0.573,0.063,1.028,922.917,29,29,29.8,29.8,2,1.9,2.76,-9999
June,2005,Shark,2.9,2.326,1.68,0.646,1.963,21.698,4.288,17.409,0.51,0.075,1.898,1062.5,7.31,7.38,27.33,27.32,4.35,4.33,3.67,7.55
April,2004,Shark,2.9,0.641,0.582,0.059,0.486,31.578,1.126,30.452,0.394,0.043,2.578,612.667,27.45,27.47,23.53,23.53,8.88,7.28,1.92,7.76
July,2004,Shark,2.9,1.693,1.426,0.267,1.469,37.754,3.161,34.593,0.286,0.062,2.551,1223.958,13.9,14.23,30.34,29.2,5.1,5.39,1.41,7.72
May,1999,Shark,2.9,1.038,0.803,0.235,1.38,28.94,2.418,26.523,0.498,0.135,1.167,829.458,30,30,28.3,28.3,4.9,5.1,0.46,-9999
December,2005,Shark,2.9,2.163,2.01,0.152,3.049,16.924,5.212,11.712,0.243,0.025,0.984,1433.958,2.08,2.07,22.28,22.29,4.42,4.44,2.1,7.3
March,2005,Shark,2.9,2.685,2.212,0.472,1.203,33.498,3.888,29.611,0.73,0.064,1.42,975.625,23.14,23.32,23.64,23.65,6.76,6.75,3.31,7.47
December,2004,Shark,2.9,2.182,1.899,0.282,1.677,31.546,3.859,27.687,0.316,0.033,1.135,1428.333,1.31,1.57,23.72,23.53,6.77,6.88,1.08,7.56
April,1999,Shark,2.9,0.875,0.64,0.235,0.698,34.245,1.573,32.672,0.718,0.168,1.776,737.396,29.9,29.8,28.7,28.7,4.7,4.8,1.24,-9999
January,1997,Shark,2.9,5.033,4.735,0.298,2.165,74.268,7.198,67.071,0.355,0.045,1.269,1596.458,6.9,7.4,24.2,24,5.6,5.8,0.45,-9999
September,2003,Shark,2.9,1.665,1.518,0.147,1.057,28.69,2.722,25.968,0.229,0.019,0.778,1135.417,1.28,2.15,29.19,29,3.87,3.29,0.95,7.52
November,2004,Shark,2.9,0.494,0.36,0.135,0.907,37.857,1.401,36.456,0.238,0.033,1.744,977.5,0.61,0.98,26.44,26.53,6.44,6.4,1.07,7.54
February,2004,Shark,2.9,2.673,2.457,0.216,1.207,46.469,3.88,42.588,0.24,0.039,1.271,1231.458,6.84,6.65,22.38,22.35,6.62,6.53,1.61,7.35
April,1997,Shark,2.9,0.463,0.298,0.165,0.263,43.89,0.725,43.165,0.49,0.015,2.299,1093.333,27.5,27.9,26.7,26.5,4.5,4.2,1.35,-9999
August,2002,Shark,2.9,1.455,1.259,0.196,0.621,83.278,2.076,81.202,0.647,0.143,1.581,1233.125,3.97,4.08,29.55,29.58,2.82,2.9,3.06,7.39
April,2002,Shark,2.9,0.575,0.46,0.115,1.078,21.77,1.653,20.118,0.452,0.09,2.032,1084.167,15,19.16,28.17,27.53,6.79,6.63,2.26,-9999
April,2000,Shark,2.9,0.426,0.364,0.062,0,32.934,0.426,32.509,0.653,0.04,1.383,1426.458,12.3,13.3,24.6,24.6,6.3,6.6,3.44,-9999
March,1998,Shark,2.9,2.183,2.025,0.158,0.69,63.088,2.873,60.215,0.255,0,0.903,1216.458,2,2,22.4,22.5,4.9,4.9,0.9,-9999
July,2005,Shark,2.9,1.263,0.954,0.31,2.162,52.963,3.426,49.538,0.412,0.009,2.468,1214.792,5.61,6.09,31.77,31.62,2.83,2.73,4.56,7.37
July,2001,Shark,2.9,2.603,2.268,0.335,2.179,40.006,4.782,35.224,0.61,0.129,2.096,1323.125,15.9,18.4,31.8,31.5,1.4,1.5,2.05,-9999
February,2002,Shark,2.9,4.873,4.633,0.24,1.828,26.315,6.7,19.615,0.353,0.025,1.715,1599.167,3.74,3.86,22.7,22.75,9.04,9.08,4.51,-9999
March,2001,Shark,2.9,1.245,1.088,0.158,0.538,37.509,1.783,35.726,0.465,0.065,0.733,1001.458,25.6,25.5,25.6,25.3,2.7,2.5,2.36,-9999
September,2005,Shark,2.9,1.307,0.983,0.324,1.565,26.839,2.872,23.967,0.279,0.045,1.256,906.667,0.42,0.42,29.8,29.75,3.56,3.55,2.46,7.18
September,2002,Shark,2.9,1.715,1.533,0.182,1.168,54.367,2.883,51.484,0.543,0.057,2.166,1234.167,1.92,2.1,29.23,29.18,4.24,4.35,1.48,7.64
January,2000,Shark,2.9,0.913,0.92,0,1.51,39.706,2.423,37.283,0.362,0.003,3.404,1433.75,0.7,0.7,23.9,23.9,7.7,7.7,0.6,-9999
June,2003,Shark,2.9,1.095,0.872,0.223,0.694,26.274,1.789,24.485,0.235,0.055,1.382,1122.917,2.01,2.01,28.28,28.28,3.91,3.59,1.57,7.77
January,2001,Shark,2.9,3.888,3.775,0.113,4.835,42.682,8.723,33.96,0.45,0.163,0.464,1283.125,10.4,10.5,17.2,17.2,8.6,8.6,1.2,-9999
August,1998,Shark,2.9,1.78,1.365,0.415,1.095,43.573,2.875,40.698,0.538,0.138,2.152,1061.667,17.9,18.1,31.9,31.9,5.3,5.9,1.8,-9999
September,2001,Shark,2.9,1.233,1.101,0.131,0.955,30.935,2.188,28.747,0.02,0.048,0.271,1247.292,6.3,6.6,28.3,28.3,3.85,3.97,1.4,-9999
October,2000,Taylor,1.4,2.941,2.7,0.242,2.48,31.72,5.421,26.299,0.208,0.182,0.588,845.583,1,1.1,24.2,24.2,4.1,4,5.68,-9999
June,2003,Taylor,1.4,2.995,2.723,0.272,10.576,38.721,13.57,25.151,0.194,0.058,0.552,943.333,6.97,7.01,29.91,29.92,5.17,5.22,3.52,8.15
January,2001,Taylor,1.4,0.278,0.21,0.068,2.512,43.582,2.79,40.793,0.318,0.11,0.167,805.354,13.4,13.4,15.5,15.5,4.5,4.5,4.61,-9999
October,1997,Taylor,1.4,2.033,1.92,0.113,2.715,56.342,4.748,51.594,0.215,0,0.717,830.979,3.5,3.8,24.2,24,7.2,7.3,2.3,-9999
March,1997,Taylor,1.4,0.945,0.823,0.123,0.625,43.054,1.57,41.484,0.363,0.045,2.099,958.542,21.1,21,25.1,25.2,6.2,6,10.5,-9999
December,1997,Taylor,1.4,2.465,2.345,0.12,4.033,41.749,6.498,35.251,0.37,0.123,0.603,670.229,4,4.7,25,24.7,3.9,3.9,2,-9999
February,1996,Taylor,1.4,0.325,0.218,0.108,0.65,62.719,0.975,61.744,0.438,0.008,2,1027.292,9.8,9.7,17,17,6.5,6.5,10.15,-9999
May,1999,Taylor,1.4,0.92,0.833,0.088,2.945,52.791,3.865,48.926,0.208,0.048,0.458,845.875,36.3,36.2,30.5,30.5,3,2.8,1.38,-9999
September,2005,Taylor,1.4,1.985,1.386,0.599,8.797,32.135,10.782,21.353,0.151,0.046,1.02,729.854,3.03,3.05,29.39,29.29,7.64,5.7,4.03,8.06
December,1996,Taylor,1.4,2.565,2.255,0.31,0.988,53.918,3.553,50.366,0.378,0.01,1.922,857.708,6.5,6.5,23.8,23.8,7.9,7.9,7.35,-9999
September,1999,Taylor,1.4,2.875,2.598,0.278,5.068,58.796,7.943,50.853,0.263,0.033,0.611,922.083,4.7,18.8,26.6,28.1,5.2,5,4.28,-9999
September,2001,Taylor,1.4,3.025,2.163,0.863,5.458,27.097,8.483,18.614,0.12,0.06,1.026,1107.5,1.84,1.98,31.23,30.9,6.1,7.6,4.65,-9999
December,2001,Taylor,1.4,1.478,1.375,0.102,2.105,26.824,3.583,23.241,0.171,0.016,2.412,820.354,1.1,1.1,24,24,6.2,7,24.75,-9999
September,2002,Taylor,1.4,1.026,0.968,0.059,3.477,40.656,4.503,36.154,0.612,0.273,2.063,748.979,1.23,1.24,30.68,30.67,6.45,8.69,5.26,8.32
April,2002,Taylor,1.4,0.181,0.173,0.007,0.115,18.159,0.296,17.864,0.265,0.042,2.384,835,20.78,20.85,24.76,24.77,4.59,3.16,17.63,-9999
September,1998,Taylor,1.4,2.748,2.528,0.22,4.098,45.43,6.845,38.585,0.165,0.073,0.661,706.667,3.1,7.8,28.1,28,5.2,5.2,6.25,-9999
June,2001,Taylor,1.4,0.198,0.105,0.093,1.065,21.871,1.262,20.609,0.13,0.043,0.168,722.396,34,-9999,-9999,-9999,-9999,-9999,0.68,-9999
October,2004,Taylor,1.4,1.612,1.345,0.267,6.045,28.929,7.657,21.271,0.176,0.045,0.961,1009.167,9.67,9.5,26.47,26.37,3.69,3.15,4.77,8.14
March,2001,Taylor,1.4,1.21,1.138,0.073,1.188,34.321,2.398,31.923,0.538,0.095,0.299,716.979,22.3,22.6,19.1,19,7.9,6.9,10.66,-9999
March,1999,Taylor,1.4,0.978,0.825,0.153,2.13,47.046,3.108,43.939,0.225,0.003,0.874,782.625,24.9,24.9,24.6,24.6,4.7,4.2,7.1,-9999
July,2004,Taylor,1.4,0.575,0.469,0.106,3.269,34.577,3.844,30.734,0.134,0.048,0.471,649.375,37.97,38.04,29.36,29.37,3.51,2.74,0.15,8.14
April,2000,Taylor,1.4,1.172,1.144,0.029,0.249,39.624,1.421,38.203,0.426,0.044,0.713,845.417,14.9,15.6,26.3,26.3,2.9,2.4,1.98,-9999
August,2001,Taylor,1.4,0.928,0.698,0.23,9.333,51.027,10.261,40.766,0.2,0.1,0.154,941.458,4.6,5.4,32.9,32.9,5.4,7.2,3.55,-9999
April,1996,Taylor,1.4,0.728,0.578,0.15,1.035,64.557,1.763,62.795,0.535,0.063,1.937,996.875,18.1,19.2,27.1,27.5,4.4,4.3,4.1,-9999
March,2004,Taylor,1.4,0.911,0.732,0.179,1.945,45.376,2.856,42.52,0.25,0.038,1.977,822.542,18.44,18.78,23.36,23.39,6.5,6.46,2.34,8.13
November,1999,Taylor,1.4,3.32,3.004,0.316,2.03,21.367,5.35,16.016,0.44,0,3.136,745.167,0.3,0.3,23,22.9,6.9,6.8,56.95,-9999
October,1999,Taylor,1.4,1.851,1.652,0.199,3.503,20.105,5.354,14.751,0.242,0.168,1.214,566.333,1,1,23,23,3.5,3.4,2.95,-9999
June,1996,Taylor,1.4,0.25,0.163,0.088,2.93,107.217,3.18,104.037,0.398,0.028,1.172,1702.292,16.4,17.9,30,30.1,7.2,7.4,4.3,-9999
January,1996,Taylor,1.4,0.663,0.648,0.015,0.43,62.48,1.093,61.388,0.558,0.095,1.904,1006.458,7.1,7.1,22.2,22.2,5.5,5.6,5.8,-9999
January,2003,Taylor,1.4,1.215,1.114,0.101,0.437,29.354,1.652,27.701,0.244,0.081,0.77,757.646,15.34,15.3,15.29,15.28,5.44,5.38,3.78,8.35
April,1998,Taylor,1.4,3.518,3.078,0.44,4.463,55.768,7.98,47.788,0.375,0.023,0.923,920.833,5,5,22.7,22.7,4.3,4.2,7.3,-9999
January,2005,Taylor,1.4,4.368,3.111,1.258,6.118,28.717,10.486,18.231,0.145,0.069,0.435,822.979,26.67,26.87,15.6,15.67,7.05,7.06,1.98,8.33
September,2003,Taylor,1.4,3.12,2.833,0.288,1.81,45.956,4.93,41.026,0.114,0.054,1.431,774.542,1.31,1.47,29.76,29.49,6.87,6.73,6.26,8.21
June,2005,Taylor,1.4,0.831,0.457,0.375,5.204,59.784,6.035,53.749,0.178,0.038,0.388,794,35.65,36.01,30.7,30.77,8.05,8.16,1.71,7.99
July,1998,Taylor,1.4,1.248,1.093,0.155,3.778,52.539,5.025,47.514,0.16,0.008,1.092,866.458,24.5,27.5,29,30.6,3.3,3.2,2.85,-9999
May,2001,Taylor,1.4,1.135,0.963,0.173,1.363,29.123,2.498,26.625,0.173,0.052,0.24,857.708,28.36,28.43,24.02,24.01,6.37,6.3,3.57,-9999
March,2005,Taylor,1.4,0.521,0.376,0.146,1.172,27.569,1.693,25.876,0.14,0.034,0.403,754,36.19,35.8,26.53,26.56,5.31,4.9,1.8,8.11
