Month,Year,Area,SpeciesName,TotalSpeciesWeight,SpeciesBiomass
April,1996,Shark,Erimyzon sucetta,0.15501445,0.02214492
April,1996,Shark,Elassoma evergladei,0.34495972,0.04927996
April,1996,Shark,Enneacanthus gloriosus,0.37474921,0.0535356
April,1996,Shark,Cichlasoma uropthalmus,0.65953362,0.09421909
April,1996,Shark,Fundulus chrysotus,0.79329404,0.11332772
April,1996,Shark,Poecilia latipinna,0.93776258,0.13396608
April,1996,Shark,Gambusia holbrooki,1.6308631,0.23298044
April,1996,Shark,Jordanella floridae,1.94554098,0.27793443
April,1996,Shark,Heterandria formosa,2.23122741,0.31874677
April,1996,Shark,Lepomis punctatus,2.60965646,0.37280807
April,1996,Shark,Lucania goodei,3.13197398,0.44742485
April,1996,Shark,Lepisosteus platyrhinchus,51.22258258,7.3175118
April,1996,Shark,Elassoma evergladei,0.02350859,0.00335837
April,1996,Shark,Notropis petersoni,0.02917299,0.00416757
April,1996,Shark,Poecilia latipinna,0.05857078,0.00836725
April,1996,Shark,Jordanella floridae,0.06523145,0.00931878
April,1996,Shark,Ameriurus natalis,0.29609089,0.0422987
April,1996,Shark,Fundulus chrysotus,0.70375273,0.1005361
April,1996,Shark,Heterandria formosa,0.91343141,0.1304902
April,1996,Shark,Lepomis punctatus,1.09438224,0.15634032
April,1996,Shark,Gambusia holbrooki,1.11380692,0.15911527
April,1996,Shark,Oreochromis aureus,1.20126509,0.1716093
April,1996,Shark,Lucania goodei,1.97661114,0.28237302
April,1996,Shark,Erimyzon sucetta,3.34042319,0.47720331
December,1996,Shark,Jordanella floridae,0.00956747,0.00136678
December,1996,Shark,Poecilia latipinna,0.03665057,0.0052358
December,1996,Shark,Heterandria formosa,0.3727445,0.05324921
December,1996,Shark,Fundulus chrysotus,0.50584672,0.07226382
December,1996,Shark,Lucania goodei,0.7395603,0.10565147
December,1996,Shark,Gambusia holbrooki,0.77498141,0.11071163
December,1996,Shark,Jordanella floridae,0.2154544,0.0307792
December,1996,Shark,Gambusia holbrooki,0.5585544,0.07979349
December,1996,Shark,Poecilia latipinna,0.79699757,0.1138568
December,1996,Shark,Heterandria formosa,0.81112093,0.11587442
December,1996,Shark,Fundulus chrysotus,0.9204034,0.1314862
December,1996,Shark,Erimyzon sucetta,1.45696037,0.2081372
December,1996,Shark,Lucania goodei,1.46346413,0.2090663
December,1996,Shark,Jordanella floridae,0.04886789,0.00698113
December,1996,Shark,Fundulus confluentus,0.07189155,0.01027022
December,1996,Shark,Poecilia latipinna,0.45340743,0.06477249
December,1996,Shark,Fundulus chrysotus,0.48661289,0.06951613
December,1996,Shark,Heterandria formosa,0.52088046,0.07441149
December,1996,Shark,Gambusia holbrooki,0.88874988,0.12696427
December,1996,Shark,Lucania goodei,1.38473168,0.19781881
December,1996,Shark,Fundulus confluentus,0.07555276,0.01079325
December,1996,Shark,Heterandria formosa,0.25272785,0.03610398
December,1996,Shark,Fundulus chrysotus,0.30296696,0.04328099
December,1996,Shark,Jordanella floridae,0.30643418,0.04377631
December,1996,Shark,Ameriurus natalis,0.36896636,0.05270948
December,1996,Shark,Gambusia holbrooki,0.51285348,0.07326478
December,1996,Shark,Poecilia latipinna,1.09684704,0.15669243
December,1996,Shark,Lepomis punctatus,1.14030204,0.16290029
December,1996,Shark,Lucania goodei,1.43603223,0.20514746
December,1996,Shark,Poecilia latipinna,0.10092866,0.01441838
December,1996,Shark,Fundulus chrysotus,0.12125227,0.01732175
December,1996,Shark,Fundulus confluentus,0.16093408,0.02299058
December,1996,Shark,Jordanella floridae,0.27441179,0.03920168
December,1996,Shark,Heterandria formosa,0.36111173,0.05158739
December,1996,Shark,Gambusia holbrooki,0.89097612,0.1272823
December,1996,Shark,Lucania goodei,1.07540974,0.15362996
December,1996,Shark,Fundulus confluentus,0.25896511,0.03699502
December,1996,Shark,Heterandria formosa,0.34134956,0.04876422
December,1996,Shark,Poecilia latipinna,0.35748941,0.05106992
December,1996,Shark,Gambusia holbrooki,0.59165387,0.08452198
December,1996,Shark,Jordanella floridae,0.61063602,0.08723372
December,1996,Shark,Fundulus chrysotus,0.64396638,0.0919952
December,1996,Shark,Lucania goodei,0.81671856,0.11667408
December,1996,Shark,Elassoma evergladei,0.02082333,0.00297476
December,1996,Shark,Fundulus confluentus,0.05511942,0.0078742
December,1996,Shark,Poecilia latipinna,0.08876895,0.01268128
December,1996,Shark,Gambusia holbrooki,0.52616444,0.07516635
December,1996,Shark,Jordanella floridae,0.57563786,0.08223398
December,1996,Shark,Heterandria formosa,0.93663906,0.13380558
December,1996,Shark,Lucania goodei,1.05419083,0.15059869
December,1996,Shark,Fundulus chrysotus,1.3608686,0.1944098
December,1996,Shark,Elassoma evergladei,0.02396368,0.00342338
December,1996,Shark,Fundulus chrysotus,0.18374212,0.02624887
December,1996,Shark,Poecilia latipinna,0.53365229,0.07623604
December,1996,Shark,Heterandria formosa,0.6876368,0.09823383
December,1996,Shark,Gambusia holbrooki,0.89411499,0.12773071
December,1996,Shark,Jordanella floridae,1.05344824,0.15049261
December,1996,Shark,Lucania goodei,1.51818568,0.21688367
December,1996,Shark,Elassoma evergladei,0.07463522,0.01066217
December,1996,Shark,Fundulus confluentus,0.19830563,0.02832938
December,1996,Shark,Jordanella floridae,0.30564188,0.04366313
December,1996,Shark,Poecilia latipinna,0.31132002,0.04447429
December,1996,Shark,Erimyzon sucetta,0.48736671,0.06962382
December,1996,Shark,Gambusia holbrooki,0.83555111,0.11936444
December,1996,Shark,Lucania goodei,1.01458685,0.14494098
December,1996,Shark,Fundulus chrysotus,1.04499774,0.14928539
December,1996,Shark,Heterandria formosa,1.18238313,0.16891188
December,1996,Taylor,Jordanella floridae,0.09129764,0.01304252
December,1996,Taylor,Gambusia holbrooki,0.27547652,0.03935379
December,1996,Taylor,Fundulus chrysotus,0.3141159,0.0448737
December,1996,Taylor,Lucania goodei,0.84155069,0.12022153
December,1996,Taylor,Lepomis punctatus,0.02228998,0.00318428
December,1996,Taylor,Notropis petersoni,0.05372599,0.00767514
December,1996,Taylor,Gambusia holbrooki,0.17432187,0.02490312
December,1996,Taylor,Jordanella floridae,0.35631537,0.0509022
December,1996,Taylor,Fundulus chrysotus,0.56460627,0.08065804
December,1996,Taylor,Lucania goodei,0.83878935,0.11982705
December,1996,Taylor,Heterandria formosa,0.01419764,0.00202823
December,1996,Taylor,Elassoma evergladei,0.03275062,0.00467866
December,1996,Taylor,Jordanella floridae,0.07402985,0.01057569
December,1996,Taylor,Gambusia holbrooki,0.12355925,0.01765132
December,1996,Taylor,Lucania goodei,0.61701488,0.08814498
December,1996,Taylor,Fundulus chrysotus,1.26729544,0.18104221
December,1996,Taylor,Jordanella floridae,0.24686108,0.03526587
December,1996,Taylor,Heterandria formosa,0.41350778,0.05907254
December,1996,Taylor,Fundulus chrysotus,0.44441507,0.06348787
December,1996,Taylor,Gambusia holbrooki,1.08880531,0.15554362
December,1996,Taylor,Lucania goodei,1.60201061,0.22885866
December,1996,Taylor,Poecilia latipinna,0.02130061,0.00304294
December,1996,Taylor,Heterandria formosa,0.62941082,0.08991583
December,1996,Taylor,Gambusia holbrooki,0.88067121,0.12581017
December,1996,Taylor,Fundulus chrysotus,1.00249569,0.14321367
December,1996,Taylor,Jordanella floridae,1.8508157,0.26440224
December,1996,Taylor,Lucania goodei,2.58988968,0.36998424
December,1996,Taylor,Enneacanthus gloriosus,0.07279862,0.0103998
December,1996,Taylor,Elassoma evergladei,0.21354374,0.03050625
December,1996,Taylor,Poecilia latipinna,0.37530509,0.05361501
December,1996,Taylor,Gambusia holbrooki,0.41603238,0.0594332
December,1996,Taylor,Heterandria formosa,1.07368895,0.15338414
December,1996,Taylor,Jordanella floridae,1.10492058,0.1578458
December,1996,Taylor,Fundulus chrysotus,1.23309908,0.17615701
December,1996,Taylor,Lucania goodei,1.82590215,0.26084316
December,1996,Taylor,Elassoma evergladei,0.03676366,0.00525195
December,1996,Taylor,Fundulus confluentus,0.10392138,0.01484591
December,1996,Taylor,Heterandria formosa,0.19629379,0.02804197
December,1996,Taylor,Gambusia holbrooki,0.21046144,0.03006592
December,1996,Taylor,Enneacanthus gloriosus,0.21876738,0.03125248
December,1996,Taylor,Poecilia latipinna,0.38094233,0.05442033
December,1996,Taylor,Fundulus chrysotus,0.43018782,0.0614554
December,1996,Taylor,Lucania goodei,1.04506386,0.14929484
December,1996,Taylor,Jordanella floridae,1.23455998,0.17636571
December,1996,Taylor,Elassoma evergladei,0.01568316,0.00224045
December,1996,Taylor,Jordanella floridae,0.02480592,0.0035437
December,1996,Taylor,Lucania goodei,0.02805752,0.00400822
December,1996,Taylor,Fundulus confluentus,0.07173565,0.01024795
December,1996,Taylor,Heterandria formosa,0.10062994,0.01437571
December,1996,Taylor,Gambusia holbrooki,0.10987329,0.01569618
December,1996,Taylor,Fundulus chrysotus,0.2499571,0.03570816
December,1996,Taylor,Elassoma evergladei,0.07852545,0.01121792
December,1996,Taylor,Poecilia latipinna,0.14623885,0.02089126
December,1996,Taylor,Heterandria formosa,0.16675069,0.02382153
December,1996,Taylor,Jordanella floridae,0.16931165,0.02418738
December,1996,Taylor,Fundulus confluentus,0.24345942,0.03477992
December,1996,Taylor,Gambusia holbrooki,0.37651628,0.05378804
December,1996,Taylor,Fundulus chrysotus,0.46710535,0.06672934
December,1996,Taylor,Lucania goodei,0.70601612,0.10085945
December,1996,Taylor,Lepomis punctatus,0.00704895,0.00100699
December,1996,Taylor,Elassoma evergladei,0.11846361,0.01692337
December,1996,Taylor,Poecilia latipinna,0.2234717,0.03192453
December,1996,Taylor,Heterandria formosa,0.26199707,0.03742815
December,1996,Taylor,Fundulus chrysotus,0.43005063,0.0614358
December,1996,Taylor,Gambusia holbrooki,0.44472513,0.06353216
December,1996,Taylor,Belenesox belizanus,0.47060938,0.06722991
December,1996,Taylor,Jordanella floridae,0.98263198,0.140376
December,1996,Taylor,Lucania goodei,0.99224867,0.14174981
December,1996,Taylor,Lepomis spp.,0.01132211,0.00161744
December,1996,Taylor,Poecilia latipinna,0.0206356,0.00294794
December,1996,Taylor,Lepomis punctatus,0.02392997,0.00341857
December,1996,Taylor,Notropis petersoni,0.18842248,0.0269175
December,1996,Taylor,Elassoma evergladei,0.22691459,0.03241637
December,1996,Taylor,Jordanella floridae,0.27164477,0.0388064
December,1996,Taylor,Heterandria formosa,0.36639894,0.05234271
December,1996,Taylor,Fundulus chrysotus,0.51478377,0.07354054
December,1996,Taylor,Gambusia holbrooki,0.59286495,0.08469499
December,1996,Taylor,Lucania goodei,0.92077085,0.13153869
December,1996,Taylor,Heterandria formosa,0.05746285,0.00820898
December,1996,Taylor,Gambusia holbrooki,0.06805197,0.00972171
December,1996,Taylor,Poecilia latipinna,0.12391344,0.01770192
December,1996,Taylor,Lepomis punctatus,0.17272907,0.02467558
December,1996,Taylor,Elassoma evergladei,0.19584041,0.0279772
December,1996,Taylor,Lucania goodei,0.39910643,0.0570152
December,1996,Taylor,Fundulus chrysotus,0.45125137,0.06446448
December,1996,Taylor,Cichlasoma uropthalmus,0.54390661,0.07770094
December,1996,Taylor,Jordanella floridae,0.78587257,0.11226751
December,1996,Taylor,Enneacanthus gloriosus,0.88556963,0.12650995
December,1996,Taylor,Lepomis punctatus,0.01433982,0.00204855
December,1996,Taylor,Heterandria formosa,0.02939177,0.00419882
December,1996,Taylor,Elassoma evergladei,0.03192446,0.00456064
December,1996,Taylor,Jordanella floridae,0.13535441,0.01933634
December,1996,Taylor,Fundulus chrysotus,0.16676552,0.02382365
December,1996,Taylor,Gambusia holbrooki,0.22297122,0.03185303
December,1996,Taylor,Lucania goodei,0.24543774,0.03506253
February,1996,Shark,Jordanella floridae,0.03746402,0.005352
February,1996,Shark,Heterandria formosa,0.07462959,0.01066137
February,1996,Shark,Fundulus chrysotus,0.10462792,0.01494685
February,1996,Shark,Gambusia holbrooki,0.11791114,0.01684445
February,1996,Shark,Fundulus seminolis,0.26295279,0.03756468
February,1996,Shark,Lucania goodei,2.26279065,0.32325581
February,1996,Shark,Jordanella floridae,0.04983846,0.00711978
February,1996,Shark,Poecilia latipinna,0.18521339,0.02645906
February,1996,Shark,Gambusia holbrooki,0.4393278,0.06276111
February,1996,Shark,Heterandria formosa,0.46127224,0.06589603
February,1996,Shark,Fundulus chrysotus,0.5745755,0.08208221
February,1996,Shark,Lucania goodei,1.79016785,0.25573826
February,1996,Shark,Cichlasoma uropthalmus,101.8978081,14.55682973
February,1996,Shark,Erimyzon sucetta,0.01718209,0.00245458
February,1996,Shark,Heterandria formosa,0.19174919,0.02739274
February,1996,Shark,Fundulus chrysotus,0.19435899,0.02776557
February,1996,Shark,Poecilia latipinna,0.22609266,0.03229895
February,1996,Shark,Jordanella floridae,0.28532517,0.04076074
February,1996,Shark,Gambusia holbrooki,0.33543453,0.04791922
February,1996,Shark,Lepomis punctatus,0.54954549,0.0785065
February,1996,Shark,Lucania goodei,2.03058081,0.29008297
February,1996,Shark,Erimyzon sucetta,0.05806821,0.00829546
February,1996,Shark,Fundulus chrysotus,0.18766367,0.0268091
February,1996,Shark,Heterandria formosa,0.22092229,0.03156033
February,1996,Shark,Poecilia latipinna,0.62974142,0.08996306
February,1996,Shark,Gambusia holbrooki,0.88113954,0.12587708
February,1996,Shark,Jordanella floridae,1.04816824,0.14973832
February,1996,Shark,Lucania goodei,1.37245418,0.19606488
February,1996,Shark,Lepomis punctatus,7.71806233,1.10258033
February,1996,Shark,Jordanella floridae,0.04014059,0.00573437
February,1996,Shark,Poecilia latipinna,0.05823653,0.0083195
February,1996,Shark,Heterandria formosa,0.23880482,0.03411497
February,1996,Shark,Fundulus chrysotus,0.33959187,0.04851312
February,1996,Shark,Lepomis punctatus,0.51323048,0.07331864
February,1996,Shark,Gambusia holbrooki,0.64058633,0.09151233
February,1996,Shark,Lucania goodei,1.25169845,0.17881406
February,1996,Shark,Erimyzon sucetta,0.01867415,0.00266774
February,1996,Shark,Jordanella floridae,0.04425901,0.00632272
February,1996,Shark,Heterandria formosa,0.12322555,0.01760365
February,1996,Shark,Gambusia holbrooki,0.3120102,0.04457289
February,1996,Shark,Lepomis punctatus,0.3536807,0.05052581
February,1996,Shark,Fundulus chrysotus,0.56739307,0.08105615
February,1996,Shark,Lucania goodei,1.46983774,0.20997682
February,1996,Shark,Ameriurus natalis,0.15275449,0.02182207
February,1996,Shark,Elassoma evergladei,0.27786874,0.03969553
February,1996,Shark,Fundulus chrysotus,0.48207298,0.06886757
February,1996,Shark,Erimyzon sucetta,0.50193491,0.07170499
February,1996,Shark,Jordanella floridae,0.57234297,0.08176328
February,1996,Shark,Poecilia latipinna,0.67945615,0.09706516
February,1996,Shark,Enneacanthus gloriosus,0.73894947,0.10556421
February,1996,Shark,Lepomis punctatus,0.75491696,0.10784528
February,1996,Shark,Gambusia holbrooki,0.88377144,0.12625306
February,1996,Shark,Heterandria formosa,0.88669158,0.12667023
February,1996,Shark,Lucania goodei,1.57065554,0.22437936
February,1996,Shark,Erimyzon sucetta,0.02010699,0.00287243
February,1996,Shark,Elassoma evergladei,0.13009937,0.01858562
February,1996,Shark,Fundulus confluentus,0.32720824,0.04674403
February,1996,Shark,Enneacanthus gloriosus,0.35245079,0.05035011
February,1996,Shark,Fundulus chrysotus,0.69221024,0.09888718
February,1996,Shark,Poecilia latipinna,1.49670999,0.21381571
February,1996,Shark,Heterandria formosa,1.56980827,0.22425832
February,1996,Shark,Jordanella floridae,1.5957846,0.22796923
February,1996,Shark,Lucania goodei,1.6856427,0.2408061
February,1996,Shark,Gambusia holbrooki,1.89085656,0.27012237
February,1996,Shark,Cichlasoma uropthalmus,2.591857,0.37026529
February,1996,Shark,Ameriurus natalis,15.61003838,2.23000548
February,1996,Shark,Erimyzon sucetta,0.02265359,0.00323623
February,1996,Shark,Poecilia latipinna,0.10085142,0.01440735
February,1996,Shark,Elassoma evergladei,0.16228421,0.02318346
February,1996,Shark,Cichlasoma uropthalmus,0.24126757,0.0344668
February,1996,Shark,Jordanella floridae,0.34477201,0.04925314
February,1996,Shark,Gambusia holbrooki,0.4505768,0.06436811
February,1996,Shark,Fundulus chrysotus,0.76762492,0.1096607
February,1996,Shark,Heterandria formosa,0.89652999,0.12807571
February,1996,Shark,Lucania goodei,1.6740446,0.23914923
February,1996,Shark,Lepomis punctatus,4.60048429,0.65721204
July,1996,Shark,Jordanella floridae,0.00348283,0.00049755
July,1996,Shark,Poecilia latipinna,0.01925521,0.00275074
July,1996,Shark,Erimyzon sucetta,0.06148365,0.00878338
July,1996,Shark,Enneacanthus gloriosus,0.12248065,0.01749724
July,1996,Shark,Fundulus chrysotus,0.54314281,0.07759183
July,1996,Shark,Heterandria formosa,0.58975196,0.08425028
July,1996,Shark,Lucania goodei,0.73004478,0.10429211
July,1996,Shark,Gambusia holbrooki,0.76609971,0.10944282
July,1996,Shark,Lepomis punctatus,1.45041437,0.20720205
July,1996,Shark,Jordanella floridae,0.10887317,0.01555331
July,1996,Shark,Fundulus chrysotus,0.35239517,0.05034217
July,1996,Shark,Lucania goodei,0.54347163,0.0776388
July,1996,Shark,Erimyzon sucetta,0.70682172,0.10097453
July,1996,Shark,Gambusia holbrooki,0.72484532,0.10354933
July,1996,Shark,Heterandria formosa,0.81806738,0.11686677
July,1996,Shark,Poecilia latipinna,1.1494819,0.1642117
July,1996,Shark,Lepomis punctatus,1.33213809,0.19030544
July,1996,Shark,Poecilia latipinna,0.00556206,0.00079458
July,1996,Shark,Jordanella floridae,0.035911,0.00513014
July,1996,Shark,Fundulus chrysotus,0.14595827,0.02085118
July,1996,Shark,Erimyzon sucetta,0.36993629,0.05284804
July,1996,Shark,Gambusia holbrooki,0.48694506,0.06956358
July,1996,Shark,Heterandria formosa,0.50957684,0.07279669
July,1996,Shark,Lucania goodei,0.66243186,0.09463312
July,1996,Shark,Poecilia latipinna,0.02185156,0.00312165
July,1996,Shark,Ameriurus natalis,0.057658,0.00823686
July,1996,Shark,Fundulus chrysotus,0.06653703,0.00950529
July,1996,Shark,Jordanella floridae,0.08208378,0.01172625
July,1996,Shark,Heterandria formosa,0.1687721,0.0241103
July,1996,Shark,Notropis petersoni,0.23808981,0.03401283
July,1996,Shark,Lucania goodei,0.28827681,0.0411824
July,1996,Shark,Lepomis punctatus,0.429479,0.06135414
July,1996,Shark,Gambusia holbrooki,0.47575535,0.06796505
July,1996,Shark,Jordanella floridae,0.08343689,0.01191956
July,1996,Shark,Poecilia latipinna,0.12199717,0.01742817
July,1996,Shark,Heterandria formosa,0.46044436,0.06577777
July,1996,Shark,Fundulus chrysotus,0.46185443,0.0659792
July,1996,Shark,Lucania goodei,0.76684954,0.10954993
July,1996,Shark,Erimyzon sucetta,1.09107353,0.15586765
July,1996,Shark,Gambusia holbrooki,1.3137133,0.18767333
July,1996,Shark,Notropis petersoni,0.04094215,0.00584888
July,1996,Shark,Fundulus chrysotus,0.06812827,0.00973261
July,1996,Shark,Jordanella floridae,0.13937133,0.01991019
July,1996,Shark,Poecilia latipinna,0.14950712,0.02135816
July,1996,Shark,Lepomis punctatus,0.29881297,0.04268757
July,1996,Shark,Heterandria formosa,0.35392349,0.0505605
July,1996,Shark,Erimyzon sucetta,0.44716303,0.06388043
July,1996,Shark,Lucania goodei,0.86575852,0.12367979
July,1996,Shark,Gambusia holbrooki,0.9024997,0.12892853
July,1996,Shark,Elassoma evergladei,0.05978188,0.00854027
July,1996,Shark,Clarias batrachus,0.1303085,0.0186155
July,1996,Shark,Fundulus chrysotus,0.22523648,0.03217664
July,1996,Shark,Lucania goodei,0.28758869,0.0410841
July,1996,Shark,Jordanella floridae,0.68074803,0.09724972
July,1996,Shark,Heterandria formosa,1.50186555,0.21455222
July,1996,Shark,Ameriurus natalis,1.61037921,0.23005417
July,1996,Shark,Poecilia latipinna,1.75256925,0.25036704
July,1996,Shark,Gambusia holbrooki,1.99129525,0.28447075
July,1996,Shark,Elassoma evergladei,0.00290979,0.00041568
July,1996,Shark,Clarias batrachus,0.02137621,0.00305374
July,1996,Shark,Ameriurus natalis,0.02530506,0.00361501
July,1996,Shark,Poecilia latipinna,0.09994756,0.01427822
July,1996,Shark,Cichlasoma uropthalmus,0.23171786,0.03310255
July,1996,Shark,Heterandria formosa,0.26264828,0.03752118
July,1996,Shark,Fundulus chrysotus,0.34721868,0.04960267
July,1996,Shark,Lucania goodei,0.40544013,0.05792002
July,1996,Shark,Jordanella floridae,0.45112021,0.06444574
July,1996,Shark,Gambusia holbrooki,0.51711156,0.07387308
July,1996,Shark,Fundulus confluentus,0.02201554,0.00314508
July,1996,Shark,Fundulus chrysotus,0.02467688,0.00352527
July,1996,Shark,Elassoma evergladei,0.02896356,0.00413765
July,1996,Shark,Ameriurus natalis,0.04522527,0.00646075
July,1996,Shark,Jordanella floridae,0.08515794,0.01216542
July,1996,Shark,Lucania goodei,0.21926134,0.03132305
July,1996,Shark,Heterandria formosa,0.5216002,0.07451431
July,1996,Shark,Gambusia holbrooki,0.69247107,0.09892444
July,1996,Shark,Poecilia latipinna,0.79483847,0.11354835
July,1996,Shark,Lepomis punctatus,1.53000619,0.21857231
July,1996,Shark,Cichlasoma uropthalmus,56.8046032,8.11494331
July,1996,Taylor,Fundulus confluentus,0.02470114,0.00352873
July,1996,Taylor,Cichlasoma uropthalmus,0.04577179,0.00653883
July,1996,Taylor,Gambusia holbrooki,0.05681836,0.00811691
July,1996,Taylor,Jordanella floridae,0.09781729,0.0139739
July,1996,Taylor,Fundulus chrysotus,0.59284802,0.08469257
July,1996,Taylor,Lucania goodei,0.73312646,0.10473235
July,1996,Taylor,Gambusia holbrooki,0.03746395,0.00535199
July,1996,Taylor,Jordanella floridae,0.06177525,0.00882504
July,1996,Taylor,Elassoma evergladei,0.08767907,0.01252558
July,1996,Taylor,Fundulus chrysotus,0.25642059,0.03663151
July,1996,Taylor,Lucania goodei,0.43259469,0.06179924
July,1996,Taylor,Gambusia holbrooki,0.01254237,0.00179177
July,1996,Taylor,Fundulus chrysotus,0.03529563,0.00504223
July,1996,Taylor,Elassoma evergladei,0.05588688,0.00798384
July,1996,Taylor,Fundulus confluentus,0.05717121,0.00816732
July,1996,Taylor,Jordanella floridae,0.11579973,0.01654282
July,1996,Taylor,Lucania goodei,0.44472507,0.06353215
July,1996,Taylor,Notropis petersoni,0.00195505,0.00027929
July,1996,Taylor,Poecilia latipinna,0.01208292,0.00172613
July,1996,Taylor,Labidesthes sicculus,0.04911784,0.00701683
July,1996,Taylor,Fundulus chrysotus,0.07982793,0.01140399
July,1996,Taylor,Jordanella floridae,0.13590301,0.01941472
July,1996,Taylor,Enneacanthus gloriosus,0.14606222,0.02086603
July,1996,Taylor,Gambusia holbrooki,0.15330603,0.02190086
July,1996,Taylor,Heterandria formosa,0.17862753,0.02551822
July,1996,Taylor,Lucania goodei,0.55944678,0.07992097
July,1996,Taylor,Lepomis marginatus,0.58095277,0.08299325
July,1996,Taylor,Notropis petersoni,0.01210196,0.00172885
July,1996,Taylor,Poecilia latipinna,0.04531045,0.00647292
July,1996,Taylor,Fundulus chrysotus,0.167862,0.02398029
July,1996,Taylor,Heterandria formosa,0.23105093,0.03300728
July,1996,Taylor,Lepomis gulosus,0.26266382,0.0375234
July,1996,Taylor,Gambusia holbrooki,0.63745068,0.09106438
July,1996,Taylor,Lepomis punctatus,0.8155666,0.11650951
July,1996,Taylor,Jordanella floridae,0.84001221,0.12000174
July,1996,Taylor,Lucania goodei,0.93586544,0.13369506
July,1996,Taylor,Poecilia latipinna,0.00905513,0.00129359
July,1996,Taylor,Elassoma evergladei,0.01613279,0.00230468
July,1996,Taylor,Jordanella floridae,0.19189423,0.02741346
July,1996,Taylor,Gambusia holbrooki,0.34660829,0.04951547
July,1996,Taylor,Lucania goodei,0.41811456,0.05973065
