"","SpeciesName","CommonName","FunctionalGroup","Date","Month","Year","Area","SITENAME","FPO","Plot","TotalSpeciesWeight","NumofThrowTraps","SpeciesBiomass"
"22","Cyprinodon variegatus","Sheepshed minnow","omnivore","1999-12-01","December",1999,"Taylor","Taylor Slough_Site MDC","Fish","MDC",0.03834791,7,0.00547827
"23","Cyprinodon variegatus","Sheepshed minnow","omnivore","1998-10-01","October",1998,"Taylor","Taylor Slough_Site CPC","Fish","CPC",0.08337932,7,0.01191133
"24","Cyprinodon variegatus","Sheepshed minnow","omnivore","1997-12-01","December",1997,"Taylor","Taylor Slough_Site CPB","Fish","CPB",0.04356852,7,0.00622407
"25","Cyprinodon variegatus","Sheepshed minnow","omnivore","1998-10-01","October",1998,"Taylor","Taylor Slough_Site CPA","Fish","CPA",0.05813353,7,0.00830479
"26","Cyprinodon variegatus","Sheepshed minnow","omnivore","1998-02-01","February",1998,"Taylor","Taylor Slough_Site CPA","Fish","CPA",0.05137816,7,0.00733974
"27","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-10-01","October",1996,"Shark","Shark Slough_Site 37C","Fish","37C",0.03862732,7,0.00551819
"28","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-07-01","July",1996,"Shark","Shark Slough_Site 37A","Fish","37A",0.05978188,7,0.00854027
"29","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-12-01","December",1998,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.3431297,7,0.04901853
"30","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-02-01","February",1998,"Shark","Shark Slough_Site 37C","Fish","37C",0.14595356,7,0.02085051
"31","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-12-01","December",1996,"Taylor","Taylor Slough_Site MDD","Fish","MDD",0.03676366,7,0.00525195
"32","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-12-01","December",1996,"Taylor","Taylor Slough_Site CPC","Fish","CPC",0.03275062,7,0.00467866
"33","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-04-01","April",1998,"Taylor","Taylor Slough_Site MDE","Fish","MDE",0.12226798,7,0.01746685
"34","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-12-01","December",1996,"Taylor","Taylor Slough_Site TSE","Fish","TSE",0.03192446,7,0.00456064
"35","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-10-01","October",1998,"Shark","Shark Slough_Site 37C","Fish","37C",0.09963914,7,0.01423416
"36","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-10-01","October",1998,"Shark","Shark Slough_Site 08C","Fish","08C",0.06089057,7,0.00869865
"37","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-12-01","December",1998,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.2654374,7,0.03791963
"38","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-04-01","April",1997,"Taylor","Taylor Slough_Site MDB","Fish","MDB",0.06988996,7,0.00998428
"39","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-10-01","October",1996,"Taylor","Taylor Slough_Site TSA","Fish","TSA",0.01774939,7,0.00253563
"40","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Shark","Shark Slough_Site 37B","Fish","37B",0.33899349,7,0.04842764
"41","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-12-01","December",1997,"Shark","Shark Slough_Site 08B","Fish","08B",0.13827157,7,0.01975308
"42","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-02-01","February",1997,"Taylor","Taylor Slough_Site TSE","Fish","TSE",0.0134707,7,0.00192439
"43","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-12-01","December",1998,"Shark","Shark Slough_Site 37C","Fish","37C",0.13716735,7,0.01959534
"44","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Taylor","Taylor Slough_Site TSE","Fish","TSE",0.0135628,7,0.00193754
"45","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Shark","Shark Slough_Site 37C","Fish","37C",0.0897391,7,0.01281987
"46","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-04-01","April",1998,"Shark","Shark Slough_Site 37C","Fish","37C",0.07614923,7,0.01087846
"47","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-12-01","December",1996,"Taylor","Taylor Slough_Site TSD","Fish","TSD",0.19584041,7,0.0279772
"48","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-07-01","July",1996,"Taylor","Taylor Slough_Site MDC","Fish","MDC",0.01613279,7,0.00230468
"49","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-10-01","October",1999,"Shark","Shark Slough_Site 07B","Fish","07B",0.0159703,7,0.00228147
"50","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-12-01","December",1997,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.11054437,7,0.01579205
"51","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-04-01","April",1996,"Shark","Shark Slough_Site 37A","Fish","37A",0.25021863,7,0.03574552
"52","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-07-01","July",1999,"Shark","Shark Slough_Site 08C","Fish","08C",0.19821376,7,0.02831625
"53","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-10-01","October",1998,"Taylor","Taylor Slough_Site TSA","Fish","TSA",0.03652153,7,0.00521736
"54","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-12-01","December",1998,"Shark","Shark Slough_Site 08C","Fish","08C",0.23388161,7,0.03341166
"55","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-04-01","April",1999,"Taylor","Taylor Slough_Site CPA","Fish","CPA",0.19949103,5,0.03989821
"56","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-02-01","February",1998,"Taylor","Taylor Slough_Site MDD","Fish","MDD",0.07248398,7,0.01035485
"57","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-12-01","December",1996,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.11846361,7,0.01692337
"58","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-10-01","October",1996,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.16552079,7,0.02364583
"59","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-04-01","April",1997,"Taylor","Taylor Slough_Site CPA","Fish","CPA",0.05973085,7,0.00853298
"60","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-04-01","April",1998,"Taylor","Taylor Slough_Site TSE","Fish","TSE",0.03705741,6,0.00617623
"61","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-07-01","July",1996,"Taylor","Taylor Slough_Site CPB","Fish","CPB",0.08767907,7,0.01252558
"62","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-12-01","December",1996,"Shark","Shark Slough_Site 37A","Fish","37A",0.02082333,7,0.00297476
"63","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-02-01","February",1996,"Shark","Shark Slough_Site 37A","Fish","37A",0.27786874,7,0.03969553
"64","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-07-01","July",1996,"Taylor","Taylor Slough_Site MDE","Fish","MDE",0.02902677,7,0.00414668
"65","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-04-01","April",1998,"Taylor","Taylor Slough_Site TSD","Fish","TSD",0.31747706,7,0.04535387
"66","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-10-01","October",1996,"Taylor","Taylor Slough_Site MDD","Fish","MDD",0.17773282,7,0.0253904
"67","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-12-01","December",1998,"Shark","Shark Slough_Site 37A","Fish","37A",0.55542619,7,0.0793466
"68","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-04-01","April",1997,"Taylor","Taylor Slough_Site TSA","Fish","TSA",0.36607637,7,0.05229662
"69","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-10-01","October",1999,"Shark","Shark Slough_Site 07A","Fish","07A",0.05102185,7,0.00728884
"70","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-04-01","April",1998,"Shark","Shark Slough_Site 37A","Fish","37A",0.05783388,7,0.00826198
"71","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-12-01","December",1999,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.03020889,7,0.00431556
"72","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-04-01","April",1998,"Shark","Shark Slough_Site 08A","Fish","08A",0.10893415,7,0.01556202
"73","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Shark","Shark Slough_Site 37A","Fish","37A",0.55994338,7,0.07999191
"74","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-10-01","October",1997,"Shark","Shark Slough_Site 37A","Fish","37A",0.02446276,7,0.00349468
"75","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-05-01","May",1996,"Taylor","Taylor Slough_Site CPB","Fish","CPB",0.06513098,7,0.00930443
"76","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-07-01","July",1996,"Taylor","Taylor Slough_Site TSE","Fish","TSE",0.0819959,7,0.0117137
"77","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-12-01","December",1996,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.22691459,7,0.03241637
"78","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Shark","Shark Slough_Site 08B","Fish","08B",0.03297332,7,0.00471047
"79","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-10-01","October",1999,"Taylor","Taylor Slough_Site TSD","Fish","TSD",0.07737043,7,0.01105292
"80","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-04-01","April",1997,"Shark","Shark Slough_Site 37C","Fish","37C",0.02347146,5,0.00469429
"81","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-10-01","October",1999,"Shark","Shark Slough_Site 37B","Fish","37B",0.06723185,7,0.00960455
"82","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-02-01","February",1997,"Shark","Shark Slough_Site 37C","Fish","37C",0.08822169,7,0.0126031
"83","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-12-01","December",1997,"Taylor","Taylor Slough_Site TSD","Fish","TSD",0.05517065,7,0.00788152
"84","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-12-01","December",1996,"Shark","Shark Slough_Site 37B","Fish","37B",0.02396368,7,0.00342338
"85","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-02-01","February",1997,"Shark","Shark Slough_Site 37B","Fish","37B",0.05708755,7,0.00815536
"86","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-10-01","October",1998,"Shark","Shark Slough_Site 37A","Fish","37A",0.63521001,7,0.09074429
"87","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-07-01","July",1998,"Shark","Shark Slough_Site 37B","Fish","37B",0.08547261,7,0.01221037
"88","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-12-01","December",1998,"Shark","Shark Slough_Site 37B","Fish","37B",0.24962197,7,0.03566028
"89","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-12-01","December",1996,"Taylor","Taylor Slough_Site MDE","Fish","MDE",0.01568316,7,0.00224045
"90","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-07-01","July",1998,"Shark","Shark Slough_Site 08A","Fish","08A",0.02037548,7,0.00291078
"91","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-12-01","December",1997,"Taylor","Taylor Slough_Site TSE","Fish","TSE",0.03010377,7,0.00430054
"92","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-07-01","July",1997,"Taylor","Taylor Slough_Site TSD","Fish","TSD",0.01775173,7,0.00253596
"93","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-04-01","April",1999,"Taylor","Taylor Slough_Site CPB","Fish","CPB",0.37910698,5,0.0758214
"94","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-07-01","July",1998,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.41058752,7,0.05865536
"95","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-07-01","July",1998,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.01076629,7,0.00153804
"96","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-04-01","April",1997,"Taylor","Taylor Slough_Site MDC","Fish","MDC",0.13809577,7,0.01972797
"97","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-02-01","February",1998,"Shark","Shark Slough_Site 08C","Fish","08C",0.03782637,7,0.00540377
"98","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-12-01","December",1996,"Taylor","Taylor Slough_Site TSA","Fish","TSA",0.07852545,7,0.01121792
"99","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-10-01","October",1996,"Taylor","Taylor Slough_Site MDC","Fish","MDC",0.05025194,7,0.00717885
"100","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.2541377,7,0.03630539
"101","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-04-01","April",1997,"Shark","Shark Slough_Site 07B","Fish","07B",0.0471795,7,0.00673993
"102","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-02-01","February",1997,"Taylor","Taylor Slough_Site TSD","Fish","TSD",0.13883568,7,0.01983367
"103","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-02-01","February",1996,"Shark","Shark Slough_Site 37B","Fish","37B",0.13009937,7,0.01858562
"104","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-02-01","February",1997,"Shark","Shark Slough_Site 37A","Fish","37A",0.08643156,7,0.01234737
"105","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-04-01","April",1999,"Shark","Shark Slough_Site 07C","Fish","07C",0.00551802,7,0.00078829
"106","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-04-01","April",1996,"Shark","Shark Slough_Site 37B","Fish","37B",0.34495972,7,0.04927996
"107","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-02-01","February",1998,"Shark","Shark Slough_Site 37A","Fish","37A",0.05638305,7,0.00805472
"108","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-02-01","February",1997,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.2844473,7,0.04063533
"109","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-07-01","July",1996,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.2422951,7,0.03461359
"110","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-12-01","December",1998,"Taylor","Taylor Slough_Site TSA","Fish","TSA",0.06434052,7,0.0091915
"111","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-02-01","February",1997,"Taylor","Taylor Slough_Site CPB","Fish","CPB",0.02510797,7,0.00358685
"112","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Taylor","Taylor Slough_Site TSD","Fish","TSD",0.10874095,7,0.01553442
"113","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-10-01","October",1998,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.33061489,7,0.0472307
"114","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-12-01","December",1997,"Taylor","Taylor Slough_Site MDC","Fish","MDC",0.08782602,7,0.01254657
"115","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Taylor","Taylor Slough_Site MDC","Fish","MDC",0.07461544,7,0.01065935
"116","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Shark","Shark Slough_Site 07C","Fish","07C",0.015936,7,0.00227657
"117","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-10-01","October",1996,"Taylor","Taylor Slough_Site MDE","Fish","MDE",0.06318722,7,0.00902675
"118","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-02-01","February",1998,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.03013714,7,0.00430531
"119","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-10-01","October",1996,"Taylor","Taylor Slough_Site CPC","Fish","CPC",0.11883995,7,0.01697714
"120","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-02-01","February",1997,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.53388214,7,0.07626888
"121","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-07-01","July",1998,"Shark","Shark Slough_Site 37A","Fish","37A",0.48771566,7,0.06967367
"122","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Taylor","Taylor Slough_Site MDE","Fish","MDE",0.03831439,7,0.00547348
"123","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-12-01","December",1999,"Shark","Shark Slough_Site 37B","Fish","37B",0.00845217,7,0.00120745
"124","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Taylor","Taylor Slough_Site MDD","Fish","MDD",0.39883259,7,0.05697608
"125","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-12-01","December",1997,"Taylor","Taylor Slough_Site MDD","Fish","MDD",0.01819527,6,0.00303255
"126","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Taylor","Taylor Slough_Site TSA","Fish","TSA",0.08115206,7,0.01159315
"127","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-04-01","April",1998,"Taylor","Taylor Slough_Site MDD","Fish","MDD",0.39292729,7,0.05613247
"128","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-04-01","April",1996,"Shark","Shark Slough_Site 37C","Fish","37C",0.02350859,7,0.00335837
"129","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-12-01","December",1998,"Taylor","Taylor Slough_Site MDC","Fish","MDC",0.03364752,7,0.00480679
"130","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-12-01","December",1999,"Shark","Shark Slough_Site 37A","Fish","37A",0.40360597,7,0.057658
"131","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-04-01","April",1998,"Taylor","Taylor Slough_Site CPC","Fish","CPC",0.00801182,7,0.00114455
"132","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-02-01","February",1997,"Taylor","Taylor Slough_Site MDC","Fish","MDC",0.02716079,7,0.00388011
"133","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-12-01","December",1997,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.03413733,7,0.00487676
"134","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-12-01","December",1998,"Taylor","Taylor Slough_Site TSD","Fish","TSD",0.05728262,7,0.00818323
"135","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-07-01","July",1996,"Taylor","Taylor Slough_Site CPC","Fish","CPC",0.05588688,7,0.00798384
"136","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-04-01","April",1999,"Taylor","Taylor Slough_Site TSA","Fish","TSA",0.83614705,7,0.11944958
"137","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-02-01","February",1998,"Taylor","Taylor Slough_Site TSE","Fish","TSE",0.01292662,6,0.00215444
"138","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-07-01","July",1998,"Taylor","Taylor Slough_Site MDC","Fish","MDC",0.02157033,7,0.00308148
"139","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-12-01","December",1998,"Taylor","Taylor Slough_Site MDD","Fish","MDD",0.11053385,7,0.01579055
"140","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-07-01","July",1996,"Shark","Shark Slough_Site 37B","Fish","37B",0.00290979,7,0.00041568
"141","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-02-01","February",1997,"Taylor","Taylor Slough_Site MDA","Fish","MDA",0.03619855,7,0.00517122
"142","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Shark","Shark Slough_Site 08C","Fish","08C",0.20722207,7,0.02960315
"143","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-12-01","December",1996,"Taylor","Taylor Slough_Site MDC","Fish","MDC",0.21354374,7,0.03050625
"144","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-04-01","April",1998,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.13178472,7,0.01882639
"145","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-07-01","July",1998,"Shark","Shark Slough_Site 37C","Fish","37C",0.61049247,7,0.08721321
"146","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-10-01","October",1998,"Taylor","Taylor Slough_Site TSD","Fish","TSD",0.0381331,7,0.00544759
"147","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-02-01","February",1999,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.27617492,7,0.03945356
"148","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-07-01","July",1998,"Taylor","Taylor Slough_Site MDD","Fish","MDD",0.19790634,7,0.02827233
"149","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-10-01","October",1998,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.27089301,7,0.038699
"150","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-02-01","February",1997,"Taylor","Taylor Slough_Site CPC","Fish","CPC",0.20227546,7,0.02889649
"151","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-04-01","April",1998,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.1321142,7,0.01887346
"152","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-07-01","July",1996,"Shark","Shark Slough_Site 37C","Fish","37C",0.02896356,7,0.00413765
"153","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-04-01","April",1999,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.28057152,7,0.04008165
"154","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-04-01","April",1997,"Taylor","Taylor Slough_Site TSB","Fish","TSB",0.87500002,7,0.125
"155","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-07-01","July",1996,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.09507083,7,0.01358155
"156","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-02-01","February",1996,"Shark","Shark Slough_Site 37C","Fish","37C",0.16228421,7,0.02318346
"157","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-12-01","December",1997,"Shark","Shark Slough_Site 37C","Fish","37C",0.03052573,7,0.00436082
"158","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1996-10-01","October",1996,"Shark","Shark Slough_Site 37A","Fish","37A",0.05016982,7,0.00716712
"159","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-04-01","April",1999,"Shark","Shark Slough_Site 08C","Fish","08C",0.20047979,7,0.02863997
"160","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-02-01","February",1998,"Shark","Shark Slough_Site 37B","Fish","37B",0.05296812,7,0.00756687
"161","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-10-01","October",1997,"Taylor","Taylor Slough_Site TSD","Fish","TSD",0.02414436,7,0.00344919
"162","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-02-01","February",1998,"Taylor","Taylor Slough_Site MDE","Fish","MDE",0.01047895,7,0.00149699
"163","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-10-01","October",1998,"Shark","Shark Slough_Site 37B","Fish","37B",0.13053295,7,0.01864756
"164","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1999-12-01","December",1999,"Taylor","Taylor Slough_Site TSD","Fish","TSD",0.02487667,7,0.00355381
"165","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1997-10-01","October",1997,"Taylor","Taylor Slough_Site MDC","Fish","MDC",0.0150283,7,0.0021469
"166","Elassoma evergladei","Everglades pygmy sunfish","invertivore","1998-02-01","February",1998,"Taylor","Taylor Slough_Site TSC","Fish","TSC",0.04242163,7,0.00606023
