"","SpeciesName","CommonName","FunctionalGroup","Date","Month","Year","Area","FPO","SITENAME","Plot","TotalSpeciesWeight","NumofThrowTraps","SpeciesBiomass"
"44","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-02-01","February",2003,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.38927319,5,0.07785464
"45","Cyprinodon variegatus","Sheepshed minnow","omnivore","2000-10-01","October",2000,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.18225891,7,0.02603699
"46","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-12-01","December",2001,"Shark","Fish","Shark Slough_Site 08A","08A",0.04634935,7,0.00662134
"47","Cyprinodon variegatus","Sheepshed minnow","omnivore","2004-02-01","February",2004,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.04936787,5,0.00987357
"48","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-12-01","December",2002,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.46324435,7,0.06617776
"49","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-04-01","April",2002,"Shark","Fish","Shark Slough_Site 37C","37C",0.09938994,6,0.01419856
"50","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-04-01","April",2002,"Shark","Fish","Shark Slough_Site 08C","08C",0.34016706,7,0.04859529
"51","Cyprinodon variegatus","Sheepshed minnow","omnivore","2004-02-01","February",2004,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.05896886,5,0.01179377
"52","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-12-01","December",2002,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.77975315,7,0.11139331
"53","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-12-01","December",2002,"Shark","Fish","Shark Slough_Site 06B","06B",0.03607696,7,0.00515385
"54","Cyprinodon variegatus","Sheepshed minnow","omnivore","2000-07-01","July",2000,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.01161489,7,0.00165927
"55","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-07-01","July",2001,"Taylor","Fish","Taylor Slough_Site TSE","TSE",0.05270962,7,0.00752995
"56","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-02-01","February",2002,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.181164,7,0.02588057
"57","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-10-01","October",2002,"Taylor","Fish","Taylor Slough_Site TSA","TSA",0.08352096,7,0.01193157
"58","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-02-01","February",2003,"Shark","Fish","Shark Slough_Site 08C","08C",0.21027888,7,0.03003984
"59","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-10-01","October",2003,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.12810257,7,0.01830037
"60","Cyprinodon variegatus","Sheepshed minnow","omnivore","2000-12-01","December",2000,"Taylor","Fish","Taylor Slough_Site CPB","CPB",1.14921766,7,0.16417395
"61","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-09-01","September",2001,"Taylor","Fish","Taylor Slough_Site TSA","TSA",0.03572607,7,0.00510372
"62","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-07-01","July",2003,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.47590455,7,0.06798636
"63","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-12-01","December",2003,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.10793023,7,0.0154186
"64","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-10-01","October",2002,"Shark","Fish","Shark Slough_Site 50B","50B",0.00973415,7,0.00139059
"65","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-07-01","July",2002,"Taylor","Fish","Taylor Slough_Site MDC","MDC",0.01827546,7,0.00261078
"66","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-02-01","February",2002,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.02618291,7,0.00374042
"67","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-12-01","December",2001,"Shark","Fish","Shark Slough_Site 08C","08C",0.03326592,7,0.00475227
"68","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-10-01","October",2002,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.53596068,7,0.07656581
"69","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-12-01","December",2001,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.36368703,7,0.05195529
"70","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-07-01","July",2002,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.08785659,7,0.01255094
"71","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-07-01","July",2001,"Shark","Fish","Shark Slough_Site 37A","37A",0.04242814,7,0.00606116
"72","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-10-01","October",2003,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.12331519,7,0.01761646
"73","Cyprinodon variegatus","Sheepshed minnow","omnivore","2000-10-01","October",2000,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.02475697,7,0.00353671
"74","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-09-01","September",2001,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.22869794,7,0.03267113
"75","Cyprinodon variegatus","Sheepshed minnow","omnivore","2000-02-01","February",2000,"Taylor","Fish","Taylor Slough_Site MDA","MDA",0.07944624,7,0.01134946
"76","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-07-01","July",2003,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.87396281,7,0.12485183
"77","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-12-01","December",2003,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.02902909,7,0.00414701
"78","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-02-01","February",2003,"Shark","Fish","Shark Slough_Site 06A","06A",0.02579336,7,0.00368477
"79","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-02-01","February",2003,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.11794202,5,0.0235884
"80","Cyprinodon variegatus","Sheepshed minnow","omnivore","2000-07-01","July",2000,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.8335733,7,0.1190819
"81","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-02-01","February",2001,"Taylor","Fish","Taylor Slough_Site MDC","MDC",0.18069031,7,0.0258129
"82","Cyprinodon variegatus","Sheepshed minnow","omnivore","2004-02-01","February",2004,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.11178675,5,0.02235735
"83","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-04-01","April",2003,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.05766436,5,0.01153287
"84","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-02-01","February",2003,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.18227337,5,0.03645467
"85","Cyprinodon variegatus","Sheepshed minnow","omnivore","2004-04-01","April",2004,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.04618097,5,0.00923619
"86","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-04-01","April",2001,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.33800099,4,0.08450025
"87","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-12-01","December",2002,"Taylor","Fish","Taylor Slough_Site TSB","TSB",0.01656407,7,0.0023663
"88","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-12-01","December",2002,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.05869731,7,0.00838533
"89","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-12-01","December",2003,"Shark","Fish","Shark Slough_Site 50C","50C",0.03421118,7,0.00488731
"90","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-04-01","April",2003,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.26776513,5,0.05355303
"91","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-07-01","July",2003,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.6587417,7,0.09410596
"92","Cyprinodon variegatus","Sheepshed minnow","omnivore","2000-10-01","October",2000,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.36338686,7,0.05191241
"93","Cyprinodon variegatus","Sheepshed minnow","omnivore","2000-12-01","December",2000,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.31187115,7,0.04455302
"94","Cyprinodon variegatus","Sheepshed minnow","omnivore","2000-02-01","February",2000,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.45048879,7,0.06435554
"95","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-07-01","July",2001,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.05363996,7,0.00766285
"96","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-10-01","October",2002,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.30265385,7,0.04323626
"97","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-04-01","April",2002,"Shark","Fish","Shark Slough_Site 08A","08A",0.42964106,7,0.06137729
"98","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-04-01","April",2003,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.09121342,5,0.01824268
"99","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-02-01","February",2001,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.05115471,7,0.00730782
"100","Cyprinodon variegatus","Sheepshed minnow","omnivore","2004-04-01","April",2004,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.07906406,5,0.01581281
"101","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-09-01","September",2001,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.00992804,7,0.00141829
"102","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-10-01","October",2003,"Taylor","Fish","Taylor Slough_Site CPC","CPC",0.12329072,7,0.01761296
"103","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-07-01","July",2002,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.09131298,7,0.01304471
"104","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-02-01","February",2002,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.07043942,7,0.01006277
"105","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-10-01","October",2002,"Shark","Fish","Shark Slough_Site 06A","06A",0.07180587,7,0.01025798
"106","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-12-01","December",2002,"Shark","Fish","Shark Slough_Site 50B","50B",0.00458588,7,0.00065513
"107","Cyprinodon variegatus","Sheepshed minnow","omnivore","2000-12-01","December",2000,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.14334807,7,0.0204783
"108","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-04-01","April",2002,"Taylor","Fish","Taylor Slough_Site MDA","MDA",0.07236281,7,0.01033754
"109","Cyprinodon variegatus","Sheepshed minnow","omnivore","2003-04-01","April",2003,"Shark","Fish","Shark Slough_Site 50A","50A",0.02163128,1,0.02163128
"110","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-12-01","December",2001,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.57647686,7,0.08235384
"111","Cyprinodon variegatus","Sheepshed minnow","omnivore","2001-09-01","September",2001,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.20279732,7,0.02897105
"112","Cyprinodon variegatus","Sheepshed minnow","omnivore","2002-10-01","October",2002,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.87558553,7,0.12508365
"113","Cyprinodon variegatus","Sheepshed minnow","omnivore","2004-04-01","April",2004,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.3797732,5,0.07595464
"114","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-04-01","April",2003,"Shark","Fish","Shark Slough_Site 07C","07C",0.08504412,7,0.01214916
"115","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-10-01","October",2000,"Shark","Fish","Shark Slough_Site 37A","37A",0.77443283,7,0.11063326
"116","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-07-01","July",2003,"Shark","Fish","Shark Slough_Site 06C","06C",0.03655615,7,0.00522231
"117","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-02-01","February",2000,"Taylor","Fish","Taylor Slough_Site CPA","CPA",0.02686784,7,0.00383826
"118","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2004-04-01","April",2004,"Shark","Fish","Shark Slough_Site 23A","23A",0.19797911,7,0.02828273
"119","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-04-01","April",2003,"Shark","Fish","Shark Slough_Site 23A","23A",0.08559651,7,0.01222807
"120","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2004-04-01","April",2004,"Shark","Fish","Shark Slough_Site 07A","07A",0.02039915,7,0.00291416
"121","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-12-01","December",2000,"Taylor","Fish","Taylor Slough_Site TSA","TSA",0.25184237,7,0.03597748
"122","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-02-01","February",2000,"Taylor","Fish","Taylor Slough_Site TSA","TSA",0.06806608,7,0.00972373
"123","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-10-01","October",2003,"Shark","Fish","Shark Slough_Site 23B","23B",0.14007771,7,0.0200111
"124","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2002-12-01","December",2002,"Taylor","Fish","Taylor Slough_Site TSD","TSD",0.01157721,7,0.00165389
"125","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-04-01","April",2000,"Shark","Fish","Shark Slough_Site 07A","07A",0.00950164,7,0.00135738
"126","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-10-01","October",2003,"Shark","Fish","Shark Slough_Site 23A","23A",0.06496517,7,0.00928074
"127","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2005-02-01","February",2005,"Shark","Fish","Shark Slough_Site 37B","37B",0.72740791,7,0.10391542
"128","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2002-02-01","February",2002,"Taylor","Fish","Taylor Slough_Site TSC","TSC",0.04040571,7,0.00577224
"129","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2002-02-01","February",2002,"Taylor","Fish","Taylor Slough_Site MDB","MDB",0.03508164,7,0.00501166
"130","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2004-02-01","February",2004,"Shark","Fish","Shark Slough_Site 23C","23C",0.11603167,7,0.01657595
"131","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2004-02-01","February",2004,"Shark","Fish","Shark Slough_Site 37B","37B",0.13010281,7,0.01858612
"132","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-12-01","December",2000,"Taylor","Fish","Taylor Slough_Site TSE","TSE",0.19315245,7,0.02759321
"133","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-12-01","December",2003,"Taylor","Fish","Taylor Slough_Site MDD","MDD",0.18364104,7,0.02623443
"134","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2001-04-01","April",2001,"Taylor","Fish","Taylor Slough_Site CPB","CPB",0.45114729,3,0.15038243
"135","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-07-01","July",2003,"Taylor","Fish","Taylor Slough_Site TSB","TSB",0.40272902,7,0.05753272
"136","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-02-01","February",2003,"Shark","Fish","Shark Slough_Site 23C","23C",0.07246589,7,0.01035227
"137","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-12-01","December",2000,"Shark","Fish","Shark Slough_Site 08C","08C",0.05002218,7,0.00714603
"138","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 07B","07B",0.11216951,7,0.01602422
"139","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-02-01","February",2000,"Shark","Fish","Shark Slough_Site 08C","08C",0.04090451,7,0.0058435
"140","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2004-04-01","April",2004,"Taylor","Fish","Taylor Slough_Site MDA","MDA",0.14121561,5,0.02824312
"141","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2002-10-01","October",2002,"Shark","Fish","Shark Slough_Site 23B","23B",0.11067228,7,0.01581033
"142","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2002-12-01","December",2002,"Shark","Fish","Shark Slough_Site 23A","23A",0.16795059,7,0.02399294
"143","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-07-01","July",2000,"Taylor","Fish","Taylor Slough_Site TSA","TSA",0.03856531,7,0.00550933
"144","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2001-12-01","December",2001,"Taylor","Fish","Taylor Slough_Site TSB","TSB",0.07862981,7,0.01123283
"145","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-04-01","April",2003,"Shark","Fish","Shark Slough_Site 23B","23B",0.03282313,7,0.00468902
"146","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 37A","37A",0.04821232,7,0.00688747
"147","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2004-02-01","February",2004,"Taylor","Fish","Taylor Slough_Site TSB","TSB",0.20153297,5,0.04030659
"148","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-07-01","July",2003,"Taylor","Fish","Taylor Slough_Site MDA","MDA",0.02889982,7,0.00412855
"149","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2001-02-01","February",2001,"Taylor","Fish","Taylor Slough_Site MDB","MDB",0.01298657,7,0.00185522
"150","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-12-01","December",2003,"Taylor","Fish","Taylor Slough_Site TSD","TSD",0.02552871,7,0.00364696
"151","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-10-01","October",2000,"Shark","Fish","Shark Slough_Site 08C","08C",0.1926208,7,0.02751726
"152","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2004-04-01","April",2004,"Taylor","Fish","Taylor Slough_Site MDB","MDB",0.05852887,5,0.01170577
"153","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-02-01","February",2003,"Shark","Fish","Shark Slough_Site 23B","23B",0.08231756,7,0.01175965
"154","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2002-04-01","April",2002,"Taylor","Fish","Taylor Slough_Site MDA","MDA",0.02672216,7,0.00381745
"155","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-12-01","December",2003,"Shark","Fish","Shark Slough_Site 23A","23A",0.17264289,7,0.02466327
"156","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2002-10-01","October",2002,"Shark","Fish","Shark Slough_Site 23C","23C",0.24001295,7,0.03428756
"157","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2004-10-01","October",2004,"Shark","Fish","Shark Slough_Site 37C","37C",0.26186597,7,0.03740942
"158","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-07-01","July",2003,"Shark","Fish","Shark Slough_Site 07A","07A",0.01280807,7,0.00182972
"159","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2002-12-01","December",2002,"Shark","Fish","Shark Slough_Site 37A","37A",0.08611299,7,0.01230186
"160","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-10-01","October",2000,"Taylor","Fish","Taylor Slough_Site TSA","TSA",0.33694901,7,0.04813557
"161","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-04-01","April",2000,"Shark","Fish","Shark Slough_Site 08C","08C",0.42076287,7,0.06010898
"162","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-07-01","July",2000,"Shark","Fish","Shark Slough_Site 08C","08C",0.17355374,7,0.02479339
"163","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2002-12-01","December",2002,"Shark","Fish","Shark Slough_Site 07B","07B ",0.01526021,7,0.00218003
"164","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2003-07-01","July",2003,"Shark","Fish","Shark Slough_Site 23C","23C",0.27802188,7,0.03971741
"165","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2005-02-01","February",2005,"Shark","Fish","Shark Slough_Site 07C","07C",0.1808971,7,0.02584244
"166","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2000-04-01","April",2000,"Taylor","Fish","Taylor Slough_Site TSC","TSC",0.00823002,5,0.001646
"167","Elassoma evergladei","Everglades pygmy sunfish","invertivore","2004-02-01","February",2004,"Shark","Fish","Shark Slough_Site 50A","50A",0.01050486,7,0.00150069
