"","Month","Year","Area","SpeciesName","CommonName","ThermalGuild","TotalSpeciesWeight","SpeciesBiomass"
"75","July",2000,"Taylor","Jordanella floridae","Flagfish","cool",0.725918485384615,0.103702640769231
"76","October",2000,"Taylor","Jordanella floridae","Flagfish","cool",0.998358518461538,0.142622644615385
"77","April",2001,"Taylor","Jordanella floridae","Flagfish","cool",0.675399125,0.21753151
"78","December",2001,"Taylor","Jordanella floridae","Flagfish","cool",0.765153206923077,0.109307600769231
"79","February",2001,"Taylor","Jordanella floridae","Flagfish","cool",2.1178048825,0.302543555
"80","July",2001,"Taylor","Jordanella floridae","Flagfish","cool",0.442952533076923,0.0632789338461539
"81","September",2001,"Taylor","Jordanella floridae","Flagfish","cool",0.945131929230769,0.135018846153846
"82","April",2002,"Taylor","Jordanella floridae","Flagfish","cool",2.19255021833333,0.313221461666667
"83","December",2002,"Taylor","Jordanella floridae","Flagfish","cool",0.21583534625,0.03083361875
"84","February",2002,"Taylor","Jordanella floridae","Flagfish","cool",1.43525414222222,0.205036306666667
"85","July",2002,"Taylor","Jordanella floridae","Flagfish","cool",0.135814879230769,0.0194021261538462
"86","October",2002,"Taylor","Jordanella floridae","Flagfish","cool",0.334285305,0.047755044
"87","April",2003,"Taylor","Jordanella floridae","Flagfish","cool",0.318103605,0.06362072
"88","December",2003,"Taylor","Jordanella floridae","Flagfish","cool",0.135248385454545,0.0193211972727273
"89","February",2003,"Taylor","Jordanella floridae","Flagfish","cool",0.18023394375,0.0360467875
"90","July",2003,"Taylor","Jordanella floridae","Flagfish","cool",0.143305913333333,0.0204722733333333
"91","October",2003,"Taylor","Jordanella floridae","Flagfish","cool",0.119057908888889,0.0170082733333333
"92","April",2004,"Taylor","Jordanella floridae","Flagfish","cool",0.641031835,0.1282063675
"93","December",2004,"Taylor","Jordanella floridae","Flagfish","cool",0.380260665833333,0.0543229525
"94","February",2004,"Taylor","Jordanella floridae","Flagfish","cool",0.1068415975,0.0213683175
"95","October",2004,"Taylor","Jordanella floridae","Flagfish","cool",0.378235543076923,0.0540336492307692
"96","April",2005,"Taylor","Jordanella floridae","Flagfish","cool",0.123462336666667,0.0246924666666667
"97","April ",2005,"Taylor","Jordanella floridae","Flagfish","cool",0.07509249,0.0150185
"98","February",2005,"Taylor","Jordanella floridae","Flagfish","cool",0.237121417777778,0.0474242833333333
"99","April",1996,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.587979046666667,0.0839970055555556
"100","December",1996,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.618961897777778,0.0884231277777778
"101","February",1996,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.434457684444444,0.0620653833333333
"102","July",1996,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.24834978,0.03547854
"103","October",1996,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.317117842222222,0.0453025488888889
"104","April",1997,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.948371418571428,0.149088431428571
"105","December",1997,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.668553124444444,0.09550759
"106","February",1997,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.660478452222222,0.0943540633333333
"107","July",1997,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.810949995555556,0.11585
"108","October",1997,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.710046471111111,0.10143521
"109","April",1998,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.794064978888889,0.113437854444444
"110","December",1998,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.494316163333333,0.0706165955555556
"111","February",1998,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.776802165555556,0.110971737777778
"112","July",1998,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.513883261111111,0.0734118944444444
"113","October",1998,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.461660425555556,0.06595149
"114","April",1999,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.81091129375,0.1304511075
"115","December",1999,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.384559957777778,0.0549371355555556
"116","February",1999,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.808695692222222,0.115527957777778
"117","July",1999,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.432059453333333,0.0617227777777778
"118","October",1999,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.2296713375,0.0328101925
"119","April",2000,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.136620173333333,0.0195171683333333
"120","December",2000,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.493270661111111,0.0704672388888889
"121","February",2000,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.3852334175,0.0550333475
"122","July",2000,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.239714245555556,0.03424489
"123","October",2000,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.362325467777778,0.05176078
"124","April",2001,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.04234728,0.02198487
"125","December",2001,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.30040389,0.0429148411111111
"126","February",2001,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.835055763333333,0.11929368
"127","September",2001,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.15345037875,0.02192148125
"128","April",2002,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.36637082125,0.0523386875
"129","December",2002,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.372233000769231,0.0531761434615385
"130","July",2002,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.0708379855555556,0.0101197122222222
"131","October",2002,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.281099740666667,0.0401571073333333
"132","April",2003,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.300927623333333,0.04298966
"133","December",2003,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.20213496125,0.02887642375
"134","February",2003,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.299329518333333,0.04276136
"135","July",2003,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.188071048,0.0268672913333333
"136","October",2003,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.0973685846666667,0.0139097973333333
"137","April",2004,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.357638786363636,0.0510912554545455
"138","February",2004,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.322333634375,0.0460476625
"139","July",2004,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.36218032,0.05278335
"140","October",2004,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.48731439625,0.069616341875
"141","April",2005,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.278962125,0.055792425
"142","February",2005,"Shark","Fundulus chrysotus","Golden topminnow","cool",0.996800798,0.142400114666667
"143","December",1996,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.579702231538462,0.0828146053846154
"144","July",1996,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.530694648461538,0.0758135215384615
"145","May",1996,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.71381998,0.101974283333333
"146","October",1996,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.511382882307692,0.0730546976923077
"147","April",1997,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.529439301111111,0.0756341866666667
"148","December",1997,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.573417306666667,0.0834159291666667
"149","February",1997,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.606569906363636,0.0866528445454545
"150","July",1997,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.266831122307692,0.0384057115384615
"151","October",1997,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.584724466153846,0.0835320653846154
"152","April",1998,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.745981286363636,0.107331387272727
"153","December",1998,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.43272452,0.0618177884615385
"154","February",1998,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.457279716363636,0.0657861627272727
"155","July",1998,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.422348615833333,0.060985675
"156","October",1998,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.316098373076923,0.0451569115384615
"157","April",1999,"Taylor","Fundulus chrysotus","Golden topminnow","cool",1.584167645,0.2725216675
"158","December",1999,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.287429612,0.041061373
"159","February",1999,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.422853868461538,0.0604076946153846
"160","July",1999,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.0340518572727273,0.00486455
"161","October",1999,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.327985198181818,0.0468550281818182
"162","April",2000,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.598242434,0.085463206
"163","December",2000,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.715753971538462,0.102250568461538
"164","February",2000,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.44949501125,0.064213575
"165","July",2000,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.133538383333333,0.0190769108333333
"166","October",2000,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.489491641538462,0.0699273776923077
"167","April",2001,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.765032645,0.228793545
"168","December",2001,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.473166668181818,0.0675952363636364
"169","February",2001,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.674766571428571,0.0963952228571429
"170","July",2001,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.0354996975,0.005071385
"171","September",2001,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.0991321109090909,0.0141617309090909
"172","April",2002,"Taylor","Fundulus chrysotus","Golden topminnow","cool",2.17972604166667,0.311389433333333
"173","December",2002,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.217770032222222,0.0311100044444444
"174","February",2002,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.22443288875,0.03206184375
"175","July",2002,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.01703647,0.00243378
"176","October",2002,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.094381605,0.01348308625
"177","April",2003,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.141983236,0.028396648
"178","December",2003,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.402551073636364,0.0575072963636364
"179","February",2003,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.118154686666667,0.0236309333333333
"180","July",2003,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.201672087777778,0.0288102966666667
"181","October",2003,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.145717820909091,0.0208168318181818
"182","April",2004,"Taylor","Fundulus chrysotus","Golden topminnow","cool",1.03520237625,0.20704047625
"183","December",2004,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.16383414,0.023404875
"184","February",2004,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.2384641,0.0476928185714286
"185","October",2004,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.0521020933333333,0.00744315666666667
"186","April",2005,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.006319845,0.00126397
"187","February",2005,"Taylor","Fundulus chrysotus","Golden topminnow","cool",0.1366244,0.02732488
"188","February",1999,"Shark","Menidia beryllina","Inland silverside","cool",-9999,-9999
"189","December",1999,"Shark","Cyprinodon variegatus","Sheepshed minnow","cool",0.03150582,0.00450083333333333
"190","December",2001,"Shark","Cyprinodon variegatus","Sheepshed minnow","cool",0.039807635,0.005686805
"191","July",2001,"Shark","Cyprinodon variegatus","Sheepshed minnow","cool",0.050151065,0.007164435
"192","April",2002,"Shark","Cyprinodon variegatus","Sheepshed minnow","cool",0.2308740575,0.032982005
"193","December",2002,"Shark","Cyprinodon variegatus","Sheepshed minnow","cool",0.02033142,0.00290449
"194","October",2002,"Shark","Cyprinodon variegatus","Sheepshed minnow","cool",0.04077001,0.005824285
"195","April",2003,"Shark","Cyprinodon variegatus","Sheepshed minnow","cool",0.02163128,0.02163128
"196","December",2003,"Shark","Cyprinodon variegatus","Sheepshed minnow","cool",0.03421118,0.00488731
"197","February",2003,"Shark","Cyprinodon variegatus","Sheepshed minnow","cool",0.11803612,0.016862305
"198","October",2004,"Shark","Cyprinodon variegatus","Sheepshed minnow","cool",0.04133084,0.00590441
"199","December",1997,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.04356852,0.00622407
"200","July",1997,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.03094043,0.00442006
"201","October",1997,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.11937635,0.01705376
"202","April",1998,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.15113417,0.0215906
"203","February",1998,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.05839968,0.008342815
"204","October",1998,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.0530075333333333,0.00757250333333333
"205","December",1999,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.053739195,0.007677025
"206","October",1999,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.30557978,0.043654255
"207","December",2000,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.460091655,0.06572738
"208","February",2000,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.264967515,0.0378525
"209","July",2000,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.422594095,0.060370585
"210","October",2000,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.190134246666667,0.0271620366666667
"211","April",2001,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.33800099,0.08450025
"212","December",2001,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.470081945,0.067154565
"213","February",2001,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.11592251,0.01656036
"214","July",2001,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.05317479,0.0075964
"215","September",2001,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.1192873425,0.0170410475
"216","April",2002,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.07236281,0.01033754
"217","December",2002,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.32956472,0.047080675
"218","February",2002,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.0925954433333333,0.01322792
"219","July",2002,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.0829491675,0.01184988
"220","October",2002,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.449430255,0.0642043225
"221","April",2003,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.13888097,0.0277761933333333
"222","December",2003,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.0952953766666667,0.0136136233333333
"223","February",2003,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.229829526666667,0.0459659033333333
"224","July",2003,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.669536353333333,0.09564805
"225","October",2003,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.124902826666667,0.0178432633333333
"226","April",2004,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.16833941,0.03366788
"227","December",2004,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.1667036025,0.0238148
"228","February",2004,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.0733744933333333,0.0146748966666667
"229","October",2004,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.205539653,0.029362807
"230","April",2005,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.07155082,0.014310165
"231","April ",2005,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.05106428,0.01021286
"232","February",2005,"Taylor","Cyprinodon variegatus","Sheepshed minnow","cool",0.1534990625,0.0306998125
"233","April",1996,"Shark","Lepomis punctatus","Spotted sunfish","cool",4.30419820285714,0.614885457142857
"234","December",1996,"Shark","Lepomis punctatus","Spotted sunfish","cool",1.14030204,0.16290029
"235","February",1996,"Shark","Lepomis punctatus","Spotted sunfish","cool",2.41498670833333,0.3449981
"236","July",1996,"Shark","Lepomis punctatus","Spotted sunfish","cool",1.008170124,0.144024302
"237","October",1996,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.97192823,0.13884689
"238","April",1997,"Shark","Lepomis punctatus","Spotted sunfish","cool",1.56747887,0.22392555
"239","December",1997,"Shark","Lepomis punctatus","Spotted sunfish","cool",2.151474085,0.30735344
"240","February",1997,"Shark","Lepomis punctatus","Spotted sunfish","cool",1.79581484,0.25654498
"241","July",1997,"Shark","Lepomis punctatus","Spotted sunfish","cool",2.33740729,0.33391533
"242","October",1997,"Shark","Lepomis punctatus","Spotted sunfish","cool",7.78971276333333,1.11281611
"243","April",1998,"Shark","Lepomis punctatus","Spotted sunfish","cool",6.20729871,0.88675696
"244","December",1998,"Shark","Lepomis punctatus","Spotted sunfish","cool",2.35493183333333,0.336418833333333
"245","February",1998,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.38738026,0.05534004
"246","July",1998,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.40725945,0.0581799225
"247","October",1998,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.4394088825,0.0627726975
"248","April",1999,"Shark","Lepomis punctatus","Spotted sunfish","cool",1.4554436575,0.2079205225
"249","December",1999,"Shark","Lepomis punctatus","Spotted sunfish","cool",5.01332876,0.71618982
"250","February",1999,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.674470873333333,0.09635298
"251","July",1999,"Shark","Lepomis punctatus","Spotted sunfish","cool",20.19089065,2.88441295
"252","October",1999,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.683696383333333,0.0976709133333333
"253","December",2000,"Shark","Lepomis punctatus","Spotted sunfish","cool",2.50545654,0.357922363333333
"254","February",2000,"Shark","Lepomis punctatus","Spotted sunfish","cool",1.1569348,0.1652764
"255","July",2000,"Shark","Lepomis punctatus","Spotted sunfish","cool",3.43144772,0.49020682
"256","October",2000,"Shark","Lepomis punctatus","Spotted sunfish","cool",4.31981849333333,0.61711693
"257","December",2001,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.117797205,0.016828175
"258","September",2001,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.112289465,0.016041355
"259","April",2002,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.22893372,0.03270482
"260","December",2002,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.7551164715,0.1078737815
"261","July",2002,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.012561365,0.00179448
"262","October",2002,"Shark","Lepomis punctatus","Spotted sunfish","cool",1.30170758272727,0.185958226363636
"263","April",2003,"Shark","Lepomis punctatus","Spotted sunfish","cool",1.435275542,0.205039364
"264","December",2003,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.662066296923077,0.0945809
"265","February",2003,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.308382663333333,0.0440546666666667
"266","July",2003,"Shark","Lepomis punctatus","Spotted sunfish","cool",1.48591043,0.212272918333333
"267","October",2003,"Shark","Lepomis punctatus","Spotted sunfish","cool",0.745013508333333,0.1064305
"268","April",2004,"Shark","Lepomis punctatus","Spotted sunfish","cool",2.75130164428571,0.393043092857143
"269","February",2004,"Shark","Lepomis punctatus","Spotted sunfish","cool",1.304085904,0.186297988
"270","July",2004,"Shark","Lepomis punctatus","Spotted sunfish","cool",3.60205945,0.51457992
"271","October",2004,"Shark","Lepomis punctatus","Spotted sunfish","cool",1.85660459,0.265229226666667
"272","February",2005,"Shark","Lepomis punctatus","Spotted sunfish","cool",4.74132010333333,0.67733144
"273","December",1996,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.048067558,0.006866794
"274","July",1996,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.8155666,0.11650951
"275","October",1996,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.143764956666667,0.02053785
"276","April",1997,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.39860158,0.056943084
"277","December",1997,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.37283474,0.05326211
"278","February",1997,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.4450988025,0.0635855425
"279","October",1997,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.231036636666667,0.0330052333333333
"280","April",1998,"Taylor","Lepomis punctatus","Spotted sunfish","cool",1.18157893,0.16879699
"281","December",1998,"Taylor","Lepomis punctatus","Spotted sunfish","cool",8.79748639,1.25678377
"282","February",1998,"Taylor","Lepomis punctatus","Spotted sunfish","cool",0.2293646125,0.032766375
